# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d23-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d23-x01-y03 /THY/ATLAS_2014_I1319490_MU/d23-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d23-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$\Delta\phi_{j1,j2}$
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}\Delta\phi_{j1,j2}$
YTwosidedTicks=1
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d23-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d23-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.968750e-01	1.165000e+01	1.818241e+00	1.818241e+00
1.968750e-01	3.937500e-01	1.290000e+01	2.021410e+00	2.021410e+00
3.937500e-01	5.906250e-01	1.563000e+01	2.483606e+00	2.483606e+00
5.906250e-01	7.875000e-01	1.468000e+01	2.122074e+00	2.122074e+00
7.875000e-01	9.843750e-01	1.362000e+01	1.883773e+00	1.883773e+00
9.843745e-01	1.181250e+00	1.386000e+01	1.911936e+00	1.911936e+00
1.181250e+00	1.378130e+00	1.491000e+01	1.951692e+00	1.951692e+00
1.378130e+00	1.575000e+00	1.725000e+01	2.146555e+00	2.146555e+00
1.575000e+00	1.771870e+00	2.058000e+01	2.404870e+00	2.404870e+00
1.771870e+00	1.968750e+00	2.524000e+01	2.630874e+00	2.630874e+00
1.968750e+00	2.165620e+00	3.218000e+01	3.108858e+00	3.108858e+00
2.165620e+00	2.362500e+00	4.200000e+01	3.702931e+00	3.702931e+00
2.362500e+00	2.559370e+00	5.583000e+01	4.602934e+00	4.602934e+00
2.559370e+00	2.756250e+00	7.305000e+01	5.359720e+00	5.359720e+00
2.756250e+00	2.953120e+00	9.188000e+01	6.189523e+00	6.189523e+00
2.953120e+00	3.150000e+00	1.041000e+02	7.240166e+00	7.240166e+00
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d23-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_MU/d23-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.968750e-01	1.165000e+01	1.818241e+00	1.818241e+00
1.968750e-01	3.937500e-01	1.290000e+01	2.021410e+00	2.021410e+00
3.937500e-01	5.906250e-01	1.563000e+01	2.483606e+00	2.483606e+00
5.906250e-01	7.875000e-01	1.468000e+01	2.122074e+00	2.122074e+00
7.875000e-01	9.843750e-01	1.362000e+01	1.883773e+00	1.883773e+00
9.843745e-01	1.181250e+00	1.386000e+01	1.911936e+00	1.911936e+00
1.181250e+00	1.378130e+00	1.491000e+01	1.951692e+00	1.951692e+00
1.378130e+00	1.575000e+00	1.725000e+01	2.146555e+00	2.146555e+00
1.575000e+00	1.771870e+00	2.058000e+01	2.404870e+00	2.404870e+00
1.771870e+00	1.968750e+00	2.524000e+01	2.630874e+00	2.630874e+00
1.968750e+00	2.165620e+00	3.218000e+01	3.108858e+00	3.108858e+00
2.165620e+00	2.362500e+00	4.200000e+01	3.702931e+00	3.702931e+00
2.362500e+00	2.559370e+00	5.583000e+01	4.602934e+00	4.602934e+00
2.559370e+00	2.756250e+00	7.305000e+01	5.359720e+00	5.359720e+00
2.756250e+00	2.953120e+00	9.188000e+01	6.189523e+00	6.189523e+00
2.953120e+00	3.150000e+00	1.041000e+02	7.240166e+00	7.240166e+00
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_MU/d23-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_MU/d23-x01-y03
Title=[1]  0.02
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.968750e-01	1.170180e+01	1.848150e+00	1.848150e+00
1.968750e-01	3.937500e-01	1.290000e+01	2.021410e+00	2.021410e+00
3.937500e-01	5.906250e-01	1.566454e+01	2.508026e+00	2.508026e+00
5.906250e-01	7.875000e-01	1.471454e+01	2.146494e+00	2.146494e+00
7.875000e-01	9.843750e-01	1.365454e+01	1.908193e+00	1.908193e+00
9.843745e-01	1.181250e+00	1.387727e+01	1.929204e+00	1.929204e+00
1.181250e+00	1.378130e+00	1.491000e+01	1.951692e+00	1.951692e+00
1.378130e+00	1.575000e+00	1.726727e+01	2.163823e+00	2.163823e+00
1.575000e+00	1.771870e+00	2.058000e+01	2.404870e+00	2.404870e+00
1.771870e+00	1.968750e+00	2.525727e+01	2.648141e+00	2.648141e+00
1.968750e+00	2.165620e+00	3.218000e+01	3.108858e+00	3.108858e+00
2.165620e+00	2.362500e+00	4.200000e+01	3.702931e+00	3.702931e+00
2.362500e+00	2.559370e+00	5.589907e+01	4.637470e+00	4.637470e+00
2.559370e+00	2.756250e+00	7.310180e+01	5.389628e+00	5.389628e+00
2.756250e+00	2.953120e+00	9.193180e+01	6.219432e+00	6.219432e+00
2.953120e+00	3.150000e+00	1.041863e+02	7.278777e+00	7.278777e+00
# END HISTO1D

