# BEGIN PLOT
DrawOnly=/REF/ATLAS_2016_I1502620_Z_MU/d12-x01-y02 /LHC.yoda/ATLAS_2016_I1502620_Z_MU/d12-x01-y02 /THY/ATLAS_2016_I1502620_Z_MU/d12-x01-y02
Title=central $Z/\gamma^*\rightarrow \mu\mu$, $66 < m_{\ell\ell} < 116$ GeV
RatioPlotReference=/REF/ATLAS_2016_I1502620_Z_MU/d12-x01-y02
GofLegend=0
GofType=chi2
RatioPlot=1
LogX=0
LogY=0
RatioPlotYMax=1.15
LegendXPos=0.05
XLabel=$|y_{\ell\ell}|$
MainPlot=1
YLabel=$\text{d}\sigma / \text{d}y_{\ell\ell}$ [pb]
LegendYPos=0.25
Legend=1
RatioPlotYMin=0.85
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2016_I1502620_Z_MU/d12-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2016_I1502620_Z_MU/d12-x01-y02
Title=doi:10.17182/hepdata.76541.v1/t12
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.324615e+02	2.431742e+00	2.431742e+00
2.000000e-01	4.000000e-01	1.319913e+02	2.421060e+00	2.421060e+00
4.000000e-01	6.000000e-01	1.315216e+02	2.411764e+00	2.411764e+00
6.000000e-01	8.000000e-01	1.303718e+02	2.392065e+00	2.392065e+00
8.000000e-01	1.000000e+00	1.298304e+02	2.382803e+00	2.382803e+00
1.000000e+00	1.200000e+00	1.265175e+02	2.322725e+00	2.322725e+00
1.200000e+00	1.400000e+00	1.176955e+02	2.162620e+00	2.162620e+00
1.400000e+00	1.600000e+00	1.054741e+02	1.942385e+00	1.942385e+00
1.600000e+00	1.800000e+00	8.840512e+01	1.640671e+00	1.640671e+00
1.800000e+00	2.000000e+00	6.773360e+01	1.257913e+00	1.257913e+00
2.000000e+00	2.200000e+00	4.494026e+01	8.424471e-01	8.424471e-01
2.200000e+00	2.400000e+00	2.190322e+01	4.321711e-01	4.321711e-01
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2016_I1502620_Z_MU/d12-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2016_I1502620_Z_MU/d12-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.324615e+02	2.431742e+00	2.431742e+00
2.000000e-01	4.000000e-01	1.319913e+02	2.421060e+00	2.421060e+00
4.000000e-01	6.000000e-01	1.315216e+02	2.411764e+00	2.411764e+00
6.000000e-01	8.000000e-01	1.303718e+02	2.392065e+00	2.392065e+00
8.000000e-01	1.000000e+00	1.298304e+02	2.382803e+00	2.382803e+00
1.000000e+00	1.200000e+00	1.265175e+02	2.322725e+00	2.322725e+00
1.200000e+00	1.400000e+00	1.176955e+02	2.162620e+00	2.162620e+00
1.400000e+00	1.600000e+00	1.054741e+02	1.942385e+00	1.942385e+00
1.600000e+00	1.800000e+00	8.840512e+01	1.640671e+00	1.640671e+00
1.800000e+00	2.000000e+00	6.773360e+01	1.257913e+00	1.257913e+00
2.000000e+00	2.200000e+00	4.494026e+01	8.424471e-01	8.424471e-01
2.200000e+00	2.400000e+00	2.190322e+01	4.321711e-01	4.321711e-01
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2016_I1502620_Z_MU/d12-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2016_I1502620_Z_MU/d12-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.324615e+02	2.431742e+00	2.431742e+00
2.000000e-01	4.000000e-01	1.319913e+02	2.421060e+00	2.421060e+00
4.000000e-01	6.000000e-01	1.315216e+02	2.411764e+00	2.411764e+00
6.000000e-01	8.000000e-01	1.303718e+02	2.392065e+00	2.392065e+00
8.000000e-01	1.000000e+00	1.298304e+02	2.382803e+00	2.382803e+00
1.000000e+00	1.200000e+00	1.265175e+02	2.322725e+00	2.322725e+00
1.200000e+00	1.400000e+00	1.176955e+02	2.162620e+00	2.162620e+00
1.400000e+00	1.600000e+00	1.054741e+02	1.942385e+00	1.942385e+00
1.600000e+00	1.800000e+00	8.840512e+01	1.640671e+00	1.640671e+00
1.800000e+00	2.000000e+00	6.773360e+01	1.257913e+00	1.257913e+00
2.000000e+00	2.200000e+00	4.494026e+01	8.424471e-01	8.424471e-01
2.200000e+00	2.400000e+00	2.190322e+01	4.321711e-01	4.321711e-01
# END HISTO1D

