# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_WJET/d62-x01-y01 /LHC.yoda/CMS_2013_I1224539_WJET/d62-x01-y01 /THY/CMS_2013_I1224539_WJET/d62-x01-y01
XMax=150.0
Title=Trimmed AK7 $W$+jets, $p_{T,j}$ = 220--300 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_WJET/d62-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d62-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_WJET/d62-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.044200e+01	5.966372e-01	5.966372e-01
1.000000e+01	2.000000e+01	2.872200e+01	1.718502e+00	1.718502e+00
2.000000e+01	3.000000e+01	2.097500e+01	1.247546e+00	1.247546e+00
3.000000e+01	4.000000e+01	1.375800e+01	9.338148e-01	9.338148e-01
4.000000e+01	5.000000e+01	9.291400e+00	6.975388e-01	6.975388e-01
5.000000e+01	6.000000e+01	6.840300e+00	5.870083e-01	5.870083e-01
6.000000e+01	7.000000e+01	3.961500e+00	4.626742e-01	4.626742e-01
7.000000e+01	8.000000e+01	2.805100e+00	4.366019e-01	4.366019e-01
8.000000e+01	9.000000e+01	2.172100e+00	3.761298e-01	3.761298e-01
9.000000e+01	1.000000e+02	8.077000e-01	2.094641e-01	2.094641e-01
1.000000e+02	1.100000e+02	1.721000e-01	9.162276e-02	9.162276e-02
1.100000e+02	1.200000e+02	5.040000e-02	4.442119e-02	4.442119e-02
1.300000e+02	1.400000e+02	0.000000e+00	3.075923e-02	3.075923e-02
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d62-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_WJET/d62-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.044200e+01	5.966372e-01	5.966372e-01
1.000000e+01	2.000000e+01	2.872200e+01	1.718502e+00	1.718502e+00
2.000000e+01	3.000000e+01	2.097500e+01	1.247546e+00	1.247546e+00
3.000000e+01	4.000000e+01	1.375800e+01	9.338148e-01	9.338148e-01
4.000000e+01	5.000000e+01	9.291400e+00	6.975388e-01	6.975388e-01
5.000000e+01	6.000000e+01	6.840300e+00	5.870083e-01	5.870083e-01
6.000000e+01	7.000000e+01	3.961500e+00	4.626742e-01	4.626742e-01
7.000000e+01	8.000000e+01	2.805100e+00	4.366019e-01	4.366019e-01
8.000000e+01	9.000000e+01	2.172100e+00	3.761298e-01	3.761298e-01
9.000000e+01	1.000000e+02	8.077000e-01	2.094641e-01	2.094641e-01
1.000000e+02	1.100000e+02	1.721000e-01	9.162276e-02	9.162276e-02
1.100000e+02	1.200000e+02	5.040000e-02	4.442119e-02	4.442119e-02
1.300000e+02	1.400000e+02	0.000000e+00	3.075923e-02	3.075923e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_WJET/d62-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_WJET/d62-x01-y01
Title=[9]  0.37
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.044200e+01	5.966372e-01	5.966372e-01
1.000000e+01	2.000000e+01	2.907539e+01	2.071889e+00	2.071889e+00
2.000000e+01	3.000000e+01	2.097500e+01	1.247546e+00	1.247546e+00
3.000000e+01	4.000000e+01	1.375800e+01	9.338148e-01	9.338148e-01
4.000000e+01	5.000000e+01	9.291400e+00	6.975388e-01	6.975388e-01
5.000000e+01	6.000000e+01	6.840300e+00	5.870083e-01	5.870083e-01
6.000000e+01	7.000000e+01	3.961500e+00	4.626742e-01	4.626742e-01
7.000000e+01	8.000000e+01	2.805100e+00	4.366019e-01	4.366019e-01
8.000000e+01	9.000000e+01	2.525487e+00	7.295168e-01	7.295168e-01
9.000000e+01	1.000000e+02	8.077000e-01	2.094641e-01	2.094641e-01
1.000000e+02	1.100000e+02	1.721000e-01	9.162276e-02	9.162276e-02
1.100000e+02	1.200000e+02	5.040000e-02	4.442119e-02	4.442119e-02
1.300000e+02	1.400000e+02	0.000000e+00	3.075923e-02	3.075923e-02
# END HISTO1D

