# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_WJET/d64-x01-y01 /LHC.yoda/CMS_2013_I1224539_WJET/d64-x01-y01 /THY/CMS_2013_I1224539_WJET/d64-x01-y01
XMax=150.0
Title=Pruned AK7 $W$+jets, $p_{T,j}$ = 125--150 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_WJET/d64-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d64-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_WJET/d64-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.199300e+01	3.515120e+00	3.515120e+00
1.000000e+01	2.000000e+01	2.626000e+01	1.691731e+00	1.691731e+00
2.000000e+01	3.000000e+01	1.371000e+01	1.022904e+00	1.022904e+00
3.000000e+01	4.000000e+01	9.918100e+00	7.414705e-01	7.414705e-01
4.000000e+01	5.000000e+01	6.086200e+00	4.965200e-01	4.965200e-01
5.000000e+01	6.000000e+01	1.809400e+00	3.702070e-01	3.702070e-01
6.000000e+01	7.000000e+01	2.154000e-01	1.124634e-01	1.124634e-01
7.000000e+01	8.000000e+01	8.501000e-03	6.139814e-03	6.139814e-03
8.000000e+01	9.000000e+01	0.000000e+00	1.000000e-03	1.000000e-03
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d64-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_WJET/d64-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.199300e+01	3.515120e+00	3.515120e+00
1.000000e+01	2.000000e+01	2.626000e+01	1.691731e+00	1.691731e+00
2.000000e+01	3.000000e+01	1.371000e+01	1.022904e+00	1.022904e+00
3.000000e+01	4.000000e+01	9.918100e+00	7.414705e-01	7.414705e-01
4.000000e+01	5.000000e+01	6.086200e+00	4.965200e-01	4.965200e-01
5.000000e+01	6.000000e+01	1.809400e+00	3.702070e-01	3.702070e-01
6.000000e+01	7.000000e+01	2.154000e-01	1.124634e-01	1.124634e-01
7.000000e+01	8.000000e+01	8.501000e-03	6.139814e-03	6.139814e-03
8.000000e+01	9.000000e+01	0.000000e+00	1.000000e-03	1.000000e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_WJET/d64-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_WJET/d64-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.199300e+01	3.515120e+00	3.515120e+00
1.000000e+01	2.000000e+01	2.626000e+01	1.691731e+00	1.691731e+00
2.000000e+01	3.000000e+01	1.371000e+01	1.022904e+00	1.022904e+00
3.000000e+01	4.000000e+01	9.918100e+00	7.414705e-01	7.414705e-01
4.000000e+01	5.000000e+01	6.086200e+00	4.965200e-01	4.965200e-01
5.000000e+01	6.000000e+01	1.809400e+00	3.702070e-01	3.702070e-01
6.000000e+01	7.000000e+01	2.154000e-01	1.124634e-01	1.124634e-01
7.000000e+01	8.000000e+01	8.501000e-03	6.139814e-03	6.139814e-03
8.000000e+01	9.000000e+01	0.000000e+00	1.000000e-03	1.000000e-03
# END HISTO1D

