# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_WJET/d71-x01-y01 /LHC.yoda/CMS_2013_I1224539_WJET/d71-x01-y01 /THY/CMS_2013_I1224539_WJET/d71-x01-y01
XMax=150.0
Title=Pruned CA8 $W$+jets, $p_{T,j}$ = 300--450 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_WJET/d71-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d71-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_WJET/d71-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.137000e+01	2.853653e+00	2.853653e+00
1.000000e+01	2.000000e+01	2.470400e+01	2.859881e+00	2.859881e+00
2.000000e+01	3.000000e+01	1.206700e+01	1.520017e+00	1.520017e+00
3.000000e+01	4.000000e+01	7.292900e+00	1.025622e+00	1.025622e+00
4.000000e+01	5.000000e+01	5.487700e+00	8.522832e-01	8.522832e-01
5.000000e+01	6.000000e+01	5.342000e+00	8.124088e-01	8.124088e-01
6.000000e+01	7.000000e+01	4.322500e+00	7.394630e-01	7.394630e-01
7.000000e+01	8.000000e+01	2.848900e+00	6.567660e-01	6.567660e-01
8.000000e+01	9.000000e+01	2.900700e+00	6.580934e-01	6.580934e-01
9.000000e+01	1.000000e+02	3.266800e+00	6.297516e-01	6.297516e-01
1.000000e+02	1.100000e+02	2.896300e+00	5.402808e-01	5.402808e-01
1.100000e+02	1.200000e+02	2.685300e+00	5.087942e-01	5.087942e-01
1.200000e+02	1.300000e+02	2.043900e+00	5.408229e-01	5.408229e-01
1.300000e+02	1.400000e+02	9.479000e-01	3.747449e-01	3.747449e-01
1.400000e+02	1.500000e+02	1.407200e+00	5.347080e-01	5.347080e-01
1.600000e+02	1.700000e+02	9.572000e-02	2.513954e-01	2.513954e-01
1.700000e+02	1.800000e+02	-1.110000e-02	1.916377e-02	1.916377e-02
1.800000e+02	1.900000e+02	1.605000e-03	3.834598e-02	3.834598e-02
1.900000e+02	2.000000e+02	0.000000e+00	7.072482e-03	7.072482e-03
2.000000e+02	2.100000e+02	0.000000e+00	7.000000e-04	7.000000e-04
2.100000e+02	2.200000e+02	2.923000e-04	3.604015e-04	3.604015e-04
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d71-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_WJET/d71-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.137000e+01	2.853653e+00	2.853653e+00
1.000000e+01	2.000000e+01	2.470400e+01	2.859881e+00	2.859881e+00
2.000000e+01	3.000000e+01	1.206700e+01	1.520017e+00	1.520017e+00
3.000000e+01	4.000000e+01	7.292900e+00	1.025622e+00	1.025622e+00
4.000000e+01	5.000000e+01	5.487700e+00	8.522832e-01	8.522832e-01
5.000000e+01	6.000000e+01	5.342000e+00	8.124088e-01	8.124088e-01
6.000000e+01	7.000000e+01	4.322500e+00	7.394630e-01	7.394630e-01
7.000000e+01	8.000000e+01	2.848900e+00	6.567660e-01	6.567660e-01
8.000000e+01	9.000000e+01	2.900700e+00	6.580934e-01	6.580934e-01
9.000000e+01	1.000000e+02	3.266800e+00	6.297516e-01	6.297516e-01
1.000000e+02	1.100000e+02	2.896300e+00	5.402808e-01	5.402808e-01
1.100000e+02	1.200000e+02	2.685300e+00	5.087942e-01	5.087942e-01
1.200000e+02	1.300000e+02	2.043900e+00	5.408229e-01	5.408229e-01
1.300000e+02	1.400000e+02	9.479000e-01	3.747449e-01	3.747449e-01
1.400000e+02	1.500000e+02	1.407200e+00	5.347080e-01	5.347080e-01
1.600000e+02	1.700000e+02	9.572000e-02	2.513954e-01	2.513954e-01
1.700000e+02	1.800000e+02	-1.110000e-02	1.916377e-02	1.916377e-02
1.800000e+02	1.900000e+02	1.605000e-03	3.834598e-02	3.834598e-02
1.900000e+02	2.000000e+02	0.000000e+00	7.072482e-03	7.072482e-03
2.000000e+02	2.100000e+02	0.000000e+00	7.000000e-04	7.000000e-04
2.100000e+02	2.200000e+02	2.923000e-04	3.604015e-04	3.604015e-04
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_WJET/d71-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_WJET/d71-x01-y01
Title=[13]  0.43
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.137000e+01	2.853653e+00	2.853653e+00
1.000000e+01	2.000000e+01	2.470400e+01	2.859881e+00	2.859881e+00
2.000000e+01	3.000000e+01	1.206700e+01	1.520017e+00	1.520017e+00
3.000000e+01	4.000000e+01	7.292900e+00	1.025622e+00	1.025622e+00
4.000000e+01	5.000000e+01	5.487700e+00	8.522832e-01	8.522832e-01
5.000000e+01	6.000000e+01	5.342000e+00	8.124088e-01	8.124088e-01
6.000000e+01	7.000000e+01	4.322500e+00	7.394630e-01	7.394630e-01
7.000000e+01	8.000000e+01	3.639501e+00	1.447367e+00	1.447367e+00
8.000000e+01	9.000000e+01	2.900700e+00	6.580934e-01	6.580934e-01
9.000000e+01	1.000000e+02	3.266800e+00	6.297516e-01	6.297516e-01
1.000000e+02	1.100000e+02	2.896300e+00	5.402808e-01	5.402808e-01
1.100000e+02	1.200000e+02	2.685300e+00	5.087942e-01	5.087942e-01
1.200000e+02	1.300000e+02	2.834501e+00	1.331424e+00	1.331424e+00
1.300000e+02	1.400000e+02	9.479000e-01	3.747449e-01	3.747449e-01
1.400000e+02	1.500000e+02	1.407200e+00	5.347080e-01	5.347080e-01
1.600000e+02	1.700000e+02	9.572000e-02	2.513954e-01	2.513954e-01
1.700000e+02	1.800000e+02	-1.110000e-02	1.916377e-02	1.916377e-02
1.800000e+02	1.900000e+02	1.605000e-03	3.834598e-02	3.834598e-02
1.900000e+02	2.000000e+02	0.000000e+00	7.072482e-03	7.072482e-03
2.000000e+02	2.100000e+02	0.000000e+00	7.000000e-04	7.000000e-04
2.100000e+02	2.200000e+02	2.923000e-04	3.604015e-04	3.604015e-04
# END HISTO1D

