# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_ZJET/d49-x01-y01 /LHC.yoda/CMS_2013_I1224539_ZJET/d49-x01-y01 /THY/CMS_2013_I1224539_ZJET/d49-x01-y01
XMax=150.0
Title=Filtered CA12 $Z$+jets, $p_{T,j}$ = 150--220 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_ZJET/d49-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d49-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_ZJET/d49-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.421000e-01	4.114336e-01	4.114336e-01
1.000000e+01	2.000000e+01	1.892700e+01	1.619784e+00	1.619784e+00
2.000000e+01	3.000000e+01	2.927100e+01	1.306316e+00	1.306316e+00
3.000000e+01	4.000000e+01	2.045200e+01	1.139517e+00	1.139517e+00
4.000000e+01	5.000000e+01	1.252200e+01	6.196209e-01	6.196209e-01
5.000000e+01	6.000000e+01	7.172000e+00	4.080929e-01	4.080929e-01
6.000000e+01	7.000000e+01	4.220300e+00	3.041833e-01	3.041833e-01
7.000000e+01	8.000000e+01	2.498400e+00	2.330406e-01	2.330406e-01
8.000000e+01	9.000000e+01	1.560400e+00	1.906002e-01	1.906002e-01
9.000000e+01	1.000000e+02	1.089900e+00	1.327918e-01	1.327918e-01
1.000000e+02	1.100000e+02	8.307000e-01	1.334651e-01	1.334651e-01
1.100000e+02	1.200000e+02	4.635000e-01	9.535560e-02	9.535560e-02
1.200000e+02	1.300000e+02	1.102000e-01	5.194497e-02	5.194497e-02
1.300000e+02	1.400000e+02	4.017000e-02	3.830835e-02	3.830835e-02
1.400000e+02	1.500000e+02	1.659000e-11	7.899600e-03	7.899600e-03
1.500000e+02	1.600000e+02	0.000000e+00	8.300000e-03	8.300000e-03
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d49-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_ZJET/d49-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.421000e-01	4.114336e-01	4.114336e-01
1.000000e+01	2.000000e+01	1.892700e+01	1.619784e+00	1.619784e+00
2.000000e+01	3.000000e+01	2.927100e+01	1.306316e+00	1.306316e+00
3.000000e+01	4.000000e+01	2.045200e+01	1.139517e+00	1.139517e+00
4.000000e+01	5.000000e+01	1.252200e+01	6.196209e-01	6.196209e-01
5.000000e+01	6.000000e+01	7.172000e+00	4.080929e-01	4.080929e-01
6.000000e+01	7.000000e+01	4.220300e+00	3.041833e-01	3.041833e-01
7.000000e+01	8.000000e+01	2.498400e+00	2.330406e-01	2.330406e-01
8.000000e+01	9.000000e+01	1.560400e+00	1.906002e-01	1.906002e-01
9.000000e+01	1.000000e+02	1.089900e+00	1.327918e-01	1.327918e-01
1.000000e+02	1.100000e+02	8.307000e-01	1.334651e-01	1.334651e-01
1.100000e+02	1.200000e+02	4.635000e-01	9.535560e-02	9.535560e-02
1.200000e+02	1.300000e+02	1.102000e-01	5.194497e-02	5.194497e-02
1.300000e+02	1.400000e+02	4.017000e-02	3.830835e-02	3.830835e-02
1.400000e+02	1.500000e+02	1.659000e-11	7.899600e-03	7.899600e-03
1.500000e+02	1.600000e+02	0.000000e+00	8.300000e-03	8.300000e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_ZJET/d49-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_ZJET/d49-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.421000e-01	4.114336e-01	4.114336e-01
1.000000e+01	2.000000e+01	1.892700e+01	1.619784e+00	1.619784e+00
2.000000e+01	3.000000e+01	2.927100e+01	1.306316e+00	1.306316e+00
3.000000e+01	4.000000e+01	2.045200e+01	1.139517e+00	1.139517e+00
4.000000e+01	5.000000e+01	1.252200e+01	6.196209e-01	6.196209e-01
5.000000e+01	6.000000e+01	7.172000e+00	4.080929e-01	4.080929e-01
6.000000e+01	7.000000e+01	4.220300e+00	3.041833e-01	3.041833e-01
7.000000e+01	8.000000e+01	2.498400e+00	2.330406e-01	2.330406e-01
8.000000e+01	9.000000e+01	1.560400e+00	1.906002e-01	1.906002e-01
9.000000e+01	1.000000e+02	1.089900e+00	1.327918e-01	1.327918e-01
1.000000e+02	1.100000e+02	8.307000e-01	1.334651e-01	1.334651e-01
1.100000e+02	1.200000e+02	4.635000e-01	9.535560e-02	9.535560e-02
1.200000e+02	1.300000e+02	1.102000e-01	5.194497e-02	5.194497e-02
1.300000e+02	1.400000e+02	4.017000e-02	3.830835e-02	3.830835e-02
1.400000e+02	1.500000e+02	1.659000e-11	7.899600e-03	7.899600e-03
1.500000e+02	1.600000e+02	0.000000e+00	8.300000e-03	8.300000e-03
# END HISTO1D

