# BEGIN PLOT
DrawOnly=/REF/CMS_2014_I1303894/d03-x01-y01 /LHC.yoda/CMS_2014_I1303894/d03-x01-y01 /THY/CMS_2014_I1303894/d03-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=5.0~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2014_I1303894/d03-x01-y01
RatioPlot=1
LogX=0
LogY=1
LegendXPos=0.7
XLabel=$\Delta \phi (\text{jet}_3,\mu)$ [rad]
MainPlot=1
YLabel=$d\sigma (\text{W}\rightarrow \mu \nu +\geq 3 \text{jet})/d\Delta\phi$ [pb/rad]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2014_I1303894/d03-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2014_I1303894/d03-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141592e-01	3.393818e+00	4.946256e-01	5.316529e-01
3.141593e-01	6.283185e-01	4.373621e+00	4.474854e-01	4.747487e-01
6.283186e-01	9.424778e-01	4.874085e+00	4.838143e-01	5.333300e-01
9.424772e-01	1.256637e+00	5.026555e+00	5.114349e-01	5.719516e-01
1.256637e+00	1.570797e+00	5.308763e+00	4.924561e-01	5.539475e-01
1.570796e+00	1.884956e+00	5.701053e+00	5.054551e-01	6.017800e-01
1.884955e+00	2.199115e+00	5.967917e+00	4.450757e-01	5.497841e-01
2.199115e+00	2.513275e+00	6.208178e+00	4.560202e-01	5.623633e-01
2.513274e+00	2.827434e+00	6.294704e+00	3.832755e-01	5.273441e-01
2.827433e+00	3.141593e+00	6.367209e+00	3.505469e-01	4.689223e-01
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2014_I1303894/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2014_I1303894/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141592e-01	3.393818e+00	4.946256e-01	5.316529e-01
3.141593e-01	6.283185e-01	4.373621e+00	4.474854e-01	4.747487e-01
6.283186e-01	9.424778e-01	4.874085e+00	4.838143e-01	5.333300e-01
9.424772e-01	1.256637e+00	5.026555e+00	5.114349e-01	5.719516e-01
1.256637e+00	1.570797e+00	5.308763e+00	4.924561e-01	5.539475e-01
1.570796e+00	1.884956e+00	5.701053e+00	5.054551e-01	6.017800e-01
1.884955e+00	2.199115e+00	5.967917e+00	4.450757e-01	5.497841e-01
2.199115e+00	2.513275e+00	6.208178e+00	4.560202e-01	5.623633e-01
2.513274e+00	2.827434e+00	6.294704e+00	3.832755e-01	5.273441e-01
2.827433e+00	3.141593e+00	6.367209e+00	3.505469e-01	4.689223e-01
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2014_I1303894/d03-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2014_I1303894/d03-x01-y01
Title=[10]  0.13
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141592e-01	3.393818e+00	4.946256e-01	5.316529e-01
3.141593e-01	6.283185e-01	4.395263e+00	4.627889e-01	4.900522e-01
6.283186e-01	9.424778e-01	4.884906e+00	4.946355e-01	5.441512e-01
9.424772e-01	1.256637e+00	5.048197e+00	5.267384e-01	5.872551e-01
1.256637e+00	1.570797e+00	5.319584e+00	5.032773e-01	5.647687e-01
1.570796e+00	1.884956e+00	5.701053e+00	5.054551e-01	6.017800e-01
1.884955e+00	2.199115e+00	6.000381e+00	4.638185e-01	5.685269e-01
2.199115e+00	2.513275e+00	6.240642e+00	4.747630e-01	5.811061e-01
2.513274e+00	2.827434e+00	6.316346e+00	3.985790e-01	5.426476e-01
2.827433e+00	3.141593e+00	6.442957e+00	3.791771e-01	4.975525e-01
# END HISTO1D

