# BEGIN PLOT
DrawOnly=/REF/CMS_2014_I1303894/d11-x01-y01 /LHC.yoda/CMS_2014_I1303894/d11-x01-y01 /THY/CMS_2014_I1303894/d11-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=5.0~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2014_I1303894/d11-x01-y01
RatioPlot=1
LogX=0
LogY=1
LegendXPos=0.7
XLabel=$H_{\text{T}}$ $(\geq 3 \text{jet})$ [GeV]
MainPlot=1
YLabel=$d\sigma (\text{W}\rightarrow \mu \nu +\geq 3 \text{jet})/dH_{\text{T}}$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2014_I1303894/d11-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2014_I1303894/d11-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
9.000000e+01	1.200000e+02	4.724117e-02	3.618567e-03	4.480323e-03
1.200000e+02	1.800000e+02	1.021231e-01	6.635721e-03	7.995964e-03
1.800000e+02	2.400000e+02	6.750353e-02	5.642785e-03	6.756811e-03
2.400000e+02	3.000000e+02	3.661958e-02	4.437941e-03	4.750757e-03
3.000000e+02	3.600000e+02	2.079314e-02	2.583249e-03	2.774975e-03
3.600000e+02	4.200000e+02	1.161251e-02	1.467205e-03	1.715439e-03
4.200000e+02	5.400000e+02	5.408678e-03	6.175580e-04	7.709384e-04
5.400000e+02	6.600000e+02	1.981837e-03	2.885974e-04	3.673058e-04
6.600000e+02	8.400000e+02	8.314834e-04	8.678103e-05	1.271443e-04
8.400000e+02	1.680000e+03	7.870838e-05	1.210898e-05	1.009082e-05
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2014_I1303894/d11-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2014_I1303894/d11-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.000000e+01	1.200000e+02	4.724117e-02	3.618567e-03	4.480323e-03
1.200000e+02	1.800000e+02	1.021231e-01	6.635721e-03	7.995964e-03
1.800000e+02	2.400000e+02	6.750353e-02	5.642785e-03	6.756811e-03
2.400000e+02	3.000000e+02	3.661958e-02	4.437941e-03	4.750757e-03
3.000000e+02	3.600000e+02	2.079314e-02	2.583249e-03	2.774975e-03
3.600000e+02	4.200000e+02	1.161251e-02	1.467205e-03	1.715439e-03
4.200000e+02	5.400000e+02	5.408678e-03	6.175580e-04	7.709384e-04
5.400000e+02	6.600000e+02	1.981837e-03	2.885974e-04	3.673058e-04
6.600000e+02	8.400000e+02	8.314834e-04	8.678103e-05	1.271443e-04
8.400000e+02	1.680000e+03	7.870838e-05	1.210898e-05	1.009082e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2014_I1303894/d11-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2014_I1303894/d11-x01-y01
Title=[9]  0.31
# xlow	 xhigh	 val	 errminus	 errplus
9.000000e+01	1.200000e+02	4.724117e-02	3.618567e-03	4.480323e-03
1.200000e+02	1.800000e+02	1.021231e-01	6.635721e-03	7.995964e-03
1.800000e+02	2.400000e+02	6.750353e-02	5.642785e-03	6.756811e-03
2.400000e+02	3.000000e+02	3.673290e-02	4.518070e-03	4.830886e-03
3.000000e+02	3.600000e+02	2.101978e-02	2.696568e-03	2.888294e-03
3.600000e+02	4.200000e+02	1.172583e-02	1.547334e-03	1.795568e-03
4.200000e+02	5.400000e+02	5.521997e-03	6.742177e-04	8.275981e-04
5.400000e+02	6.600000e+02	2.123486e-03	3.519449e-04	4.306533e-04
6.600000e+02	8.400000e+02	8.881431e-04	1.194935e-04	1.598568e-04
8.400000e+02	1.680000e+03	8.275550e-05	1.615610e-05	1.413794e-05
# END HISTO1D

