# BEGIN PLOT
DrawOnly=/REF/CMS_2015_I1310737/d04-x01-y01 /LHC.yoda/CMS_2015_I1310737/d04-x01-y01 /THY/CMS_2015_I1310737/d04-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=4.9~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2015_I1310737/d04-x01-y01
RatioPlot=1
LogX=0
LogY=1
LegendXPos=0.7
XLabel=Second jet $p_T$ [GeV]
MainPlot=1
YLabel=$d\sigma/dp_{T}$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2015_I1310737/d04-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2015_I1310737/d04-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	5.000000e+01	4.241986e-01	4.100112e-02	4.100112e-02
5.000000e+01	7.000000e+01	1.193446e-01	1.229843e-02	1.229843e-02
7.000000e+01	9.000000e+01	4.746535e-02	4.960815e-03	4.960815e-03
9.000000e+01	1.100000e+02	2.200114e-02	2.487310e-03	2.487310e-03
1.100000e+02	1.300000e+02	1.188293e-02	1.185323e-03	1.185323e-03
1.300000e+02	1.500000e+02	6.708614e-03	7.508825e-04	7.508825e-04
1.500000e+02	1.700000e+02	4.276887e-03	4.716168e-04	4.716168e-04
1.700000e+02	1.900000e+02	2.493156e-03	2.843774e-04	2.843774e-04
1.900000e+02	2.100000e+02	1.590025e-03	1.773560e-04	1.773560e-04
2.100000e+02	2.300000e+02	1.058373e-03	1.284081e-04	1.284081e-04
2.300000e+02	2.500000e+02	7.744239e-04	9.979543e-05	9.979543e-05
2.500000e+02	2.700000e+02	4.908093e-04	7.564130e-05	7.564130e-05
2.700000e+02	2.900000e+02	3.895460e-04	7.234360e-05	7.234360e-05
2.900000e+02	3.100000e+02	2.842364e-04	6.693648e-05	6.693648e-05
3.100000e+02	3.300000e+02	2.098547e-04	5.964793e-05	5.964793e-05
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2015_I1310737/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2015_I1310737/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	5.000000e+01	4.241986e-01	4.100112e-02	4.100112e-02
5.000000e+01	7.000000e+01	1.193446e-01	1.229843e-02	1.229843e-02
7.000000e+01	9.000000e+01	4.746535e-02	4.960815e-03	4.960815e-03
9.000000e+01	1.100000e+02	2.200114e-02	2.487310e-03	2.487310e-03
1.100000e+02	1.300000e+02	1.188293e-02	1.185323e-03	1.185323e-03
1.300000e+02	1.500000e+02	6.708614e-03	7.508825e-04	7.508825e-04
1.500000e+02	1.700000e+02	4.276887e-03	4.716168e-04	4.716168e-04
1.700000e+02	1.900000e+02	2.493156e-03	2.843774e-04	2.843774e-04
1.900000e+02	2.100000e+02	1.590025e-03	1.773560e-04	1.773560e-04
2.100000e+02	2.300000e+02	1.058373e-03	1.284081e-04	1.284081e-04
2.300000e+02	2.500000e+02	7.744239e-04	9.979543e-05	9.979543e-05
2.500000e+02	2.700000e+02	4.908093e-04	7.564130e-05	7.564130e-05
2.700000e+02	2.900000e+02	3.895460e-04	7.234360e-05	7.234360e-05
2.900000e+02	3.100000e+02	2.842364e-04	6.693648e-05	6.693648e-05
3.100000e+02	3.300000e+02	2.098547e-04	5.964793e-05	5.964793e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2015_I1310737/d04-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2015_I1310737/d04-x01-y01
Title=[6]  0.08
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	5.000000e+01	4.241986e-01	4.100112e-02	4.100112e-02
5.000000e+01	7.000000e+01	1.194296e-01	1.238342e-02	1.238342e-02
7.000000e+01	9.000000e+01	4.746535e-02	4.960815e-03	4.960815e-03
9.000000e+01	1.100000e+02	2.200114e-02	2.487310e-03	2.487310e-03
1.100000e+02	1.300000e+02	1.188293e-02	1.185323e-03	1.185323e-03
1.300000e+02	1.500000e+02	6.793604e-03	8.358721e-04	8.358721e-04
1.500000e+02	1.700000e+02	4.276887e-03	4.716168e-04	4.716168e-04
1.700000e+02	1.900000e+02	2.493156e-03	2.843774e-04	2.843774e-04
1.900000e+02	2.100000e+02	1.590025e-03	1.773560e-04	1.773560e-04
2.100000e+02	2.300000e+02	1.058373e-03	1.284081e-04	1.284081e-04
2.300000e+02	2.500000e+02	7.744239e-04	9.979543e-05	9.979543e-05
2.500000e+02	2.700000e+02	4.908093e-04	7.564130e-05	7.564130e-05
2.700000e+02	2.900000e+02	3.895460e-04	7.234360e-05	7.234360e-05
2.900000e+02	3.100000e+02	2.842364e-04	6.693648e-05	6.693648e-05
3.100000e+02	3.300000e+02	2.098547e-04	5.964793e-05	5.964793e-05
# END HISTO1D

