# BEGIN PLOT
DrawOnly=/REF/CMS_2015_I1310737/d07-x01-y01 /LHC.yoda/CMS_2015_I1310737/d07-x01-y01 /THY/CMS_2015_I1310737/d07-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=4.9~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2015_I1310737/d07-x01-y01
RatioPlot=1
LogX=0
LogY=0
LegendXPos=0.7
XLabel=Leading jet $|\eta|$
MainPlot=1
YLabel=$d\sigma/d|\eta|$ [pb]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2015_I1310737/d07-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2015_I1310737/d07-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.355709e+01	2.716695e+00	2.716695e+00
2.000000e-01	4.000000e-01	3.278537e+01	2.673517e+00	2.673517e+00
4.000000e-01	6.000000e-01	3.205709e+01	2.679845e+00	2.679845e+00
6.000000e-01	8.000000e-01	3.113952e+01	2.721057e+00	2.721057e+00
8.000000e-01	1.000000e+00	2.988756e+01	2.500631e+00	2.500631e+00
1.000000e+00	1.200000e+00	2.818619e+01	2.338527e+00	2.338527e+00
1.200000e+00	1.400000e+00	2.638151e+01	2.297811e+00	2.297811e+00
1.400000e+00	1.600000e+00	2.395901e+01	2.429436e+00	2.429436e+00
1.600000e+00	1.800000e+00	2.137102e+01	2.540226e+00	2.540226e+00
1.800000e+00	2.000000e+00	1.861515e+01	2.694500e+00	2.694500e+00
2.000000e+00	2.200000e+00	1.598323e+01	2.452088e+00	2.452088e+00
2.200000e+00	2.400000e+00	1.321122e+01	1.840073e+00	1.840073e+00
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2015_I1310737/d07-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2015_I1310737/d07-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.355709e+01	2.716695e+00	2.716695e+00
2.000000e-01	4.000000e-01	3.278537e+01	2.673517e+00	2.673517e+00
4.000000e-01	6.000000e-01	3.205709e+01	2.679845e+00	2.679845e+00
6.000000e-01	8.000000e-01	3.113952e+01	2.721057e+00	2.721057e+00
8.000000e-01	1.000000e+00	2.988756e+01	2.500631e+00	2.500631e+00
1.000000e+00	1.200000e+00	2.818619e+01	2.338527e+00	2.338527e+00
1.200000e+00	1.400000e+00	2.638151e+01	2.297811e+00	2.297811e+00
1.400000e+00	1.600000e+00	2.395901e+01	2.429436e+00	2.429436e+00
1.600000e+00	1.800000e+00	2.137102e+01	2.540226e+00	2.540226e+00
1.800000e+00	2.000000e+00	1.861515e+01	2.694500e+00	2.694500e+00
2.000000e+00	2.200000e+00	1.598323e+01	2.452088e+00	2.452088e+00
2.200000e+00	2.400000e+00	1.321122e+01	1.840073e+00	1.840073e+00
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2015_I1310737/d07-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2015_I1310737/d07-x01-y01
Title=[1]  0.00
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.356559e+01	2.725194e+00	2.725194e+00
2.000000e-01	4.000000e-01	3.278537e+01	2.673517e+00	2.673517e+00
4.000000e-01	6.000000e-01	3.205709e+01	2.679845e+00	2.679845e+00
6.000000e-01	8.000000e-01	3.114802e+01	2.729556e+00	2.729556e+00
8.000000e-01	1.000000e+00	2.988756e+01	2.500631e+00	2.500631e+00
1.000000e+00	1.200000e+00	2.818619e+01	2.338527e+00	2.338527e+00
1.200000e+00	1.400000e+00	2.638151e+01	2.297811e+00	2.297811e+00
1.400000e+00	1.600000e+00	2.395901e+01	2.429436e+00	2.429436e+00
1.600000e+00	1.800000e+00	2.137102e+01	2.540226e+00	2.540226e+00
1.800000e+00	2.000000e+00	1.861515e+01	2.694500e+00	2.694500e+00
2.000000e+00	2.200000e+00	1.598323e+01	2.452088e+00	2.452088e+00
2.200000e+00	2.400000e+00	1.321122e+01	1.840073e+00	1.840073e+00
# END HISTO1D

