# BEGIN PLOT
DrawOnly=/REF/CMS_2015_I1310737/d14-x01-y01 /LHC.yoda/CMS_2015_I1310737/d14-x01-y01 /THY/CMS_2015_I1310737/d14-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=4.9~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2015_I1310737/d14-x01-y01
RatioPlot=1
LogX=0
LogY=1
LegendXPos=0.7
XLabel=$H_T, N_{jet} \ge 4$ [GeV]
MainPlot=1
YLabel=$d\sigma/dH_{T}$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2015_I1310737/d14-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2015_I1310737/d14-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.200000e+02	1.800000e+02	8.401534e-04	2.076241e-04	2.076241e-04
1.800000e+02	2.400000e+02	2.139974e-03	4.287209e-04	4.287209e-04
2.400000e+02	3.000000e+02	1.672672e-03	2.677844e-04	2.677844e-04
3.000000e+02	3.600000e+02	1.144720e-03	1.903043e-04	1.903043e-04
3.600000e+02	4.200000e+02	7.702103e-04	1.226723e-04	1.226723e-04
4.200000e+02	4.800000e+02	5.512217e-04	9.689592e-05	9.689592e-05
4.800000e+02	5.400000e+02	3.708568e-04	7.307104e-05	7.307104e-05
5.400000e+02	6.000000e+02	2.153122e-04	4.905777e-05	4.905777e-05
6.000000e+02	6.600000e+02	1.172759e-04	2.922779e-05	2.922779e-05
6.600000e+02	7.200000e+02	8.268981e-05	2.380373e-05	2.380373e-05
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2015_I1310737/d14-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2015_I1310737/d14-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.200000e+02	1.800000e+02	8.401534e-04	2.076241e-04	2.076241e-04
1.800000e+02	2.400000e+02	2.139974e-03	4.287209e-04	4.287209e-04
2.400000e+02	3.000000e+02	1.672672e-03	2.677844e-04	2.677844e-04
3.000000e+02	3.600000e+02	1.144720e-03	1.903043e-04	1.903043e-04
3.600000e+02	4.200000e+02	7.702103e-04	1.226723e-04	1.226723e-04
4.200000e+02	4.800000e+02	5.512217e-04	9.689592e-05	9.689592e-05
4.800000e+02	5.400000e+02	3.708568e-04	7.307104e-05	7.307104e-05
5.400000e+02	6.000000e+02	2.153122e-04	4.905777e-05	4.905777e-05
6.000000e+02	6.600000e+02	1.172759e-04	2.922779e-05	2.922779e-05
6.600000e+02	7.200000e+02	8.268981e-05	2.380373e-05	2.380373e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2015_I1310737/d14-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2015_I1310737/d14-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.200000e+02	1.800000e+02	8.401534e-04	2.076241e-04	2.076241e-04
1.800000e+02	2.400000e+02	2.139974e-03	4.287209e-04	4.287209e-04
2.400000e+02	3.000000e+02	1.672672e-03	2.677844e-04	2.677844e-04
3.000000e+02	3.600000e+02	1.144720e-03	1.903043e-04	1.903043e-04
3.600000e+02	4.200000e+02	7.702103e-04	1.226723e-04	1.226723e-04
4.200000e+02	4.800000e+02	5.512217e-04	9.689592e-05	9.689592e-05
4.800000e+02	5.400000e+02	3.708568e-04	7.307104e-05	7.307104e-05
5.400000e+02	6.000000e+02	2.153122e-04	4.905777e-05	4.905777e-05
6.000000e+02	6.600000e+02	1.172759e-04	2.922779e-05	2.922779e-05
6.600000e+02	7.200000e+02	8.268981e-05	2.380373e-05	2.380373e-05
# END HISTO1D

