# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d11-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d11-x01-y02 /THY/ATLAS_2013_I1230812_EL/d11-x01-y02
Title=Transverse momentum of 3rd jet
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d11-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
XLabel=$p_\perp$(3rd jet) [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d11-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d11-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	1.867000e-01	2.702924e-02	2.702924e-02
3.500000e+01	4.000000e+01	1.127000e-01	1.435479e-02	1.435479e-02
4.000000e+01	5.000000e+01	5.987000e-02	7.116839e-03	7.116839e-03
5.000000e+01	6.000000e+01	2.755000e-02	3.113342e-03	3.113342e-03
6.000000e+01	7.000000e+01	1.382000e-02	1.476415e-03	1.476415e-03
7.000000e+01	8.000000e+01	7.589000e-03	8.408032e-04	8.408032e-04
8.000000e+01	1.000000e+02	3.790000e-03	4.523339e-04	4.523339e-04
1.000000e+02	1.200000e+02	1.479000e-03	2.174327e-04	2.174327e-04
1.200000e+02	1.400000e+02	6.346000e-04	1.234653e-04	1.234653e-04
1.400000e+02	1.600000e+02	3.144000e-04	8.144649e-05	8.144649e-05
1.600000e+02	2.000000e+02	1.019000e-04	3.583336e-05	3.583336e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d11-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d11-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	1.867000e-01	2.702924e-02	2.702924e-02
3.500000e+01	4.000000e+01	1.127000e-01	1.435479e-02	1.435479e-02
4.000000e+01	5.000000e+01	5.987000e-02	7.116839e-03	7.116839e-03
5.000000e+01	6.000000e+01	2.755000e-02	3.113342e-03	3.113342e-03
6.000000e+01	7.000000e+01	1.382000e-02	1.476415e-03	1.476415e-03
7.000000e+01	8.000000e+01	7.589000e-03	8.408032e-04	8.408032e-04
8.000000e+01	1.000000e+02	3.790000e-03	4.523339e-04	4.523339e-04
1.000000e+02	1.200000e+02	1.479000e-03	2.174327e-04	2.174327e-04
1.200000e+02	1.400000e+02	6.346000e-04	1.234653e-04	1.234653e-04
1.400000e+02	1.600000e+02	3.144000e-04	8.144649e-05	8.144649e-05
1.600000e+02	2.000000e+02	1.019000e-04	3.583336e-05	3.583336e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_EL/d11-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_EL/d11-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	1.867000e-01	2.702924e-02	2.702924e-02
3.500000e+01	4.000000e+01	1.127000e-01	1.435479e-02	1.435479e-02
4.000000e+01	5.000000e+01	5.987000e-02	7.116839e-03	7.116839e-03
5.000000e+01	6.000000e+01	2.755000e-02	3.113342e-03	3.113342e-03
6.000000e+01	7.000000e+01	1.382000e-02	1.476415e-03	1.476415e-03
7.000000e+01	8.000000e+01	7.589000e-03	8.408032e-04	8.408032e-04
8.000000e+01	1.000000e+02	3.790000e-03	4.523339e-04	4.523339e-04
1.000000e+02	1.200000e+02	1.479000e-03	2.174327e-04	2.174327e-04
1.200000e+02	1.400000e+02	6.346000e-04	1.234653e-04	1.234653e-04
1.400000e+02	1.600000e+02	3.144000e-04	8.144649e-05	8.144649e-05
1.600000e+02	2.000000e+02	1.019000e-04	3.583336e-05	3.583336e-05
# END HISTO1D

