# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d14-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d14-x01-y02 /THY/ATLAS_2013_I1230812_EL/d14-x01-y02
Title=Ratio of jet transverse momenta
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d14-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
XLabel=$p_\perp$(2nd jet)/$p_\perp$(1st jet)
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d($p_\perp$ ratio) [pb]
LegendYPos=0.5
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d14-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d14-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	6.433000e-03	5.153919e-03	5.153919e-03
5.000000e-02	1.000000e-01	1.113000e-01	2.391757e-02	2.391757e-02
1.000000e-01	1.500000e-01	6.032000e-01	6.658896e-02	6.658896e-02
1.500000e-01	2.000000e-01	1.627000e+00	1.410035e-01	1.410035e-01
2.000000e-01	2.500000e-01	3.305000e+00	2.645600e-01	2.645600e-01
2.500000e-01	3.000000e-01	5.256000e+00	4.343282e-01	4.343282e-01
3.000000e-01	3.500000e-01	7.495000e+00	6.169449e-01	6.169449e-01
3.500000e-01	4.000000e-01	9.805000e+00	8.006716e-01	8.006716e-01
4.000000e-01	4.500000e-01	1.208000e+01	1.000450e+00	1.000450e+00
4.500000e-01	5.000000e-01	1.418000e+01	1.230203e+00	1.230203e+00
5.000000e-01	5.500000e-01	1.594000e+01	1.429720e+00	1.429720e+00
5.500000e-01	6.000000e-01	1.775000e+01	1.639055e+00	1.639055e+00
6.000000e-01	6.500000e-01	1.910000e+01	1.808204e+00	1.808204e+00
6.500000e-01	7.000000e-01	2.047000e+01	1.978029e+00	1.978029e+00
7.000000e-01	7.500000e-01	2.150000e+01	2.127463e+00	2.127463e+00
7.500000e-01	8.000000e-01	2.249000e+01	2.278113e+00	2.278113e+00
8.000000e-01	8.500000e-01	2.329000e+01	2.398875e+00	2.398875e+00
8.500000e-01	9.000000e-01	2.410000e+01	2.519107e+00	2.519107e+00
9.000000e-01	9.500000e-01	2.445000e+01	2.590058e+00	2.590058e+00
9.500000e-01	1.000000e+00	2.461000e+01	2.621202e+00	2.621202e+00
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d14-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d14-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	6.433000e-03	5.153919e-03	5.153919e-03
5.000000e-02	1.000000e-01	1.113000e-01	2.391757e-02	2.391757e-02
1.000000e-01	1.500000e-01	6.032000e-01	6.658896e-02	6.658896e-02
1.500000e-01	2.000000e-01	1.627000e+00	1.410035e-01	1.410035e-01
2.000000e-01	2.500000e-01	3.305000e+00	2.645600e-01	2.645600e-01
2.500000e-01	3.000000e-01	5.256000e+00	4.343282e-01	4.343282e-01
3.000000e-01	3.500000e-01	7.495000e+00	6.169449e-01	6.169449e-01
3.500000e-01	4.000000e-01	9.805000e+00	8.006716e-01	8.006716e-01
4.000000e-01	4.500000e-01	1.208000e+01	1.000450e+00	1.000450e+00
4.500000e-01	5.000000e-01	1.418000e+01	1.230203e+00	1.230203e+00
5.000000e-01	5.500000e-01	1.594000e+01	1.429720e+00	1.429720e+00
5.500000e-01	6.000000e-01	1.775000e+01	1.639055e+00	1.639055e+00
6.000000e-01	6.500000e-01	1.910000e+01	1.808204e+00	1.808204e+00
6.500000e-01	7.000000e-01	2.047000e+01	1.978029e+00	1.978029e+00
7.000000e-01	7.500000e-01	2.150000e+01	2.127463e+00	2.127463e+00
7.500000e-01	8.000000e-01	2.249000e+01	2.278113e+00	2.278113e+00
8.000000e-01	8.500000e-01	2.329000e+01	2.398875e+00	2.398875e+00
8.500000e-01	9.000000e-01	2.410000e+01	2.519107e+00	2.519107e+00
9.000000e-01	9.500000e-01	2.445000e+01	2.590058e+00	2.590058e+00
9.500000e-01	1.000000e+00	2.461000e+01	2.621202e+00	2.621202e+00
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_EL/d14-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_EL/d14-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	6.433000e-03	5.153919e-03	5.153919e-03
5.000000e-02	1.000000e-01	1.113000e-01	2.391757e-02	2.391757e-02
1.000000e-01	1.500000e-01	6.032000e-01	6.658896e-02	6.658896e-02
1.500000e-01	2.000000e-01	1.627000e+00	1.410035e-01	1.410035e-01
2.000000e-01	2.500000e-01	3.305000e+00	2.645600e-01	2.645600e-01
2.500000e-01	3.000000e-01	5.256000e+00	4.343282e-01	4.343282e-01
3.000000e-01	3.500000e-01	7.495000e+00	6.169449e-01	6.169449e-01
3.500000e-01	4.000000e-01	9.805000e+00	8.006716e-01	8.006716e-01
4.000000e-01	4.500000e-01	1.208000e+01	1.000450e+00	1.000450e+00
4.500000e-01	5.000000e-01	1.418000e+01	1.230203e+00	1.230203e+00
5.000000e-01	5.500000e-01	1.594000e+01	1.429720e+00	1.429720e+00
5.500000e-01	6.000000e-01	1.775000e+01	1.639055e+00	1.639055e+00
6.000000e-01	6.500000e-01	1.910000e+01	1.808204e+00	1.808204e+00
6.500000e-01	7.000000e-01	2.047000e+01	1.978029e+00	1.978029e+00
7.000000e-01	7.500000e-01	2.150000e+01	2.127463e+00	2.127463e+00
7.500000e-01	8.000000e-01	2.249000e+01	2.278113e+00	2.278113e+00
8.000000e-01	8.500000e-01	2.329000e+01	2.398875e+00	2.398875e+00
8.500000e-01	9.000000e-01	2.410000e+01	2.519107e+00	2.519107e+00
9.000000e-01	9.500000e-01	2.445000e+01	2.590058e+00	2.590058e+00
9.500000e-01	1.000000e+00	2.461000e+01	2.621202e+00	2.621202e+00
# END HISTO1D

