# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d16-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d16-x01-y02 /THY/ATLAS_2013_I1230812_EL/d16-x01-y02
Title=Transverse momentum of $Z$-boson ($Z+1$jet events)
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d16-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
XLabel=$p_\perp(Z)$ [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d16-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d16-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	4.345000e-01	6.134974e-02	6.134974e-02
4.000000e+01	8.000000e+01	6.068000e-01	2.257166e-02	2.257166e-02
8.000000e+01	1.200000e+02	1.174000e-01	5.533534e-03	5.533534e-03
1.200000e+02	1.600000e+02	2.661000e-02	1.365796e-03	1.365796e-03
1.600000e+02	2.000000e+02	8.215000e-03	5.310565e-04	5.310565e-04
2.000000e+02	2.400000e+02	2.772000e-03	2.195040e-04	2.195040e-04
2.400000e+02	2.800000e+02	1.147000e-03	1.271259e-04	1.271259e-04
2.800000e+02	3.200000e+02	6.114000e-04	8.909287e-05	8.909287e-05
3.200000e+02	3.600000e+02	2.069000e-04	4.872874e-05	4.872874e-05
3.600000e+02	4.000000e+02	1.794000e-04	4.549527e-05	4.549527e-05
4.000000e+02	4.400000e+02	7.958000e-05	3.136218e-05	3.136218e-05
4.400000e+02	4.800000e+02	3.095000e-05	1.673328e-05	1.673328e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d16-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d16-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	4.345000e-01	6.134974e-02	6.134974e-02
4.000000e+01	8.000000e+01	6.068000e-01	2.257166e-02	2.257166e-02
8.000000e+01	1.200000e+02	1.174000e-01	5.533534e-03	5.533534e-03
1.200000e+02	1.600000e+02	2.661000e-02	1.365796e-03	1.365796e-03
1.600000e+02	2.000000e+02	8.215000e-03	5.310565e-04	5.310565e-04
2.000000e+02	2.400000e+02	2.772000e-03	2.195040e-04	2.195040e-04
2.400000e+02	2.800000e+02	1.147000e-03	1.271259e-04	1.271259e-04
2.800000e+02	3.200000e+02	6.114000e-04	8.909287e-05	8.909287e-05
3.200000e+02	3.600000e+02	2.069000e-04	4.872874e-05	4.872874e-05
3.600000e+02	4.000000e+02	1.794000e-04	4.549527e-05	4.549527e-05
4.000000e+02	4.400000e+02	7.958000e-05	3.136218e-05	3.136218e-05
4.400000e+02	4.800000e+02	3.095000e-05	1.673328e-05	1.673328e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_EL/d16-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_EL/d16-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	4.345000e-01	6.134974e-02	6.134974e-02
4.000000e+01	8.000000e+01	6.068000e-01	2.257166e-02	2.257166e-02
8.000000e+01	1.200000e+02	1.174000e-01	5.533534e-03	5.533534e-03
1.200000e+02	1.600000e+02	2.661000e-02	1.365796e-03	1.365796e-03
1.600000e+02	2.000000e+02	8.215000e-03	5.310565e-04	5.310565e-04
2.000000e+02	2.400000e+02	2.772000e-03	2.195040e-04	2.195040e-04
2.400000e+02	2.800000e+02	1.147000e-03	1.271259e-04	1.271259e-04
2.800000e+02	3.200000e+02	6.114000e-04	8.909287e-05	8.909287e-05
3.200000e+02	3.600000e+02	2.069000e-04	4.872874e-05	4.872874e-05
3.600000e+02	4.000000e+02	1.794000e-04	4.549527e-05	4.549527e-05
4.000000e+02	4.400000e+02	7.958000e-05	3.136218e-05	3.136218e-05
4.400000e+02	4.800000e+02	3.095000e-05	1.673328e-05	1.673328e-05
# END HISTO1D

