# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d18-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d18-x01-y02 /THY/ATLAS_2013_I1230812_EL/d18-x01-y02
Title=Rapidity of 2nd jet
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d18-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
LegendXPos=0.05
XLabel=$|y|$(2nd jet)
LegendAlign=l
MainPlot=1
YLabel=d$\sigma$/d$|y|$ [pb]
LegendYPos=0.5
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d18-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d18-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.178000e+00	4.929686e-01	4.929686e-01
2.000000e-01	4.000000e-01	6.220000e+00	5.061492e-01	5.061492e-01
4.000000e-01	6.000000e-01	6.068000e+00	4.816191e-01	4.816191e-01
6.000000e-01	8.000000e-01	5.761000e+00	4.809834e-01	4.809834e-01
8.000000e-01	1.000000e+00	5.459000e+00	4.680481e-01	4.680481e-01
1.000000e+00	1.200000e+00	5.076000e+00	4.492060e-01	4.492060e-01
1.200000e+00	1.400000e+00	4.986000e+00	4.621277e-01	4.621277e-01
1.400000e+00	1.600000e+00	4.526000e+00	3.947696e-01	3.947696e-01
1.600000e+00	1.800000e+00	3.809000e+00	3.564674e-01	3.564674e-01
1.800000e+00	2.000000e+00	3.455000e+00	3.282773e-01	3.282773e-01
2.000000e+00	2.200000e+00	2.927000e+00	2.847929e-01	2.847929e-01
2.200000e+00	2.400000e+00	2.670000e+00	2.879878e-01	2.879878e-01
2.400000e+00	2.600000e+00	2.190000e+00	2.949881e-01	2.949881e-01
2.600000e+00	2.800000e+00	1.946000e+00	2.918784e-01	2.918784e-01
2.800000e+00	3.000000e+00	1.653000e+00	2.943348e-01	2.943348e-01
3.000000e+00	3.400000e+00	1.045000e+00	1.753796e-01	1.753796e-01
3.400000e+00	3.800000e+00	5.510000e-01	1.120202e-01	1.120202e-01
3.800000e+00	4.400000e+00	2.108000e-01	5.819149e-02	5.819149e-02
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d18-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d18-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.178000e+00	4.929686e-01	4.929686e-01
2.000000e-01	4.000000e-01	6.220000e+00	5.061492e-01	5.061492e-01
4.000000e-01	6.000000e-01	6.068000e+00	4.816191e-01	4.816191e-01
6.000000e-01	8.000000e-01	5.761000e+00	4.809834e-01	4.809834e-01
8.000000e-01	1.000000e+00	5.459000e+00	4.680481e-01	4.680481e-01
1.000000e+00	1.200000e+00	5.076000e+00	4.492060e-01	4.492060e-01
1.200000e+00	1.400000e+00	4.986000e+00	4.621277e-01	4.621277e-01
1.400000e+00	1.600000e+00	4.526000e+00	3.947696e-01	3.947696e-01
1.600000e+00	1.800000e+00	3.809000e+00	3.564674e-01	3.564674e-01
1.800000e+00	2.000000e+00	3.455000e+00	3.282773e-01	3.282773e-01
2.000000e+00	2.200000e+00	2.927000e+00	2.847929e-01	2.847929e-01
2.200000e+00	2.400000e+00	2.670000e+00	2.879878e-01	2.879878e-01
2.400000e+00	2.600000e+00	2.190000e+00	2.949881e-01	2.949881e-01
2.600000e+00	2.800000e+00	1.946000e+00	2.918784e-01	2.918784e-01
2.800000e+00	3.000000e+00	1.653000e+00	2.943348e-01	2.943348e-01
3.000000e+00	3.400000e+00	1.045000e+00	1.753796e-01	1.753796e-01
3.400000e+00	3.800000e+00	5.510000e-01	1.120202e-01	1.120202e-01
3.800000e+00	4.400000e+00	2.108000e-01	5.819149e-02	5.819149e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_EL/d18-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_EL/d18-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.178000e+00	4.929686e-01	4.929686e-01
2.000000e-01	4.000000e-01	6.220000e+00	5.061492e-01	5.061492e-01
4.000000e-01	6.000000e-01	6.068000e+00	4.816191e-01	4.816191e-01
6.000000e-01	8.000000e-01	5.761000e+00	4.809834e-01	4.809834e-01
8.000000e-01	1.000000e+00	5.459000e+00	4.680481e-01	4.680481e-01
1.000000e+00	1.200000e+00	5.076000e+00	4.492060e-01	4.492060e-01
1.200000e+00	1.400000e+00	4.986000e+00	4.621277e-01	4.621277e-01
1.400000e+00	1.600000e+00	4.526000e+00	3.947696e-01	3.947696e-01
1.600000e+00	1.800000e+00	3.809000e+00	3.564674e-01	3.564674e-01
1.800000e+00	2.000000e+00	3.455000e+00	3.282773e-01	3.282773e-01
2.000000e+00	2.200000e+00	2.927000e+00	2.847929e-01	2.847929e-01
2.200000e+00	2.400000e+00	2.670000e+00	2.879878e-01	2.879878e-01
2.400000e+00	2.600000e+00	2.190000e+00	2.949881e-01	2.949881e-01
2.600000e+00	2.800000e+00	1.946000e+00	2.918784e-01	2.918784e-01
2.800000e+00	3.000000e+00	1.653000e+00	2.943348e-01	2.943348e-01
3.000000e+00	3.400000e+00	1.045000e+00	1.753796e-01	1.753796e-01
3.400000e+00	3.800000e+00	5.510000e-01	1.120202e-01	1.120202e-01
3.800000e+00	4.400000e+00	2.108000e-01	5.819149e-02	5.819149e-02
