# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d19-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d19-x01-y02 /THY/ATLAS_2013_I1230812_EL/d19-x01-y02
Title=Rapidity of 3rd jet
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d19-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
LegendXPos=0.05
XLabel=$|y|$(3rd jet)
LegendAlign=l
MainPlot=1
YLabel=d$\sigma$/d$|y|$ [pb]
LegendYPos=0.5
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d19-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d19-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	1.234000e+00	1.353920e-01	1.353920e-01
4.000000e-01	8.000000e-01	1.196000e+00	1.366053e-01	1.366053e-01
8.000000e-01	1.200000e+00	1.083000e+00	1.204076e-01	1.204076e-01
1.200000e+00	1.600000e+00	9.554000e-01	1.105561e-01	1.105561e-01
1.600000e+00	2.000000e+00	7.309000e-01	9.411918e-02	9.411918e-02
2.000000e+00	2.400000e+00	5.655000e-01	8.270798e-02	8.270798e-02
2.400000e+00	2.800000e+00	4.318000e-01	6.843216e-02	6.843216e-02
2.800000e+00	3.200000e+00	3.163000e-01	6.741884e-02	6.741884e-02
3.200000e+00	3.600000e+00	1.550000e-01	3.441584e-02	3.441584e-02
3.600000e+00	4.000000e+00	6.966000e-02	1.985502e-02	1.985502e-02
4.000000e+00	4.400000e+00	3.267000e-02	1.436745e-02	1.436745e-02
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d19-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d19-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	1.234000e+00	1.353920e-01	1.353920e-01
4.000000e-01	8.000000e-01	1.196000e+00	1.366053e-01	1.366053e-01
8.000000e-01	1.200000e+00	1.083000e+00	1.204076e-01	1.204076e-01
1.200000e+00	1.600000e+00	9.554000e-01	1.105561e-01	1.105561e-01
1.600000e+00	2.000000e+00	7.309000e-01	9.411918e-02	9.411918e-02
2.000000e+00	2.400000e+00	5.655000e-01	8.270798e-02	8.270798e-02
2.400000e+00	2.800000e+00	4.318000e-01	6.843216e-02	6.843216e-02
2.800000e+00	3.200000e+00	3.163000e-01	6.741884e-02	6.741884e-02
3.200000e+00	3.600000e+00	1.550000e-01	3.441584e-02	3.441584e-02
3.600000e+00	4.000000e+00	6.966000e-02	1.985502e-02	1.985502e-02
4.000000e+00	4.400000e+00	3.267000e-02	1.436745e-02	1.436745e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_EL/d19-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_EL/d19-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	1.234000e+00	1.353920e-01	1.353920e-01
4.000000e-01	8.000000e-01	1.196000e+00	1.366053e-01	1.366053e-01
8.000000e-01	1.200000e+00	1.083000e+00	1.204076e-01	1.204076e-01
1.200000e+00	1.600000e+00	9.554000e-01	1.105561e-01	1.105561e-01
1.600000e+00	2.000000e+00	7.309000e-01	9.411918e-02	9.411918e-02
2.000000e+00	2.400000e+00	5.655000e-01	8.270798e-02	8.270798e-02
2.400000e+00	2.800000e+00	4.318000e-01	6.843216e-02	6.843216e-02
2.800000e+00	3.200000e+00	3.163000e-01	6.741884e-02	6.741884e-02
3.200000e+00	3.600000e+00	1.550000e-01	3.441584e-02	3.441584e-02
3.600000e+00	4.000000e+00	6.966000e-02	1.985502e-02	1.985502e-02
4.000000e+00	4.400000e+00	3.267000e-02	1.436745e-02	1.436745e-02
# END HISTO1D

