# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d23-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d23-x01-y02 /THY/ATLAS_2013_I1230812_EL/d23-x01-y02
Title=Azimuthal distance of leading jets
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d23-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
LegendXPos=0.05
XLabel=$|\Delta\phi|$(1st jet, 2nd jet)
LegendAlign=l
MainPlot=1
YLabel=d$\sigma$/d$|\Delta\phi|$ [pb]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d23-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d23-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.963000e-01	1.915000e+00	2.496518e-01	2.496518e-01
1.963000e-01	3.927000e-01	2.195000e+00	2.767418e-01	2.767418e-01
3.927000e-01	5.890000e-01	2.610000e+00	3.575528e-01	3.575528e-01
5.890000e-01	7.854000e-01	2.417000e+00	3.213736e-01	3.213736e-01
7.854000e-01	9.817000e-01	2.196000e+00	2.625624e-01	2.625624e-01
9.817000e-01	1.178100e+00	2.347000e+00	2.727013e-01	2.727013e-01
1.178100e+00	1.374400e+00	2.425000e+00	2.782876e-01	2.782876e-01
1.374400e+00	1.570800e+00	2.729000e+00	3.000900e-01	3.000900e-01
1.570800e+00	1.767100e+00	3.067000e+00	3.242761e-01	3.242761e-01
1.767100e+00	1.963500e+00	3.545000e+00	3.574773e-01	3.574773e-01
1.963500e+00	2.159800e+00	4.461000e+00	4.303022e-01	4.303022e-01
2.159800e+00	2.356200e+00	5.312000e+00	4.882151e-01	4.882151e-01
2.356200e+00	2.552500e+00	6.507000e+00	5.542030e-01	5.542030e-01
2.552500e+00	2.748900e+00	7.819000e+00	6.586395e-01	6.586395e-01
2.748900e+00	2.945200e+00	9.165000e+00	7.396256e-01	7.396256e-01
2.945200e+00	3.141600e+00	1.022000e+01	8.213404e-01	8.213404e-01
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d23-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d23-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.963000e-01	1.915000e+00	2.496518e-01	2.496518e-01
1.963000e-01	3.927000e-01	2.195000e+00	2.767418e-01	2.767418e-01
3.927000e-01	5.890000e-01	2.610000e+00	3.575528e-01	3.575528e-01
5.890000e-01	7.854000e-01	2.417000e+00	3.213736e-01	3.213736e-01
7.854000e-01	9.817000e-01	2.196000e+00	2.625624e-01	2.625624e-01
9.817000e-01	1.178100e+00	2.347000e+00	2.727013e-01	2.727013e-01
1.178100e+00	1.374400e+00	2.425000e+00	2.782876e-01	2.782876e-01
1.374400e+00	1.570800e+00	2.729000e+00	3.000900e-01	3.000900e-01
1.570800e+00	1.767100e+00	3.067000e+00	3.242761e-01	3.242761e-01
1.767100e+00	1.963500e+00	3.545000e+00	3.574773e-01	3.574773e-01
1.963500e+00	2.159800e+00	4.461000e+00	4.303022e-01	4.303022e-01
2.159800e+00	2.356200e+00	5.312000e+00	4.882151e-01	4.882151e-01
2.356200e+00	2.552500e+00	6.507000e+00	5.542030e-01	5.542030e-01
2.552500e+00	2.748900e+00	7.819000e+00	6.586395e-01	6.586395e-01
2.748900e+00	2.945200e+00	9.165000e+00	7.396256e-01	7.396256e-01
2.945200e+00	3.141600e+00	1.022000e+01	8.213404e-01	8.213404e-01
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_EL/d23-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_EL/d23-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.963000e-01	1.915000e+00	2.496518e-01	2.496518e-01
1.963000e-01	3.927000e-01	2.195000e+00	2.767418e-01	2.767418e-01
3.927000e-01	5.890000e-01	2.610000e+00	3.575528e-01	3.575528e-01
5.890000e-01	7.854000e-01	2.417000e+00	3.213736e-01	3.213736e-01
7.854000e-01	9.817000e-01	2.196000e+00	2.625624e-01	2.625624e-01
9.817000e-01	1.178100e+00	2.347000e+00	2.727013e-01	2.727013e-01
1.178100e+00	1.374400e+00	2.425000e+00	2.782876e-01	2.782876e-01
1.374400e+00	1.570800e+00	2.729000e+00	3.000900e-01	3.000900e-01
1.570800e+00	1.767100e+00	3.067000e+00	3.242761e-01	3.242761e-01
1.767100e+00	1.963500e+00	3.545000e+00	3.574773e-01	3.574773e-01
1.963500e+00	2.159800e+00	4.461000e+00	4.303022e-01	4.303022e-01
2.159800e+00	2.356200e+00	5.312000e+00	4.882151e-01	4.882151e-01
2.356200e+00	2.552500e+00	6.507000e+00	5.542030e-01	5.542030e-01
2.552500e+00	2.748900e+00	7.819000e+00	6.586395e-01	6.586395e-01
2.748900e+00	2.945200e+00	9.165000e+00	7.396256e-01	7.396256e-01
2.945200e+00	3.141600e+00	1.022000e+01	8.213404e-01	8.213404e-01
# END HISTO1D

