# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d15-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d15-x01-y03 /THY/ATLAS_2013_I1230812_MU/d15-x01-y03
Title=Transverse momentum of $Z$-boson
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d15-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
XLabel=$p_\perp(Z)$ [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d15-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d15-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	5.875000e-01	7.932673e-02	7.932673e-02
4.000000e+01	8.000000e+01	7.667000e-01	2.075211e-02	2.075211e-02
8.000000e+01	1.200000e+02	1.859000e-01	2.891366e-03	2.891366e-03
1.200000e+02	1.600000e+02	5.393000e-02	1.041825e-03	1.041825e-03
1.600000e+02	2.000000e+02	1.937000e-02	4.958831e-04	4.958831e-04
2.000000e+02	2.400000e+02	7.824000e-03	2.662743e-04	2.662743e-04
2.400000e+02	2.800000e+02	3.392000e-03	2.003048e-04	2.003048e-04
2.800000e+02	3.200000e+02	1.494000e-03	1.104989e-04	1.104989e-04
3.200000e+02	3.600000e+02	7.038000e-04	6.706855e-05	6.706855e-05
3.600000e+02	4.000000e+02	3.961000e-04	4.828468e-05	4.828468e-05
4.000000e+02	4.400000e+02	2.174000e-04	4.373625e-05	4.373625e-05
4.400000e+02	4.800000e+02	1.165000e-04	2.645714e-05	2.645714e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d15-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d15-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	5.875000e-01	7.932673e-02	7.932673e-02
4.000000e+01	8.000000e+01	7.667000e-01	2.075211e-02	2.075211e-02
8.000000e+01	1.200000e+02	1.859000e-01	2.891366e-03	2.891366e-03
1.200000e+02	1.600000e+02	5.393000e-02	1.041825e-03	1.041825e-03
1.600000e+02	2.000000e+02	1.937000e-02	4.958831e-04	4.958831e-04
2.000000e+02	2.400000e+02	7.824000e-03	2.662743e-04	2.662743e-04
2.400000e+02	2.800000e+02	3.392000e-03	2.003048e-04	2.003048e-04
2.800000e+02	3.200000e+02	1.494000e-03	1.104989e-04	1.104989e-04
3.200000e+02	3.600000e+02	7.038000e-04	6.706855e-05	6.706855e-05
3.600000e+02	4.000000e+02	3.961000e-04	4.828468e-05	4.828468e-05
4.000000e+02	4.400000e+02	2.174000e-04	4.373625e-05	4.373625e-05
4.400000e+02	4.800000e+02	1.165000e-04	2.645714e-05	2.645714e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d15-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d15-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	5.875000e-01	7.932673e-02	7.932673e-02
4.000000e+01	8.000000e+01	7.667000e-01	2.075211e-02	2.075211e-02
8.000000e+01	1.200000e+02	1.859000e-01	2.891366e-03	2.891366e-03
1.200000e+02	1.600000e+02	5.393000e-02	1.041825e-03	1.041825e-03
1.600000e+02	2.000000e+02	1.937000e-02	4.958831e-04	4.958831e-04
2.000000e+02	2.400000e+02	7.824000e-03	2.662743e-04	2.662743e-04
2.400000e+02	2.800000e+02	3.392000e-03	2.003048e-04	2.003048e-04
2.800000e+02	3.200000e+02	1.494000e-03	1.104989e-04	1.104989e-04
3.200000e+02	3.600000e+02	7.038000e-04	6.706855e-05	6.706855e-05
3.600000e+02	4.000000e+02	3.961000e-04	4.828468e-05	4.828468e-05
4.000000e+02	4.400000e+02	2.174000e-04	4.373625e-05	4.373625e-05
4.400000e+02	4.800000e+02	1.165000e-04	2.645714e-05	2.645714e-05
# END HISTO1D

