# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d08-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d08-x01-y02 /THY/ATLAS_2014_I1319490_EL/d08-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d08-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$p^j_\text{T}$ (leading jet) [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 3j} / \text{d}p^j_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d08-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d08-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.263000e-02	5.663012e-03	5.663012e-03
3.500000e+01	4.000000e+01	9.810000e-02	2.085580e-02	2.085580e-02
4.000000e+01	5.000000e+01	1.709000e-01	3.287446e-02	3.287446e-02
5.000000e+01	6.000000e+01	2.098000e-01	3.742833e-02	3.742833e-02
6.000000e+01	7.000000e+01	2.124000e-01	3.676547e-02	3.676547e-02
7.000000e+01	8.000000e+01	1.989000e-01	3.162878e-02	3.162878e-02
8.000000e+01	1.000000e+02	1.673000e-01	2.757118e-02	2.757118e-02
1.000000e+02	1.200000e+02	1.133000e-01	1.593016e-02	1.593016e-02
1.200000e+02	1.400000e+02	8.085000e-02	1.024491e-02	1.024491e-02
1.400000e+02	1.600000e+02	5.764000e-02	7.109297e-03	7.109297e-03
1.600000e+02	2.000000e+02	3.459000e-02	4.322245e-03	4.322245e-03
2.000000e+02	2.500000e+02	1.602000e-02	1.718808e-03	1.718808e-03
2.500000e+02	3.100000e+02	6.881000e-03	9.398808e-04	9.398808e-04
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d08-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_EL/d08-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.263000e-02	5.663012e-03	5.663012e-03
3.500000e+01	4.000000e+01	9.810000e-02	2.085580e-02	2.085580e-02
4.000000e+01	5.000000e+01	1.709000e-01	3.287446e-02	3.287446e-02
5.000000e+01	6.000000e+01	2.098000e-01	3.742833e-02	3.742833e-02
6.000000e+01	7.000000e+01	2.124000e-01	3.676547e-02	3.676547e-02
7.000000e+01	8.000000e+01	1.989000e-01	3.162878e-02	3.162878e-02
8.000000e+01	1.000000e+02	1.673000e-01	2.757118e-02	2.757118e-02
1.000000e+02	1.200000e+02	1.133000e-01	1.593016e-02	1.593016e-02
1.200000e+02	1.400000e+02	8.085000e-02	1.024491e-02	1.024491e-02
1.400000e+02	1.600000e+02	5.764000e-02	7.109297e-03	7.109297e-03
1.600000e+02	2.000000e+02	3.459000e-02	4.322245e-03	4.322245e-03
2.000000e+02	2.500000e+02	1.602000e-02	1.718808e-03	1.718808e-03
2.500000e+02	3.100000e+02	6.881000e-03	9.398808e-04	9.398808e-04
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_EL/d08-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_EL/d08-x01-y02
Title=[13]  0.32
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.263000e-02	5.663012e-03	5.663012e-03
3.500000e+01	4.000000e+01	9.810000e-02	2.085580e-02	2.085580e-02
4.000000e+01	5.000000e+01	1.709000e-01	3.287446e-02	3.287446e-02
5.000000e+01	6.000000e+01	2.098000e-01	3.742833e-02	3.742833e-02
6.000000e+01	7.000000e+01	2.124000e-01	3.676547e-02	3.676547e-02
7.000000e+01	8.000000e+01	1.989000e-01	3.162878e-02	3.162878e-02
8.000000e+01	1.000000e+02	1.673000e-01	2.757118e-02	2.757118e-02
1.000000e+02	1.200000e+02	1.133000e-01	1.593016e-02	1.593016e-02
1.200000e+02	1.400000e+02	8.085000e-02	1.024491e-02	1.024491e-02
1.400000e+02	1.600000e+02	5.923728e-02	8.706577e-03	8.706577e-03
1.600000e+02	2.000000e+02	3.538864e-02	5.120885e-03	5.120885e-03
2.000000e+02	2.500000e+02	1.602000e-02	1.718808e-03	1.718808e-03
2.500000e+02	3.100000e+02	7.413427e-03	1.472307e-03	1.472307e-03
# END HISTO1D

