# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d11-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d11-x01-y02 /THY/ATLAS_2014_I1319490_EL/d11-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d11-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$p^j_\text{T}$ (4th leading jet) [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 4j} / \text{d}p^j_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d11-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d11-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	3.141000e-01	6.808744e-02	6.808744e-02
3.500000e+01	4.000000e+01	1.671000e-01	3.796880e-02	3.796880e-02
4.000000e+01	5.000000e+01	7.423000e-02	1.927604e-02	1.927604e-02
5.000000e+01	6.000000e+01	2.913000e-02	9.543265e-03	9.543265e-03
6.000000e+01	7.000000e+01	1.267000e-02	4.904743e-03	4.904743e-03
7.000000e+01	8.000000e+01	6.189000e-03	2.405020e-03	2.405020e-03
8.000000e+01	1.000000e+02	2.609000e-03	9.870066e-04	9.870066e-04
1.000000e+02	1.400000e+02	6.751000e-04	3.166570e-04	3.166570e-04
1.400000e+02	2.000000e+02	9.449000e-05	4.530652e-05	4.530652e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d11-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_EL/d11-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	3.141000e-01	6.808744e-02	6.808744e-02
3.500000e+01	4.000000e+01	1.671000e-01	3.796880e-02	3.796880e-02
4.000000e+01	5.000000e+01	7.423000e-02	1.927604e-02	1.927604e-02
5.000000e+01	6.000000e+01	2.913000e-02	9.543265e-03	9.543265e-03
6.000000e+01	7.000000e+01	1.267000e-02	4.904743e-03	4.904743e-03
7.000000e+01	8.000000e+01	6.189000e-03	2.405020e-03	2.405020e-03
8.000000e+01	1.000000e+02	2.609000e-03	9.870066e-04	9.870066e-04
1.000000e+02	1.400000e+02	6.751000e-04	3.166570e-04	3.166570e-04
1.400000e+02	2.000000e+02	9.449000e-05	4.530652e-05	4.530652e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_EL/d11-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_EL/d11-x01-y02
Title=[7]  0.45
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	3.141000e-01	6.808744e-02	6.808744e-02
3.500000e+01	4.000000e+01	1.671000e-01	3.796880e-02	3.796880e-02
4.000000e+01	5.000000e+01	7.423000e-02	1.927604e-02	1.927604e-02
5.000000e+01	6.000000e+01	2.913000e-02	9.543265e-03	9.543265e-03
6.000000e+01	7.000000e+01	1.267000e-02	4.904743e-03	4.904743e-03
7.000000e+01	8.000000e+01	6.189000e-03	2.405020e-03	2.405020e-03
8.000000e+01	1.000000e+02	4.206280e-03	2.584286e-03	2.584286e-03
1.000000e+02	1.400000e+02	6.751000e-04	3.166570e-04	3.166570e-04
1.400000e+02	2.000000e+02	9.449000e-05	4.530652e-05	4.530652e-05
# END HISTO1D

