# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d13-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d13-x01-y02 /THY/ATLAS_2014_I1319490_EL/d13-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d13-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$|y^j|$ (leading jet)
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 1j} / \text{d}y^j$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d13-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d13-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.223000e+02	1.458801e+01	1.458801e+01
2.000000e-01	4.000000e-01	2.175000e+02	1.442012e+01	1.442012e+01
4.000000e-01	6.000000e-01	2.175000e+02	1.407835e+01	1.407835e+01
6.000000e-01	8.000000e-01	2.089000e+02	1.479865e+01	1.479865e+01
8.000000e-01	1.000000e+00	1.986000e+02	1.421056e+01	1.421056e+01
1.000000e+00	1.200000e+00	1.776000e+02	1.403246e+01	1.403246e+01
1.200000e+00	1.400000e+00	1.738000e+02	1.531960e+01	1.531960e+01
1.400000e+00	1.600000e+00	1.560000e+02	1.427270e+01	1.427270e+01
1.600000e+00	1.800000e+00	1.333000e+02	1.242216e+01	1.242216e+01
1.800000e+00	2.000000e+00	1.223000e+02	1.261864e+01	1.261864e+01
2.000000e+00	2.200000e+00	1.070000e+02	1.098044e+01	1.098044e+01
2.200000e+00	2.400000e+00	8.723000e+01	9.932014e+00	9.932014e+00
2.400000e+00	2.600000e+00	6.839000e+01	1.035182e+01	1.035182e+01
2.600000e+00	2.800000e+00	5.518000e+01	9.658219e+00	9.658219e+00
2.800000e+00	3.000000e+00	4.823000e+01	1.020074e+01	1.020074e+01
3.000000e+00	3.400000e+00	2.934000e+01	6.560229e+00	6.560229e+00
3.400000e+00	3.800000e+00	1.253000e+01	3.277713e+00	3.277713e+00
3.800000e+00	4.400000e+00	3.785000e+00	1.487592e+00	1.487592e+00
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d13-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_EL/d13-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.223000e+02	1.458801e+01	1.458801e+01
2.000000e-01	4.000000e-01	2.175000e+02	1.442012e+01	1.442012e+01
4.000000e-01	6.000000e-01	2.175000e+02	1.407835e+01	1.407835e+01
6.000000e-01	8.000000e-01	2.089000e+02	1.479865e+01	1.479865e+01
