# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d23-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d23-x01-y02 /THY/ATLAS_2014_I1319490_EL/d23-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d23-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$\Delta\phi_{j1,j2}$
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}\Delta\phi_{j1,j2}$
YTwosidedTicks=1
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d23-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d23-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.968750e-01	1.034000e+01	1.805685e+00	1.805685e+00
1.968750e-01	3.937500e-01	1.137000e+01	1.931994e+00	1.931994e+00
3.937500e-01	5.906250e-01	1.467000e+01	2.377604e+00	2.377604e+00
5.906250e-01	7.875000e-01	1.325000e+01	2.147231e+00	2.147231e+00
7.875000e-01	9.843750e-01	1.216000e+01	1.909424e+00	1.909424e+00
9.843745e-01	1.181250e+00	1.319000e+01	1.885656e+00	1.885656e+00
1.181250e+00	1.378130e+00	1.358000e+01	2.124123e+00	2.124123e+00
1.378130e+00	1.575000e+00	1.574000e+01	2.302759e+00	2.302759e+00
1.575000e+00	1.771870e+00	1.867000e+01	2.729102e+00	2.729102e+00
1.771870e+00	1.968750e+00	2.296000e+01	3.059951e+00	3.059951e+00
1.968750e+00	2.165620e+00	2.930000e+01	3.680951e+00	3.680951e+00
2.165620e+00	2.362500e+00	3.897000e+01	4.221587e+00	4.221587e+00
2.362500e+00	2.559370e+00	5.196000e+01	5.237118e+00	5.237118e+00
2.559370e+00	2.756250e+00	7.001000e+01	5.923090e+00	5.923090e+00
2.756250e+00	2.953120e+00	8.917000e+01	7.026856e+00	7.026856e+00
2.953120e+00	3.150000e+00	9.737000e+01	7.742926e+00	7.742926e+00
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d23-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_EL/d23-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.968750e-01	1.034000e+01	1.805685e+00	1.805685e+00
1.968750e-01	3.937500e-01	1.137000e+01	1.931994e+00	1.931994e+00
3.937500e-01	5.906250e-01	1.467000e+01	2.377604e+00	2.377604e+00
5.906250e-01	7.875000e-01	1.325000e+01	2.147231e+00	2.147231e+00
7.875000e-01	9.843750e-01	1.216000e+01	1.909424e+00	1.909424e+00
9.843745e-01	1.181250e+00	1.319000e+01	1.885656e+00	1.885656e+00
1.181250e+00	1.378130e+00	1.358000e+01	2.124123e+00	2.124123e+00
1.378130e+00	1.575000e+00	1.574000e+01	2.302759e+00	2.302759e+00
1.575000e+00	1.771870e+00	1.867000e+01	2.729102e+00	2.729102e+00
1.771870e+00	1.968750e+00	2.296000e+01	3.059951e+00	3.059951e+00
1.968750e+00	2.165620e+00	2.930000e+01	3.680951e+00	3.680951e+00
2.165620e+00	2.362500e+00	3.897000e+01	4.221587e+00	4.221587e+00
2.362500e+00	2.559370e+00	5.196000e+01	5.237118e+00	5.237118e+00
2.559370e+00	2.756250e+00	7.001000e+01	5.923090e+00	5.923090e+00
2.756250e+00	2.953120e+00	8.917000e+01	7.026856e+00	7.026856e+00
2.953120e+00	3.150000e+00	9.737000e+01	7.742926e+00	7.742926e+00
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_EL/d23-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_EL/d23-x01-y02
Title=[3]  0.11
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.968750e-01	1.034000e+01	1.805685e+00	1.805685e+00
1.968750e-01	3.937500e-01	1.137000e+01	1.931994e+00	1.931994e+00
3.937500e-01	5.906250e-01	1.499453e+01	2.607079e+00	2.607079e+00
5.906250e-01	7.875000e-01	1.325000e+01	2.147231e+00	2.147231e+00
7.875000e-01	9.843750e-01	1.216000e+01	1.909424e+00	1.909424e+00
9.843745e-01	1.181250e+00	1.319000e+01	1.885656e+00	1.885656e+00
1.181250e+00	1.378130e+00	1.358000e+01	2.124123e+00	2.124123e+00
1.378130e+00	1.575000e+00	1.574000e+01	2.302759e+00	2.302759e+00
1.575000e+00	1.771870e+00	1.867000e+01	2.729102e+00	2.729102e+00
1.771870e+00	1.968750e+00	2.296000e+01	3.059951e+00	3.059951e+00
1.968750e+00	2.165620e+00	2.930000e+01	3.680951e+00	3.680951e+00
2.165620e+00	2.362500e+00	3.897000e+01	4.221587e+00	4.221587e+00
2.362500e+00	2.559370e+00	5.196000e+01	5.237118e+00	5.237118e+00
2.559370e+00	2.756250e+00	7.017226e+01	6.085349e+00	6.085349e+00
2.756250e+00	2.953120e+00	8.933227e+01	7.189123e+00	7.189123e+00
2.953120e+00	3.150000e+00	9.737000e+01	7.742926e+00	7.742926e+00
# END HISTO1D

