# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d35-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d35-x01-y02 /THY/ATLAS_2014_I1319490_EL/d35-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d35-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$S_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 4j} / \text{d}S_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d35-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d35-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.200000e+02	1.300000e+02	1.443000e-04	6.434216e-04	6.434216e-04
1.300000e+02	1.400000e+02	2.373000e-03	1.096726e-03	1.096726e-03
1.400000e+02	1.500000e+02	6.229000e-03	2.398576e-03	2.398576e-03
1.500000e+02	1.600000e+02	7.846000e-03	2.439462e-03	2.439462e-03
1.600000e+02	1.700000e+02	9.779000e-03	2.292609e-03	2.292609e-03
1.700000e+02	1.800000e+02	1.238000e-02	3.100468e-03	3.100468e-03
1.800000e+02	1.900000e+02	1.421000e-02	3.518878e-03	3.518878e-03
1.900000e+02	2.000000e+02	1.439000e-02	3.540212e-03	3.540212e-03
2.000000e+02	2.200000e+02	1.490000e-02	3.670994e-03	3.670994e-03
2.200000e+02	2.400000e+02	1.500000e-02	3.841484e-03	3.841484e-03
2.400000e+02	2.600000e+02	1.480000e-02	3.739826e-03	3.739826e-03
2.600000e+02	2.800000e+02	1.333000e-02	3.348716e-03	3.348716e-03
2.800000e+02	3.000000e+02	1.161000e-02	2.754760e-03	2.754760e-03
3.000000e+02	3.200000e+02	1.046000e-02	2.615244e-03	2.615244e-03
3.200000e+02	3.400000e+02	9.137000e-03	2.281097e-03	2.281097e-03
3.400000e+02	3.600000e+02	8.265000e-03	1.954500e-03	1.954500e-03
3.600000e+02	3.800000e+02	7.067000e-03	1.669383e-03	1.669383e-03
3.800000e+02	4.000000e+02	6.047000e-03	1.554886e-03	1.554886e-03
4.000000e+02	4.400000e+02	4.663000e-03	1.251999e-03	1.251999e-03
4.400000e+02	5.000000e+02	3.350000e-03	8.682523e-04	8.682523e-04
5.000000e+02	6.500000e+02	1.683000e-03	4.076322e-04	4.076322e-04
6.500000e+02	1.000000e+03	4.670000e-04	9.318181e-05	9.318181e-05
1.000000e+03	1.400000e+03	4.163000e-05	1.572618e-05	1.572618e-05
1.400000e+03	2.000000e+03	4.723000e-06	3.427968e-06	3.427968e-06
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d35-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_EL/d35-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.200000e+02	1.300000e+02	1.443000e-04	6.434216e-04	6.434216e-04
1.300000e+02	1.400000e+02	2.373000e-03	1.096726e-03	1.096726e-03
1.400000e+02	1.500000e+02	6.229000e-03	2.398576e-03	2.398576e-03
1.500000e+02	1.600000e+02	7.846000e-03	2.439462e-03	2.439462e-03
1.600000e+02	1.700000e+02	9.779000e-03	2.292609e-03	2.292609e-03
1.700000e+02	1.800000e+02	1.238000e-02	3.100468e-03	3.100468e-03
1.800000e+02	1.900000e+02	1.421000e-02	3.518878e-03	3.518878e-03
1.900000e+02	2.000000e+02	1.439000e-02	3.540212e-03	3.540212e-03
2.000000e+02	2.200000e+02	1.490000e-02	3.670994e-03	3.670994e-03
2.200000e+02	2.400000e+02	1.500000e-02	3.841484e-03	3.841484e-03
2.400000e+02	2.600000e+02	1.480000e-02	3.739826e-03	3.739826e-03
2.600000e+02	2.800000e+02	1.333000e-02	3.348716e-03	3.348716e-03
2.800000e+02	3.000000e+02	1.161000e-02	2.754760e-03	2.754760e-03
3.000000e+02	3.200000e+02	1.046000e-02	2.615244e-03	2.615244e-03
3.200000e+02	3.400000e+02	9.137000e-03	2.281097e-03	2.281097e-03
3.400000e+02	3.600000e+02	8.265000e-03	1.954500e-03	1.954500e-03
3.600000e+02	3.800000e+02	7.067000e-03	1.669383e-03	1.669383e-03
3.800000e+02	4.000000e+02	6.047000e-03	1.554886e-03	1.554886e-03
4.000000e+02	4.400000e+02	4.663000e-03	1.251999e-03	1.251999e-03
4.400000e+02	5.000000e+02	3.350000e-03	8.682523e-04	8.682523e-04
5.000000e+02	6.500000e+02	1.683000e-03	4.076322e-04	4.076322e-04
6.500000e+02	1.000000e+03	4.670000e-04	9.318181e-05	9.318181e-05
1.000000e+03	1.400000e+03	4.163000e-05	1.572618e-05	1.572618e-05
1.400000e+03	2.000000e+03	4.723000e-06	3.427968e-06	3.427968e-06
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_EL/d35-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_EL/d35-x01-y02
Title=[21]  0.30
# xlow	 xhigh	 val	 errminus	 errplus
1.200000e+02	1.300000e+02	1.443000e-04	6.434216e-04	6.434216e-04
1.300000e+02	1.400000e+02	2.373000e-03	1.096726e-03	1.096726e-03
1.400000e+02	1.500000e+02	6.229000e-03	2.398576e-03	2.398576e-03
1.500000e+02	1.600000e+02	7.846000e-03	2.439462e-03	2.439462e-03
1.600000e+02	1.700000e+02	9.779000e-03	2.292609e-03	2.292609e-03
1.700000e+02	1.800000e+02	1.238000e-02	3.100468e-03	3.100468e-03
1.800000e+02	1.900000e+02	1.421000e-02	3.518878e-03	3.518878e-03
1.900000e+02	2.000000e+02	1.439000e-02	3.540212e-03	3.540212e-03
2.000000e+02	2.200000e+02	1.490000e-02	3.670994e-03	3.670994e-03
2.200000e+02	2.400000e+02	1.500000e-02	3.841484e-03	3.841484e-03
2.400000e+02	2.600000e+02	1.480000e-02	3.739826e-03	3.739826e-03
2.600000e+02	2.800000e+02	1.333000e-02	3.348716e-03	3.348716e-03
2.800000e+02	3.000000e+02	1.161000e-02	2.754760e-03	2.754760e-03
3.000000e+02	3.200000e+02	1.046000e-02	2.615244e-03	2.615244e-03
3.200000e+02	3.400000e+02	9.137000e-03	2.281097e-03	2.281097e-03
3.400000e+02	3.600000e+02	8.265000e-03	1.954500e-03	1.954500e-03
3.600000e+02	3.800000e+02	7.067000e-03	1.669383e-03	1.669383e-03
3.800000e+02	4.000000e+02	6.047000e-03	1.554886e-03	1.554886e-03
4.000000e+02	4.400000e+02	4.663000e-03	1.251999e-03	1.251999e-03
4.400000e+02	5.000000e+02	3.350000e-03	8.682523e-04	8.682523e-04
5.000000e+02	6.500000e+02	1.895971e-03	6.206028e-04	6.206028e-04
6.500000e+02	1.000000e+03	4.670000e-04	9.318181e-05	9.318181e-05
1.000000e+03	1.400000e+03	4.163000e-05	1.572618e-05	1.572618e-05
1.400000e+03	2.000000e+03	4.723000e-06	3.427968e-06	3.427968e-06
# END HISTO1D

