# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d17-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d17-x01-y03 /THY/ATLAS_2014_I1319490_MU/d17-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d17-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$H_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}H_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d17-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d17-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.100000e+02	1.200000e+02	8.256000e-03	2.651175e-03	2.651175e-03
1.200000e+02	1.300000e+02	7.521000e-02	1.540455e-02	1.540455e-02
1.300000e+02	1.400000e+02	2.595000e-01	4.020261e-02	4.020261e-02
1.400000e+02	1.500000e+02	6.168000e-01	7.862519e-02	7.862519e-02
1.500000e+02	1.600000e+02	8.765000e-01	1.008847e-01	1.008847e-01
1.600000e+02	1.700000e+02	9.237000e-01	9.763760e-02	9.763760e-02
1.700000e+02	1.800000e+02	8.625000e-01	8.464207e-02	8.464207e-02
1.800000e+02	1.900000e+02	7.860000e-01	7.158575e-02	7.158575e-02
1.900000e+02	2.000000e+02	7.118000e-01	6.101131e-02	6.101131e-02
2.000000e+02	2.200000e+02	5.978000e-01	4.922377e-02	4.922377e-02
2.200000e+02	2.400000e+02	4.646000e-01	3.774427e-02	3.774427e-02
2.400000e+02	2.600000e+02	3.619000e-01	3.016322e-02	3.016322e-02
2.600000e+02	2.800000e+02	2.841000e-01	2.438073e-02	2.438073e-02
2.800000e+02	3.000000e+02	2.222000e-01	1.876753e-02	1.876753e-02
3.000000e+02	3.200000e+02	1.781000e-01	1.510430e-02	1.510430e-02
3.200000e+02	3.400000e+02	1.434000e-01	1.254073e-02	1.254073e-02
3.400000e+02	3.600000e+02	1.134000e-01	9.987492e-03	9.987492e-03
3.600000e+02	3.800000e+02	9.299000e-02	8.253393e-03	8.253393e-03
3.800000e+02	4.000000e+02	7.606000e-02	6.983287e-03	6.983287e-03
4.000000e+02	4.200000e+02	6.180000e-02	5.669524e-03	5.669524e-03
4.200000e+02	4.400000e+02	5.100000e-02	4.603629e-03	4.603629e-03
4.400000e+02	4.600000e+02	4.220000e-02	3.833145e-03	3.833145e-03
4.600000e+02	4.800000e+02	3.586000e-02	3.290426e-03	3.290426e-03
4.800000e+02	5.000000e+02	3.086000e-02	2.914121e-03	2.914121e-03
5.000000e+02	5.300000e+02	2.386000e-02	2.343800e-03	2.343800e-03
5.300000e+02	5.900000e+02	1.652000e-02	1.678839e-03	1.678839e-03
5.900000e+02	6.800000e+02	9.387000e-03	9.295063e-04	9.295063e-04
6.800000e+02	1.000000e+03	2.671000e-03	2.559004e-04	2.559004e-04
1.000000e+03	1.400000e+03	3.650000e-04	4.888047e-05	4.888047e-05
1.400000e+03	2.000000e+03	3.705000e-05	8.904768e-06	8.904768e-06
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d17-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_MU/d17-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.100000e+02	1.200000e+02	8.256000e-03	2.651175e-03	2.651175e-03
1.200000e+02	1.300000e+02	7.521000e-02	1.540455e-02	1.540455e-02
1.300000e+02	1.400000e+02	2.595000e-01	4.020261e-02	4.020261e-02
1.400000e+02	1.500000e+02	6.168000e-01	7.862519e-02	7.862519e-02
1.500000e+02	1.600000e+02	8.765000e-01	1.008847e-01	1.008847e-01
1.600000e+02	1.700000e+02	9.237000e-01	9.763760e-02	9.763760e-02
1.700000e+02	1.800000e+02	8.625000e-01	8.464207e-02	8.464207e-02
1.800000e+02	1.900000e+02	7.860000e-01	7.158575e-02	7.158575e-02
