# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d24-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d24-x01-y03 /THY/ATLAS_2014_I1319490_MU/d24-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d24-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$\Delta y_{j1,j2}$
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}y_{j1,j2}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d24-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d24-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	4.266000e+01	3.718131e+00	3.718131e+00
4.000000e-01	8.000000e-01	4.331000e+01	3.785419e+00	3.785419e+00
8.000000e-01	1.200000e+00	3.835000e+01	3.124580e+00	3.124580e+00
1.200000e+00	1.600000e+00	3.456000e+01	2.724812e+00	2.724812e+00
1.600000e+00	2.000000e+00	2.962000e+01	2.356926e+00	2.356926e+00
2.000000e+00	2.400000e+00	2.453000e+01	2.101285e+00	2.101285e+00
2.400000e+00	2.800000e+00	1.918000e+01	1.792596e+00	1.792596e+00
2.800000e+00	3.200000e+00	1.449000e+01	1.514299e+00	1.514299e+00
3.200000e+00	3.600000e+00	1.018000e+01	1.210950e+00	1.210950e+00
3.600000e+00	4.000000e+00	6.812000e+00	9.557913e-01	9.557913e-01
4.000000e+00	4.400000e+00	4.338000e+00	6.886327e-01	6.886327e-01
4.400000e+00	4.800000e+00	2.725000e+00	5.368836e-01	5.368836e-01
4.800000e+00	5.200000e+00	1.490000e+00	3.703498e-01	3.703498e-01
5.200000e+00	5.600000e+00	8.249000e-01	2.588038e-01	2.588038e-01
5.600000e+00	6.000000e+00	5.182000e-01	1.774241e-01	1.774241e-01
6.000000e+00	6.400000e+00	1.502000e-01	5.942096e-02	5.942096e-02
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d24-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_MU/d24-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	4.266000e+01	3.718131e+00	3.718131e+00
4.000000e-01	8.000000e-01	4.331000e+01	3.785419e+00	3.785419e+00
8.000000e-01	1.200000e+00	3.835000e+01	3.124580e+00	3.124580e+00
1.200000e+00	1.600000e+00	3.456000e+01	2.724812e+00	2.724812e+00
1.600000e+00	2.000000e+00	2.962000e+01	2.356926e+00	2.356926e+00
2.000000e+00	2.400000e+00	2.453000e+01	2.101285e+00	2.101285e+00
2.400000e+00	2.800000e+00	1.918000e+01	1.792596e+00	1.792596e+00
2.800000e+00	3.200000e+00	1.449000e+01	1.514299e+00	1.514299e+00
3.200000e+00	3.600000e+00	1.018000e+01	1.210950e+00	1.210950e+00
3.600000e+00	4.000000e+00	6.812000e+00	9.557913e-01	9.557913e-01
4.000000e+00	4.400000e+00	4.338000e+00	6.886327e-01	6.886327e-01
4.400000e+00	4.800000e+00	2.725000e+00	5.368836e-01	5.368836e-01
4.800000e+00	5.200000e+00	1.490000e+00	3.703498e-01	3.703498e-01
5.200000e+00	5.600000e+00	8.249000e-01	2.588038e-01	2.588038e-01
5.600000e+00	6.000000e+00	5.182000e-01	1.774241e-01	1.774241e-01
6.000000e+00	6.400000e+00	1.502000e-01	5.942096e-02	5.942096e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_MU/d24-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_MU/d24-x01-y03
Title=[3]  0.02
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	4.266000e+01	3.718131e+00	3.718131e+00
4.000000e-01	8.000000e-01	4.331000e+01	3.785419e+00	3.785419e+00
8.000000e-01	1.200000e+00	3.842986e+01	3.204444e+00	3.204444e+00
1.200000e+00	1.600000e+00	3.456000e+01	2.724812e+00	2.724812e+00
1.600000e+00	2.000000e+00	2.962000e+01	2.356926e+00	2.356926e+00
2.000000e+00	2.400000e+00	2.453000e+01	2.101285e+00	2.101285e+00
2.400000e+00	2.800000e+00	1.918000e+01	1.792596e+00	1.792596e+00
2.800000e+00	3.200000e+00	1.449000e+01	1.514299e+00	1.514299e+00
3.200000e+00	3.600000e+00	1.018000e+01	1.210950e+00	1.210950e+00
3.600000e+00	4.000000e+00	6.812000e+00	9.557913e-01	9.557913e-01
4.000000e+00	4.400000e+00	4.338000e+00	6.886327e-01	6.886327e-01
4.400000e+00	4.800000e+00	2.725000e+00	5.368836e-01	5.368836e-01
4.800000e+00	5.200000e+00	1.490000e+00	3.703498e-01	3.703498e-01
5.200000e+00	5.600000e+00	8.249000e-01	2.588038e-01	2.588038e-01
5.600000e+00	6.000000e+00	5.182000e-01	1.774241e-01	1.774241e-01
6.000000e+00	6.400000e+00	1.502000e-01	5.942096e-02	5.942096e-02
# END HISTO1D

