# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d31-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d31-x01-y03 /THY/ATLAS_2014_I1319490_MU/d31-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d31-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$S_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}S_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d31-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d31-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e+01	7.000000e+01	7.751000e-01	1.088360e-01	1.088360e-01
7.000000e+01	8.000000e+01	1.299000e+00	1.500267e-01	1.500267e-01
8.000000e+01	9.000000e+01	1.235000e+00	1.180551e-01	1.180551e-01
9.000000e+01	1.000000e+02	1.042000e+00	8.999444e-02	8.999444e-02
1.000000e+02	1.100000e+02	8.989000e-01	7.492757e-02	7.492757e-02
1.100000e+02	1.200000e+02	7.833000e-01	6.386313e-02	6.386313e-02
1.200000e+02	1.300000e+02	6.680000e-01	5.471179e-02	5.471179e-02
1.300000e+02	1.400000e+02	5.677000e-01	4.759485e-02	4.759485e-02
1.400000e+02	1.500000e+02	4.806000e-01	4.106763e-02	4.106763e-02
1.500000e+02	1.600000e+02	4.069000e-01	3.470274e-02	3.470274e-02
1.600000e+02	1.700000e+02	3.497000e-01	2.919932e-02	2.919932e-02
1.700000e+02	1.800000e+02	2.972000e-01	2.488594e-02	2.488594e-02
1.800000e+02	1.900000e+02	2.540000e-01	2.178853e-02	2.178853e-02
1.900000e+02	2.000000e+02	2.226000e-01	1.917342e-02	1.917342e-02
2.000000e+02	2.200000e+02	1.800000e-01	1.532155e-02	1.532155e-02
2.200000e+02	2.400000e+02	1.387000e-01	1.238992e-02	1.238992e-02
2.400000e+02	2.600000e+02	1.047000e-01	9.833616e-03	9.833616e-03
2.600000e+02	2.800000e+02	8.104000e-02	7.753451e-03	7.753451e-03
2.800000e+02	3.000000e+02	6.348000e-02	6.093620e-03	6.093620e-03
3.000000e+02	3.200000e+02	4.952000e-02	4.726003e-03	4.726003e-03
3.200000e+02	3.400000e+02	4.019000e-02	3.811614e-03	3.811614e-03
3.400000e+02	3.600000e+02	3.250000e-02	3.225198e-03	3.225198e-03
3.600000e+02	3.800000e+02	2.586000e-02	2.639659e-03	2.639659e-03
3.800000e+02	4.000000e+02	2.123000e-02	2.126617e-03	2.126617e-03
4.000000e+02	4.400000e+02	1.594000e-02	1.577276e-03	1.577276e-03
4.400000e+02	5.000000e+02	1.031000e-02	1.050952e-03	1.050952e-03
5.000000e+02	6.500000e+02	4.730000e-03	5.110078e-04	5.110078e-04
6.500000e+02	1.000000e+03	8.890000e-04	1.043368e-04	1.043368e-04
1.000000e+03	1.400000e+03	9.540000e-05	2.087547e-05	2.087547e-05
1.400000e+03	2.000000e+03	1.193000e-05	4.412822e-06	4.412822e-06
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d31-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_MU/d31-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e+01	7.000000e+01	7.751000e-01	1.088360e-01	1.088360e-01
7.000000e+01	8.000000e+01	1.299000e+00	1.500267e-01	1.500267e-01
8.000000e+01	9.000000e+01	1.235000e+00	1.180551e-01	1.180551e-01
9.000000e+01	1.000000e+02	1.042000e+00	8.999444e-02	8.999444e-02
1.000000e+02	1.100000e+02	8.989000e-01	7.492757e-02	7.492757e-02
1.100000e+02	1.200000e+02	7.833000e-01	6.386313e-02	6.386313e-02
1.200000e+02	1.300000e+02	6.680000e-01	5.471179e-02	5.471179e-02
1.300000e+02	1.400000e+02	5.677000e-01	4.759485e-02	4.759485e-02
1.400000e+02	1.500000e+02	4.806000e-01	4.106763e-02	4.106763e-02
1.500000e+02	1.600000e+02	4.069000e-01	3.470274e-02	3.470274e-02
1.600000e+02	1.700000e+02	3.497000e-01	2.919932e-02	2.919932e-02
1.700000e+02	1.800000e+02	2.972000e-01	2.488594e-02	2.488594e-02
1.800000e+02	1.900000e+02	2.540000e-01	2.178853e-02	2.178853e-02
1.900000e+02	2.000000e+02	2.226000e-01	1.917342e-02	1.917342e-02
2.000000e+02	2.200000e+02	1.800000e-01	1.532155e-02	1.532155e-02
2.200000e+02	2.400000e+02	1.387000e-01	1.238992e-02	1.238992e-02
2.400000e+02	2.600000e+02	1.047000e-01	9.833616e-03	9.833616e-03
2.600000e+02	2.800000e+02	8.104000e-02	7.753451e-03	7.753451e-03
2.800000e+02	3.000000e+02	6.348000e-02	6.093620e-03	6.093620e-03
3.000000e+02	3.200000e+02	4.952000e-02	4.726003e-03	4.726003e-03
3.200000e+02	3.400000e+02	4.019000e-02	3.811614e-03	3.811614e-03
3.400000e+02	3.600000e+02	3.250000e-02	3.225198e-03	3.225198e-03
3.600000e+02	3.800000e+02	2.586000e-02	2.639659e-03	2.639659e-03
3.800000e+02	4.000000e+02	2.123000e-02	2.126617e-03	2.126617e-03
4.000000e+02	4.400000e+02	1.594000e-02	1.577276e-03	1.577276e-03
4.400000e+02	5.000000e+02	1.031000e-02	1.050952e-03	1.050952e-03
5.000000e+02	6.500000e+02	4.730000e-03	5.110078e-04	5.110078e-04
6.500000e+02	1.000000e+03	8.890000e-04	1.043368e-04	1.043368e-04
1.000000e+03	1.400000e+03	9.540000e-05	2.087547e-05	2.087547e-05
1.400000e+03	2.000000e+03	1.193000e-05	4.412822e-06	4.412822e-06
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_MU/d31-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_MU/d31-x01-y03
Title=[28]  0.38
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e+01	7.000000e+01	7.751000e-01	1.088360e-01	1.088360e-01
7.000000e+01	8.000000e+01	1.299000e+00	1.500267e-01	1.500267e-01
8.000000e+01	9.000000e+01	1.235000e+00	1.180551e-01	1.180551e-01
9.000000e+01	1.000000e+02	1.042000e+00	8.999444e-02	8.999444e-02
1.000000e+02	1.100000e+02	8.989000e-01	7.492757e-02	7.492757e-02
1.100000e+02	1.200000e+02	7.833000e-01	6.386313e-02	6.386313e-02
1.200000e+02	1.300000e+02	6.680000e-01	5.471179e-02	5.471179e-02
1.300000e+02	1.400000e+02	5.677000e-01	4.759485e-02	4.759485e-02
1.400000e+02	1.500000e+02	4.806000e-01	4.106763e-02	4.106763e-02
1.500000e+02	1.600000e+02	4.069000e-01	3.470274e-02	3.470274e-02
1.600000e+02	1.700000e+02	3.497000e-01	2.919932e-02	2.919932e-02
1.700000e+02	1.800000e+02	2.972000e-01	2.488594e-02	2.488594e-02
1.800000e+02	1.900000e+02	2.540000e-01	2.178853e-02	2.178853e-02
1.900000e+02	2.000000e+02	2.226000e-01	1.917342e-02	1.917342e-02
2.000000e+02	2.200000e+02	1.800000e-01	1.532155e-02	1.532155e-02
2.200000e+02	2.400000e+02	1.387000e-01	1.238992e-02	1.238992e-02
2.400000e+02	2.600000e+02	1.047000e-01	9.833616e-03	9.833616e-03
2.600000e+02	2.800000e+02	8.104000e-02	7.753451e-03	7.753451e-03
2.800000e+02	3.000000e+02	6.348000e-02	6.093620e-03	6.093620e-03
3.000000e+02	3.200000e+02	4.952000e-02	4.726003e-03	4.726003e-03
3.200000e+02	3.400000e+02	4.019000e-02	3.811614e-03	3.811614e-03
3.400000e+02	3.600000e+02	3.250000e-02	3.225198e-03	3.225198e-03
3.600000e+02	3.800000e+02	2.586000e-02	2.639659e-03	2.639659e-03
3.800000e+02	4.000000e+02	2.123000e-02	2.126617e-03	2.126617e-03
4.000000e+02	4.400000e+02	1.594000e-02	1.577276e-03	1.577276e-03
4.400000e+02	5.000000e+02	1.031000e-02	1.050952e-03	1.050952e-03
5.000000e+02	6.500000e+02	4.730000e-03	5.110078e-04	5.110078e-04
6.500000e+02	1.000000e+03	9.802731e-04	1.956099e-04	1.956099e-04
1.000000e+03	1.400000e+03	9.540000e-05	2.087547e-05	2.087547e-05
1.400000e+03	2.000000e+03	1.193000e-05	4.412822e-06	4.412822e-06
# END HISTO1D

