# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_WJET/d54-x01-y01 /LHC.yoda/CMS_2013_I1224539_WJET/d54-x01-y01 /THY/CMS_2013_I1224539_WJET/d54-x01-y01
XMax=150.0
Title=Ungroomed AK7 $W$+jets, $p_{T,j}$ = 220--300 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_WJET/d54-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d54-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_WJET/d54-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.724000e-01	1.483553e-01	1.483553e-01
1.000000e+01	2.000000e+01	5.967200e+00	1.339573e+00	1.339573e+00
2.000000e+01	3.000000e+01	2.126400e+01	2.604758e+00	2.604758e+00
3.000000e+01	4.000000e+01	2.689900e+01	1.464178e+00	1.464178e+00
4.000000e+01	5.000000e+01	1.942700e+01	1.836958e+00	1.836958e+00
5.000000e+01	6.000000e+01	1.086900e+01	1.314225e+00	1.314225e+00
6.000000e+01	7.000000e+01	7.495000e+00	6.755152e-01	6.755152e-01
7.000000e+01	8.000000e+01	4.182500e+00	5.097817e-01	5.097817e-01
8.000000e+01	9.000000e+01	2.198000e+00	3.810870e-01	3.810870e-01
9.000000e+01	1.000000e+02	1.140300e+00	2.900622e-01	2.900622e-01
1.000000e+02	1.100000e+02	2.766000e-01	1.429346e-01	1.429346e-01
1.100000e+02	1.200000e+02	8.047000e-02	7.282973e-02	7.282973e-02
1.300000e+02	1.400000e+02	1.364000e-02	1.183964e-02	1.183964e-02
1.400000e+02	1.500000e+02	0.000000e+00	1.900000e-03	1.900000e-03
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d54-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_WJET/d54-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.724000e-01	1.483553e-01	1.483553e-01
1.000000e+01	2.000000e+01	5.967200e+00	1.339573e+00	1.339573e+00
2.000000e+01	3.000000e+01	2.126400e+01	2.604758e+00	2.604758e+00
3.000000e+01	4.000000e+01	2.689900e+01	1.464178e+00	1.464178e+00
4.000000e+01	5.000000e+01	1.942700e+01	1.836958e+00	1.836958e+00
5.000000e+01	6.000000e+01	1.086900e+01	1.314225e+00	1.314225e+00
6.000000e+01	7.000000e+01	7.495000e+00	6.755152e-01	6.755152e-01
7.000000e+01	8.000000e+01	4.182500e+00	5.097817e-01	5.097817e-01
8.000000e+01	9.000000e+01	2.198000e+00	3.810870e-01	3.810870e-01
9.000000e+01	1.000000e+02	1.140300e+00	2.900622e-01	2.900622e-01
1.000000e+02	1.100000e+02	2.766000e-01	1.429346e-01	1.429346e-01
1.100000e+02	1.200000e+02	8.047000e-02	7.282973e-02	7.282973e-02
1.300000e+02	1.400000e+02	1.364000e-02	1.183964e-02	1.183964e-02
1.400000e+02	1.500000e+02	0.000000e+00	1.900000e-03	1.900000e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_WJET/d54-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_WJET/d54-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.724000e-01	1.483553e-01	1.483553e-01
1.000000e+01	2.000000e+01	5.967200e+00	1.339573e+00	1.339573e+00
2.000000e+01	3.000000e+01	2.126400e+01	2.604758e+00	2.604758e+00
3.000000e+01	4.000000e+01	2.689900e+01	1.464178e+00	1.464178e+00
4.000000e+01	5.000000e+01	1.942700e+01	1.836958e+00	1.836958e+00
5.000000e+01	6.000000e+01	1.086900e+01	1.314225e+00	1.314225e+00
6.000000e+01	7.000000e+01	7.495000e+00	6.755152e-01	6.755152e-01
7.000000e+01	8.000000e+01	4.182500e+00	5.097817e-01	5.097817e-01
8.000000e+01	9.000000e+01	2.198000e+00	3.810870e-01	3.810870e-01
9.000000e+01	1.000000e+02	1.140300e+00	2.900622e-01	2.900622e-01
1.000000e+02	1.100000e+02	2.766000e-01	1.429346e-01	1.429346e-01
1.100000e+02	1.200000e+02	8.047000e-02	7.282973e-02	7.282973e-02
1.300000e+02	1.400000e+02	1.364000e-02	1.183964e-02	1.183964e-02
1.400000e+02	1.500000e+02	0.000000e+00	1.900000e-03	1.900000e-03
# END HISTO1D

