# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_WJET/d59-x01-y01 /LHC.yoda/CMS_2013_I1224539_WJET/d59-x01-y01 /THY/CMS_2013_I1224539_WJET/d59-x01-y01
XMax=150.0
Title=Filtered AK7 $W$+jets, $p_{T,j}$ = 300--450 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_WJET/d59-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d59-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_WJET/d59-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.726000e-02	3.028719e-02	3.028719e-02
1.000000e+01	2.000000e+01	3.449300e+00	1.028998e+00	1.028998e+00
2.000000e+01	3.000000e+01	1.587800e+01	1.546849e+00	1.546849e+00
3.000000e+01	4.000000e+01	2.350000e+01	1.462431e+00	1.462431e+00
4.000000e+01	5.000000e+01	2.020800e+01	1.514986e+00	1.514986e+00
5.000000e+01	6.000000e+01	1.258100e+01	1.106411e+00	1.106411e+00
6.000000e+01	7.000000e+01	9.146900e+00	9.424642e-01	9.424642e-01
7.000000e+01	8.000000e+01	5.104400e+00	7.749325e-01	7.749325e-01
8.000000e+01	9.000000e+01	3.246000e+00	7.280661e-01	7.280661e-01
9.000000e+01	1.000000e+02	3.052800e+00	7.043653e-01	7.043653e-01
1.000000e+02	1.100000e+02	1.593300e+00	4.513280e-01	4.513280e-01
1.100000e+02	1.200000e+02	1.195300e+00	3.763880e-01	3.763880e-01
1.200000e+02	1.300000e+02	9.246000e-01	3.572198e-01	3.572198e-01
1.400000e+02	1.500000e+02	-7.000000e-04	8.150319e-02	8.150319e-02
1.500000e+02	1.600000e+02	-1.200000e-03	3.184729e-02	3.184729e-02
1.600000e+02	1.700000e+02	-3.210000e-02	4.651118e-02	4.651118e-02
1.700000e+02	1.800000e+02	0.000000e+00	6.800000e-03	6.800000e-03
1.800000e+02	1.900000e+02	0.000000e+00	6.765811e-02	6.765811e-02
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d59-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_WJET/d59-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.726000e-02	3.028719e-02	3.028719e-02
1.000000e+01	2.000000e+01	3.449300e+00	1.028998e+00	1.028998e+00
2.000000e+01	3.000000e+01	1.587800e+01	1.546849e+00	1.546849e+00
3.000000e+01	4.000000e+01	2.350000e+01	1.462431e+00	1.462431e+00
4.000000e+01	5.000000e+01	2.020800e+01	1.514986e+00	1.514986e+00
5.000000e+01	6.000000e+01	1.258100e+01	1.106411e+00	1.106411e+00
6.000000e+01	7.000000e+01	9.146900e+00	9.424642e-01	9.424642e-01
7.000000e+01	8.000000e+01	5.104400e+00	7.749325e-01	7.749325e-01
8.000000e+01	9.000000e+01	3.246000e+00	7.280661e-01	7.280661e-01
9.000000e+01	1.000000e+02	3.052800e+00	7.043653e-01	7.043653e-01
1.000000e+02	1.100000e+02	1.593300e+00	4.513280e-01	4.513280e-01
1.100000e+02	1.200000e+02	1.195300e+00	3.763880e-01	3.763880e-01
1.200000e+02	1.300000e+02	9.246000e-01	3.572198e-01	3.572198e-01
1.400000e+02	1.500000e+02	-7.000000e-04	8.150319e-02	8.150319e-02
1.500000e+02	1.600000e+02	-1.200000e-03	3.184729e-02	3.184729e-02
1.600000e+02	1.700000e+02	-3.210000e-02	4.651118e-02	4.651118e-02
1.700000e+02	1.800000e+02	0.000000e+00	6.800000e-03	6.800000e-03
