# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_WJET/d63-x01-y01 /LHC.yoda/CMS_2013_I1224539_WJET/d63-x01-y01 /THY/CMS_2013_I1224539_WJET/d63-x01-y01
XMax=150.0
Title=Trimmed AK7 $W$+jets, $p_{T,j}$ = 300--450 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_WJET/d63-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d63-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_WJET/d63-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	5.329600e+00	6.281844e-01	6.281844e-01
1.000000e+01	2.000000e+01	2.309700e+01	1.674622e+00	1.674622e+00
2.000000e+01	3.000000e+01	2.075800e+01	1.345175e+00	1.345175e+00
3.000000e+01	4.000000e+01	1.360600e+01	1.186640e+00	1.186640e+00
4.000000e+01	5.000000e+01	1.027000e+01	1.066623e+00	1.066623e+00
5.000000e+01	6.000000e+01	7.305200e+00	8.796674e-01	8.796674e-01
6.000000e+01	7.000000e+01	5.760400e+00	7.834954e-01	7.834954e-01
7.000000e+01	8.000000e+01	4.377100e+00	8.542454e-01	8.542454e-01
8.000000e+01	9.000000e+01	2.474200e+00	6.516170e-01	6.516170e-01
9.000000e+01	1.000000e+02	2.442100e+00	6.212594e-01	6.212594e-01
1.000000e+02	1.100000e+02	2.037200e+00	5.396735e-01	5.396735e-01
1.100000e+02	1.200000e+02	1.261900e+00	4.164049e-01	4.164049e-01
1.200000e+02	1.300000e+02	7.279000e-01	2.691501e-01	2.691501e-01
1.300000e+02	1.400000e+02	5.229000e-01	3.449997e-01	3.449997e-01
1.400000e+02	1.500000e+02	2.995000e-02	2.246358e-01	2.246358e-01
1.500000e+02	1.600000e+02	0.000000e+00	1.322309e-02	1.322309e-02
1.600000e+02	1.700000e+02	0.000000e+00	2.182840e-01	2.182840e-01
1.700000e+02	1.800000e+02	0.000000e+00	5.300000e-03	5.300000e-03
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d63-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_WJET/d63-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	5.329600e+00	6.281844e-01	6.281844e-01
1.000000e+01	2.000000e+01	2.309700e+01	1.674622e+00	1.674622e+00
2.000000e+01	3.000000e+01	2.075800e+01	1.345175e+00	1.345175e+00
3.000000e+01	4.000000e+01	1.360600e+01	1.186640e+00	1.186640e+00
4.000000e+01	5.000000e+01	1.027000e+01	1.066623e+00	1.066623e+00
5.000000e+01	6.000000e+01	7.305200e+00	8.796674e-01	8.796674e-01
6.000000e+01	7.000000e+01	5.760400e+00	7.834954e-01	7.834954e-01
7.000000e+01	8.000000e+01	4.377100e+00	8.542454e-01	8.542454e-01
8.000000e+01	9.000000e+01	2.474200e+00	6.516170e-01	6.516170e-01
9.000000e+01	1.000000e+02	2.442100e+00	6.212594e-01	6.212594e-01
1.000000e+02	1.100000e+02	2.037200e+00	5.396735e-01	5.396735e-01
1.100000e+02	1.200000e+02	1.261900e+00	4.164049e-01	4.164049e-01
1.200000e+02	1.300000e+02	7.279000e-01	2.691501e-01	2.691501e-01
1.300000e+02	1.400000e+02	5.229000e-01	3.449997e-01	3.449997e-01
1.400000e+02	1.500000e+02	2.995000e-02	2.246358e-01	2.246358e-01
1.500000e+02	1.600000e+02	0.000000e+00	1.322309e-02	1.322309e-02
1.600000e+02	1.700000e+02	0.000000e+00	2.182840e-01	2.182840e-01
1.700000e+02	1.800000e+02	0.000000e+00	5.300000e-03	5.300000e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_WJET/d63-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_WJET/d63-x01-y01
Title=[6]  0.50
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	5.329600e+00	6.281844e-01	6.281844e-01
1.000000e+01	2.000000e+01	2.309700e+01	1.674622e+00	1.674622e+00
2.000000e+01	3.000000e+01	2.075800e+01	1.345175e+00	1.345175e+00
3.000000e+01	4.000000e+01	1.360600e+01	1.186640e+00	1.186640e+00
4.000000e+01	5.000000e+01	1.027000e+01	1.066623e+00	1.066623e+00
5.000000e+01	6.000000e+01	1.473441e+01	8.308877e+00	8.308877e+00
6.000000e+01	7.000000e+01	5.760400e+00	7.834954e-01	7.834954e-01
7.000000e+01	8.000000e+01	4.377100e+00	8.542454e-01	8.542454e-01
8.000000e+01	9.000000e+01	2.474200e+00	6.516170e-01	6.516170e-01
9.000000e+01	1.000000e+02	2.442100e+00	6.212594e-01	6.212594e-01
1.000000e+02	1.100000e+02	2.037200e+00	5.396735e-01	5.396735e-01
1.100000e+02	1.200000e+02	1.261900e+00	4.164049e-01	4.164049e-01
1.200000e+02	1.300000e+02	7.279000e-01	2.691501e-01	2.691501e-01
1.300000e+02	1.400000e+02	5.229000e-01	3.449997e-01	3.449997e-01
1.400000e+02	1.500000e+02	2.995000e-02	2.246358e-01	2.246358e-01
1.500000e+02	1.600000e+02	0.000000e+00	1.322309e-02	1.322309e-02
1.600000e+02	1.700000e+02	0.000000e+00	2.182840e-01	2.182840e-01
1.700000e+02	1.800000e+02	0.000000e+00	5.300000e-03	5.300000e-03
# END HISTO1D

