# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_WJET/d70-x01-y01 /LHC.yoda/CMS_2013_I1224539_WJET/d70-x01-y01 /THY/CMS_2013_I1224539_WJET/d70-x01-y01
XMax=150.0
Title=Pruned CA8 $W$+jets, $p_{T,j}$ = 220--300 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_WJET/d70-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d70-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_WJET/d70-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.673300e+01	2.752294e+00	2.752294e+00
1.000000e+01	2.000000e+01	2.559300e+01	2.440308e+00	2.440308e+00
2.000000e+01	3.000000e+01	1.190800e+01	1.220602e+00	1.220602e+00
3.000000e+01	4.000000e+01	7.498800e+00	9.104782e-01	9.104782e-01
4.000000e+01	5.000000e+01	5.396500e+00	6.255494e-01	6.255494e-01
5.000000e+01	6.000000e+01	5.805300e+00	5.531536e-01	5.531536e-01
6.000000e+01	7.000000e+01	4.952800e+00	5.087991e-01	5.087991e-01
7.000000e+01	8.000000e+01	4.077100e+00	4.958071e-01	4.958071e-01
8.000000e+01	9.000000e+01	3.319000e+00	4.945880e-01	4.945880e-01
9.000000e+01	1.000000e+02	2.011300e+00	3.252379e-01	3.252379e-01
1.000000e+02	1.100000e+02	1.579000e+00	2.829062e-01	2.829062e-01
1.100000e+02	1.200000e+02	8.801000e-01	2.189404e-01	2.189404e-01
1.200000e+02	1.300000e+02	1.974000e-01	8.817443e-02	8.817443e-02
1.400000e+02	1.500000e+02	2.161000e-02	1.113562e-02	1.113562e-02
1.500000e+02	1.600000e+02	0.000000e+00	4.949747e-03	4.949747e-03
1.600000e+02	1.700000e+02	0.000000e+00	2.220360e-03	2.220360e-03
1.800000e+02	1.900000e+02	0.000000e+00	2.100000e-03	2.100000e-03
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d70-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_WJET/d70-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.673300e+01	2.752294e+00	2.752294e+00
1.000000e+01	2.000000e+01	2.559300e+01	2.440308e+00	2.440308e+00
2.000000e+01	3.000000e+01	1.190800e+01	1.220602e+00	1.220602e+00
3.000000e+01	4.000000e+01	7.498800e+00	9.104782e-01	9.104782e-01
4.000000e+01	5.000000e+01	5.396500e+00	6.255494e-01	6.255494e-01
5.000000e+01	6.000000e+01	5.805300e+00	5.531536e-01	5.531536e-01
6.000000e+01	7.000000e+01	4.952800e+00	5.087991e-01	5.087991e-01
7.000000e+01	8.000000e+01	4.077100e+00	4.958071e-01	4.958071e-01
8.000000e+01	9.000000e+01	3.319000e+00	4.945880e-01	4.945880e-01
9.000000e+01	1.000000e+02	2.011300e+00	3.252379e-01	3.252379e-01
1.000000e+02	1.100000e+02	1.579000e+00	2.829062e-01	2.829062e-01
1.100000e+02	1.200000e+02	8.801000e-01	2.189404e-01	2.189404e-01
1.200000e+02	1.300000e+02	1.974000e-01	8.817443e-02	8.817443e-02
1.400000e+02	1.500000e+02	2.161000e-02	1.113562e-02	1.113562e-02
1.500000e+02	1.600000e+02	0.000000e+00	4.949747e-03	4.949747e-03
1.600000e+02	1.700000e+02	0.000000e+00	2.220360e-03	2.220360e-03
1.800000e+02	1.900000e+02	0.000000e+00	2.100000e-03	2.100000e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_WJET/d70-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_WJET/d70-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.673300e+01	2.752294e+00	2.752294e+00
1.000000e+01	2.000000e+01	2.559300e+01	2.440308e+00	2.440308e+00
2.000000e+01	3.000000e+01	1.190800e+01	1.220602e+00	1.220602e+00
3.000000e+01	4.000000e+01	7.498800e+00	9.104782e-01	9.104782e-01
4.000000e+01	5.000000e+01	5.396500e+00	6.255494e-01	6.255494e-01
5.000000e+01	6.000000e+01	5.805300e+00	5.531536e-01	5.531536e-01
6.000000e+01	7.000000e+01	4.952800e+00	5.087991e-01	5.087991e-01
7.000000e+01	8.000000e+01	4.077100e+00	4.958071e-01	4.958071e-01
8.000000e+01	9.000000e+01	3.319000e+00	4.945880e-01	4.945880e-01
9.000000e+01	1.000000e+02	2.011300e+00	3.252379e-01	3.252379e-01
1.000000e+02	1.100000e+02	1.579000e+00	2.829062e-01	2.829062e-01
1.100000e+02	1.200000e+02	8.801000e-01	2.189404e-01	2.189404e-01
1.200000e+02	1.300000e+02	1.974000e-01	8.817443e-02	8.817443e-02
1.400000e+02	1.500000e+02	2.161000e-02	1.113562e-02	1.113562e-02
1.500000e+02	1.600000e+02	0.000000e+00	4.949747e-03	4.949747e-03
1.600000e+02	1.700000e+02	0.000000e+00	2.220360e-03	2.220360e-03
1.800000e+02	1.900000e+02	0.000000e+00	2.100000e-03	2.100000e-03
# END HISTO1D

