# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_ZJET/d30-x01-y01 /LHC.yoda/CMS_2013_I1224539_ZJET/d30-x01-y01 /THY/CMS_2013_I1224539_ZJET/d30-x01-y01
XMax=150.0
Title=Ungroomed AK7 $Z$+jets, $p_{T,j}$ = 150--220 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_ZJET/d30-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d30-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_ZJET/d30-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	6.144000e-01	3.547870e-01	3.547870e-01
1.000000e+01	2.000000e+01	1.321100e+01	2.129715e+00	2.129715e+00
2.000000e+01	3.000000e+01	3.391500e+01	2.886248e+00	2.886248e+00
3.000000e+01	4.000000e+01	2.790600e+01	1.969538e+00	1.969538e+00
4.000000e+01	5.000000e+01	1.427300e+01	1.565664e+00	1.565664e+00
5.000000e+01	6.000000e+01	5.973900e+00	7.617261e-01	7.617261e-01
6.000000e+01	7.000000e+01	2.639800e+00	3.968395e-01	3.968395e-01
7.000000e+01	8.000000e+01	1.128000e+00	2.187221e-01	2.187221e-01
8.000000e+01	9.000000e+01	3.225000e-01	1.021223e-01	1.021223e-01
9.000000e+01	1.000000e+02	1.689000e-02	1.206901e-02	1.206901e-02
1.000000e+02	1.100000e+02	0.000000e+00	2.402082e-03	2.402082e-03
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d30-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_ZJET/d30-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	6.144000e-01	3.547870e-01	3.547870e-01
1.000000e+01	2.000000e+01	1.321100e+01	2.129715e+00	2.129715e+00
2.000000e+01	3.000000e+01	3.391500e+01	2.886248e+00	2.886248e+00
3.000000e+01	4.000000e+01	2.790600e+01	1.969538e+00	1.969538e+00
4.000000e+01	5.000000e+01	1.427300e+01	1.565664e+00	1.565664e+00
5.000000e+01	6.000000e+01	5.973900e+00	7.617261e-01	7.617261e-01
6.000000e+01	7.000000e+01	2.639800e+00	3.968395e-01	3.968395e-01
7.000000e+01	8.000000e+01	1.128000e+00	2.187221e-01	2.187221e-01
8.000000e+01	9.000000e+01	3.225000e-01	1.021223e-01	1.021223e-01
9.000000e+01	1.000000e+02	1.689000e-02	1.206901e-02	1.206901e-02
1.000000e+02	1.100000e+02	0.000000e+00	2.402082e-03	2.402082e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_ZJET/d30-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_ZJET/d30-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	6.144000e-01	3.547870e-01	3.547870e-01
1.000000e+01	2.000000e+01	1.321100e+01	2.129715e+00	2.129715e+00
2.000000e+01	3.000000e+01	3.391500e+01	2.886248e+00	2.886248e+00
3.000000e+01	4.000000e+01	2.790600e+01	1.969538e+00	1.969538e+00
4.000000e+01	5.000000e+01	1.427300e+01	1.565664e+00	1.565664e+00
5.000000e+01	6.000000e+01	5.973900e+00	7.617261e-01	7.617261e-01
6.000000e+01	7.000000e+01	2.639800e+00	3.968395e-01	3.968395e-01
7.000000e+01	8.000000e+01	1.128000e+00	2.187221e-01	2.187221e-01
8.000000e+01	9.000000e+01	3.225000e-01	1.021223e-01	1.021223e-01
9.000000e+01	1.000000e+02	1.689000e-02	1.206901e-02	1.206901e-02
1.000000e+02	1.100000e+02	0.000000e+00	2.402082e-03	2.402082e-03
# END HISTO1D

