# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_ZJET/d40-x01-y01 /LHC.yoda/CMS_2013_I1224539_ZJET/d40-x01-y01 /THY/CMS_2013_I1224539_ZJET/d40-x01-y01
XMax=150.0
Title=Trimmed AK7 $Z$+jets, $p_{T,j}$ = 300--450 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_ZJET/d40-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d40-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_ZJET/d40-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	6.091200e+00	1.183978e+00	1.183978e+00
1.000000e+01	2.000000e+01	2.515200e+01	2.641486e+00	2.641486e+00
2.000000e+01	3.000000e+01	1.578900e+01	2.128709e+00	2.128709e+00
3.000000e+01	4.000000e+01	1.513100e+01	2.328454e+00	2.328454e+00
4.000000e+01	5.000000e+01	1.002900e+01	1.699791e+00	1.699791e+00
5.000000e+01	6.000000e+01	9.254700e+00	1.631296e+00	1.631296e+00
6.000000e+01	7.000000e+01	5.465600e+00	1.234095e+00	1.234095e+00
7.000000e+01	8.000000e+01	4.265900e+00	1.173280e+00	1.173280e+00
8.000000e+01	9.000000e+01	2.553200e+00	9.292694e-01	9.292694e-01
9.000000e+01	1.000000e+02	3.579900e+00	1.127759e+00	1.127759e+00
1.000000e+02	1.100000e+02	5.888000e-01	4.602017e-01	4.602017e-01
1.100000e+02	1.200000e+02	5.157000e-01	3.534143e-01	3.534143e-01
1.200000e+02	1.300000e+02	6.571000e-01	4.631254e-01	4.631254e-01
1.300000e+02	1.400000e+02	9.274000e-01	5.153843e-01	5.153843e-01
1.400000e+02	1.500000e+02	0.000000e+00	6.037278e-01	6.037278e-01
1.500000e+02	1.600000e+02	0.000000e+00	3.975035e-02	3.975035e-02
1.600000e+02	1.700000e+02	0.000000e+00	8.440000e-02	8.440000e-02
1.700000e+02	1.800000e+02	0.000000e+00	5.580000e-02	5.580000e-02
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d40-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_ZJET/d40-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	6.091200e+00	1.183978e+00	1.183978e+00
1.000000e+01	2.000000e+01	2.515200e+01	2.641486e+00	2.641486e+00
2.000000e+01	3.000000e+01	1.578900e+01	2.128709e+00	2.128709e+00
3.000000e+01	4.000000e+01	1.513100e+01	2.328454e+00	2.328454e+00
4.000000e+01	5.000000e+01	1.002900e+01	1.699791e+00	1.699791e+00
5.000000e+01	6.000000e+01	9.254700e+00	1.631296e+00	1.631296e+00
6.000000e+01	7.000000e+01	5.465600e+00	1.234095e+00	1.234095e+00
7.000000e+01	8.000000e+01	4.265900e+00	1.173280e+00	1.173280e+00
8.000000e+01	9.000000e+01	2.553200e+00	9.292694e-01	9.292694e-01
9.000000e+01	1.000000e+02	3.579900e+00	1.127759e+00	1.127759e+00
1.000000e+02	1.100000e+02	5.888000e-01	4.602017e-01	4.602017e-01
1.100000e+02	1.200000e+02	5.157000e-01	3.534143e-01	3.534143e-01
1.200000e+02	1.300000e+02	6.571000e-01	4.631254e-01	4.631254e-01
1.300000e+02	1.400000e+02	9.274000e-01	5.153843e-01	5.153843e-01
1.400000e+02	1.500000e+02	0.000000e+00	6.037278e-01	6.037278e-01
1.500000e+02	1.600000e+02	0.000000e+00	3.975035e-02	3.975035e-02
1.600000e+02	1.700000e+02	0.000000e+00	8.440000e-02	8.440000e-02
1.700000e+02	1.800000e+02	0.000000e+00	5.580000e-02	5.580000e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_ZJET/d40-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_ZJET/d40-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	6.091200e+00	1.183978e+00	1.183978e+00
1.000000e+01	2.000000e+01	2.515200e+01	2.641486e+00	2.641486e+00
2.000000e+01	3.000000e+01	1.578900e+01	2.128709e+00	2.128709e+00
3.000000e+01	4.000000e+01	1.513100e+01	2.328454e+00	2.328454e+00
4.000000e+01	5.000000e+01	1.002900e+01	1.699791e+00	1.699791e+00
5.000000e+01	6.000000e+01	9.254700e+00	1.631296e+00	1.631296e+00
6.000000e+01	7.000000e+01	5.465600e+00	1.234095e+00	1.234095e+00
7.000000e+01	8.000000e+01	4.265900e+00	1.173280e+00	1.173280e+00
8.000000e+01	9.000000e+01	2.553200e+00	9.292694e-01	9.292694e-01
9.000000e+01	1.000000e+02	3.579900e+00	1.127759e+00	1.127759e+00
1.000000e+02	1.100000e+02	5.888000e-01	4.602017e-01	4.602017e-01
1.100000e+02	1.200000e+02	5.157000e-01	3.534143e-01	3.534143e-01
1.200000e+02	1.300000e+02	6.571000e-01	4.631254e-01	4.631254e-01
1.300000e+02	1.400000e+02	9.274000e-01	5.153843e-01	5.153843e-01
1.400000e+02	1.500000e+02	0.000000e+00	6.037278e-01	6.037278e-01
1.500000e+02	1.600000e+02	0.000000e+00	3.975035e-02	3.975035e-02
1.600000e+02	1.700000e+02	0.000000e+00	8.440000e-02	8.440000e-02
1.700000e+02	1.800000e+02	0.000000e+00	5.580000e-02	5.580000e-02
# END HISTO1D

