# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_ZJET/d45-x01-y01 /LHC.yoda/CMS_2013_I1224539_ZJET/d45-x01-y01 /THY/CMS_2013_I1224539_ZJET/d45-x01-y01
XMax=150.0
Title=Pruned CA8 $Z$+jets, $p_{T,j}$ = 125--150 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_ZJET/d45-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d45-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_ZJET/d45-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.575800e+01	3.033526e+00	3.033526e+00
1.000000e+01	2.000000e+01	2.708100e+01	2.425003e+00	2.425003e+00
2.000000e+01	3.000000e+01	1.256100e+01	1.282520e+00	1.282520e+00
3.000000e+01	4.000000e+01	1.000900e+01	7.688621e-01	7.688621e-01
4.000000e+01	5.000000e+01	9.305800e+00	7.174379e-01	7.174379e-01
5.000000e+01	6.000000e+01	4.227100e+00	3.932664e-01	3.932664e-01
6.000000e+01	7.000000e+01	9.047000e-01	2.893158e-01	2.893158e-01
7.000000e+01	8.000000e+01	1.419000e-01	1.180614e-01	1.180614e-01
8.000000e+01	9.000000e+01	1.134000e-02	2.888048e-02	2.888048e-02
9.000000e+01	1.000000e+02	0.000000e+00	1.400000e-03	1.400000e-03
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d45-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_ZJET/d45-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.575800e+01	3.033526e+00	3.033526e+00
1.000000e+01	2.000000e+01	2.708100e+01	2.425003e+00	2.425003e+00
2.000000e+01	3.000000e+01	1.256100e+01	1.282520e+00	1.282520e+00
3.000000e+01	4.000000e+01	1.000900e+01	7.688621e-01	7.688621e-01
4.000000e+01	5.000000e+01	9.305800e+00	7.174379e-01	7.174379e-01
5.000000e+01	6.000000e+01	4.227100e+00	3.932664e-01	3.932664e-01
6.000000e+01	7.000000e+01	9.047000e-01	2.893158e-01	2.893158e-01
7.000000e+01	8.000000e+01	1.419000e-01	1.180614e-01	1.180614e-01
8.000000e+01	9.000000e+01	1.134000e-02	2.888048e-02	2.888048e-02
9.000000e+01	1.000000e+02	0.000000e+00	1.400000e-03	1.400000e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_ZJET/d45-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_ZJET/d45-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.575800e+01	3.033526e+00	3.033526e+00
1.000000e+01	2.000000e+01	2.708100e+01	2.425003e+00	2.425003e+00
2.000000e+01	3.000000e+01	1.256100e+01	1.282520e+00	1.282520e+00
3.000000e+01	4.000000e+01	1.000900e+01	7.688621e-01	7.688621e-01
4.000000e+01	5.000000e+01	9.305800e+00	7.174379e-01	7.174379e-01
5.000000e+01	6.000000e+01	4.227100e+00	3.932664e-01	3.932664e-01
6.000000e+01	7.000000e+01	9.047000e-01	2.893158e-01	2.893158e-01
7.000000e+01	8.000000e+01	1.419000e-01	1.180614e-01	1.180614e-01
8.000000e+01	9.000000e+01	1.134000e-02	2.888048e-02	2.888048e-02
9.000000e+01	1.000000e+02	0.000000e+00	1.400000e-03	1.400000e-03
# END HISTO1D

