# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_ZJET/d51-x01-y01 /LHC.yoda/CMS_2013_I1224539_ZJET/d51-x01-y01 /THY/CMS_2013_I1224539_ZJET/d51-x01-y01
XMax=150.0
Title=Filtered CA12 $Z$+jets, $p_{T,j}$ = 300--450 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_ZJET/d51-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d51-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_ZJET/d51-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	6.435000e-02	4.521133e-02	4.521133e-02
1.000000e+01	2.000000e+01	6.028900e+00	1.595526e+00	1.595526e+00
2.000000e+01	3.000000e+01	1.656700e+01	1.756742e+00	1.756742e+00
3.000000e+01	4.000000e+01	1.618600e+01	1.682741e+00	1.682741e+00
4.000000e+01	5.000000e+01	1.530500e+01	1.526982e+00	1.526982e+00
5.000000e+01	6.000000e+01	1.198800e+01	1.363296e+00	1.363296e+00
6.000000e+01	7.000000e+01	9.480200e+00	1.450412e+00	1.450412e+00
7.000000e+01	8.000000e+01	6.343000e+00	1.130043e+00	1.130043e+00
8.000000e+01	9.000000e+01	4.780100e+00	8.479014e-01	8.479014e-01
9.000000e+01	1.000000e+02	3.587300e+00	7.681433e-01	7.681433e-01
1.000000e+02	1.100000e+02	1.667100e+00	5.042156e-01	5.042156e-01
1.100000e+02	1.200000e+02	1.406800e+00	4.722455e-01	4.722455e-01
1.200000e+02	1.300000e+02	1.946700e+00	5.889264e-01	5.889264e-01
1.300000e+02	1.400000e+02	1.023200e+00	4.251356e-01	4.251356e-01
1.400000e+02	1.500000e+02	1.031000e+00	4.114289e-01	4.114289e-01
1.500000e+02	1.600000e+02	5.616000e-01	3.106042e-01	3.106042e-01
1.600000e+02	1.700000e+02	7.365000e-01	4.096953e-01	4.096953e-01
1.800000e+02	1.900000e+02	3.109000e-01	1.908451e-01	1.908451e-01
1.900000e+02	2.000000e+02	2.730000e-01	2.244199e-01	2.244199e-01
2.100000e+02	2.200000e+02	2.643000e-01	2.299455e-01	2.299455e-01
2.300000e+02	2.400000e+02	0.000000e+00	2.670000e-02	2.670000e-02
2.500000e+02	2.600000e+02	2.553000e-01	2.404110e-01	2.404110e-01
2.600000e+02	2.700000e+02	0.000000e+00	4.410000e-02	4.410000e-02
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d51-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_ZJET/d51-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	6.435000e-02	4.521133e-02	4.521133e-02
1.000000e+01	2.000000e+01	6.028900e+00	1.595526e+00	1.595526e+00
2.000000e+01	3.000000e+01	1.656700e+01	1.756742e+00	1.756742e+00
3.000000e+01	4.000000e+01	1.618600e+01	1.682741e+00	1.682741e+00
4.000000e+01	5.000000e+01	1.530500e+01	1.526982e+00	1.526982e+00
5.000000e+01	6.000000e+01	1.198800e+01	1.363296e+00	1.363296e+00
6.000000e+01	7.000000e+01	9.480200e+00	1.450412e+00	1.450412e+00
7.000000e+01	8.000000e+01	6.343000e+00	1.130043e+00	1.130043e+00
8.000000e+01	9.000000e+01	4.780100e+00	8.479014e-01	8.479014e-01
9.000000e+01	1.000000e+02	3.587300e+00	7.681433e-01	7.681433e-01
1.000000e+02	1.100000e+02	1.667100e+00	5.042156e-01	5.042156e-01
1.100000e+02	1.200000e+02	1.406800e+00	4.722455e-01	4.722455e-01
1.200000e+02	1.300000e+02	1.946700e+00	5.889264e-01	5.889264e-01
1.300000e+02	1.400000e+02	1.023200e+00	4.251356e-01	4.251356e-01
1.400000e+02	1.500000e+02	1.031000e+00	4.114289e-01	4.114289e-01
1.500000e+02	1.600000e+02	5.616000e-01	3.106042e-01	3.106042e-01
1.600000e+02	1.700000e+02	7.365000e-01	4.096953e-01	4.096953e-01
1.800000e+02	1.900000e+02	3.109000e-01	1.908451e-01	1.908451e-01
