# BEGIN PLOT
DrawOnly=/REF/CMS_2014_I1266056/d01-x01-y02 /LHC.yoda/CMS_2014_I1266056/d01-x01-y02 /THY/CMS_2014_I1266056/d01-x01-y02
XMax=300.0
Title=Leading photon $p_\perp$ (central photons (<0.9), forward jets (<2.5))
RatioPlotReference=/REF/CMS_2014_I1266056/d01-x01-y02
RatioPlot=1
LogX=1
LogY=1
XLabel=$p_\perp^\gamma$ [GeV]
MainPlot=1
YLabel=$\mathrm{d}^3\sigma/\mathrm{d}p_\perp^\gamma\,\mathrm{d}\eta^\gamma\,\mathrm{d}\eta^\mathrm{jet}$ [pb/GeV]
XMin=40.0
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2014_I1266056/d01-x01-y02
IsRef=1
LineColor=green
Path=/REF/CMS_2014_I1266056/d01-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+01	4.500000e+01	1.120000e+01	1.486607e+00	1.486607e+00
4.500000e+01	5.000000e+01	8.590000e+00	1.324387e+00	1.324387e+00
5.000000e+01	6.000000e+01	4.760000e+00	5.608030e-01	5.608030e-01
6.000000e+01	7.000000e+01	2.190000e+00	2.441311e-01	2.441311e-01
7.000000e+01	8.500000e+01	9.980000e-01	9.590099e-02	9.590099e-02
8.500000e+01	1.000000e+02	4.540000e-01	2.846050e-02	2.846050e-02
1.000000e+02	1.450000e+02	1.340000e-01	8.246211e-03	8.246211e-03
1.450000e+02	3.000000e+02	9.500000e-03	5.099020e-04	5.099020e-04
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2014_I1266056/d01-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2014_I1266056/d01-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+01	4.500000e+01	1.120000e+01	1.486607e+00	1.486607e+00
4.500000e+01	5.000000e+01	8.590000e+00	1.324387e+00	1.324387e+00
5.000000e+01	6.000000e+01	4.760000e+00	5.608030e-01	5.608030e-01
6.000000e+01	7.000000e+01	2.190000e+00	2.441311e-01	2.441311e-01
7.000000e+01	8.500000e+01	9.980000e-01	9.590099e-02	9.590099e-02
8.500000e+01	1.000000e+02	4.540000e-01	2.846050e-02	2.846050e-02
1.000000e+02	1.450000e+02	1.340000e-01	8.246211e-03	8.246211e-03
1.450000e+02	3.000000e+02	9.500000e-03	5.099020e-04	5.099020e-04
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2014_I1266056/d01-x01-y02
LineColor=red
Path=/LHC.yoda/CMS_2014_I1266056/d01-x01-y02
Title=[3]  0.00
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+01	4.500000e+01	1.120639e+01	1.492996e+00	1.492996e+00
4.500000e+01	5.000000e+01	8.590000e+00	1.324387e+00	1.324387e+00
5.000000e+01	6.000000e+01	4.763195e+00	5.639976e-01	5.639976e-01
6.000000e+01	7.000000e+01	2.190000e+00	2.441311e-01	2.441311e-01
7.000000e+01	8.500000e+01	9.980000e-01	9.590099e-02	9.590099e-02
8.500000e+01	1.000000e+02	4.540000e-01	2.846050e-02	2.846050e-02
1.000000e+02	1.450000e+02	1.340000e-01	8.246211e-03	8.246211e-03
1.450000e+02	3.000000e+02	9.500000e-03	5.099020e-04	5.099020e-04
# END HISTO1D

