# BEGIN PLOT
DrawOnly=/REF/CMS_2014_I1303894/d09-x01-y01 /LHC.yoda/CMS_2014_I1303894/d09-x01-y01 /THY/CMS_2014_I1303894/d09-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=5.0~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2014_I1303894/d09-x01-y01
RatioPlot=1
LogX=0
LogY=1
LegendXPos=0.7
XLabel=$H_{\text{T}}$ $(\geq 1 \text{jet})$ [GeV]
MainPlot=1
YLabel=$d\sigma (\text{W}\rightarrow \mu \nu +\geq 1 \text{jet})/dH_{\text{T}}$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2014_I1303894/d09-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2014_I1303894/d09-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	6.000000e+01	1.034905e+01	5.134753e-01	4.841352e-01
6.000000e+01	9.000000e+01	2.688079e+00	1.760081e-01	1.779617e-01
9.000000e+01	1.200000e+02	1.273750e+00	6.985267e-02	6.910595e-02
1.200000e+02	1.800000e+02	5.065772e-01	4.284763e-02	4.423613e-02
1.800000e+02	2.400000e+02	1.714773e-01	1.792735e-02	1.985873e-02
2.400000e+02	3.000000e+02	7.097881e-02	8.718466e-03	9.745711e-03
3.000000e+02	3.600000e+02	3.494046e-02	4.700303e-03	4.839556e-03
3.600000e+02	4.200000e+02	1.803431e-02	2.597376e-03	2.992936e-03
4.200000e+02	5.400000e+02	7.794147e-03	1.186680e-03	1.350151e-03
5.400000e+02	6.600000e+02	2.712412e-03	3.713421e-04	3.773966e-04
6.600000e+02	8.400000e+02	1.134208e-03	2.119072e-04	2.159435e-04
8.400000e+02	1.680000e+03	1.009082e-04	1.816347e-05	2.219980e-05
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2014_I1303894/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2014_I1303894/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	6.000000e+01	1.034905e+01	5.134753e-01	4.841352e-01
6.000000e+01	9.000000e+01	2.688079e+00	1.760081e-01	1.779617e-01
9.000000e+01	1.200000e+02	1.273750e+00	6.985267e-02	6.910595e-02
1.200000e+02	1.800000e+02	5.065772e-01	4.284763e-02	4.423613e-02
1.800000e+02	2.400000e+02	1.714773e-01	1.792735e-02	1.985873e-02
2.400000e+02	3.000000e+02	7.097881e-02	8.718466e-03	9.745711e-03
3.000000e+02	3.600000e+02	3.494046e-02	4.700303e-03	4.839556e-03
3.600000e+02	4.200000e+02	1.803431e-02	2.597376e-03	2.992936e-03
4.200000e+02	5.400000e+02	7.794147e-03	1.186680e-03	1.350151e-03
5.400000e+02	6.600000e+02	2.712412e-03	3.713421e-04	3.773966e-04
6.600000e+02	8.400000e+02	1.134208e-03	2.119072e-04	2.159435e-04
8.400000e+02	1.680000e+03	1.009082e-04	1.816347e-05	2.219980e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2014_I1303894/d09-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2014_I1303894/d09-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	6.000000e+01	1.034905e+01	5.134753e-01	4.841352e-01
6.000000e+01	9.000000e+01	2.688079e+00	1.760081e-01	1.779617e-01
9.000000e+01	1.200000e+02	1.273750e+00	6.985267e-02	6.910595e-02
1.200000e+02	1.800000e+02	5.065772e-01	4.284763e-02	4.423613e-02
1.800000e+02	2.400000e+02	1.714773e-01	1.792735e-02	1.985873e-02
2.400000e+02	3.000000e+02	7.097881e-02	8.718466e-03	9.745711e-03
3.000000e+02	3.600000e+02	3.494046e-02	4.700303e-03	4.839556e-03
3.600000e+02	4.200000e+02	1.803431e-02	2.597376e-03	2.992936e-03
4.200000e+02	5.400000e+02	7.794147e-03	1.186680e-03	1.350151e-03
5.400000e+02	6.600000e+02	2.712412e-03	3.713421e-04	3.773966e-04
6.600000e+02	8.400000e+02	1.134208e-03	2.119072e-04	2.159435e-04
8.400000e+02	1.680000e+03	1.009082e-04	1.816347e-05	2.219980e-05
# END HISTO1D

