# BEGIN PLOT
DrawOnly=/REF/CMS_2015_I1310737/d11-x01-y01 /LHC.yoda/CMS_2015_I1310737/d11-x01-y01 /THY/CMS_2015_I1310737/d11-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=4.9~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2015_I1310737/d11-x01-y01
RatioPlot=1
LogX=0
LogY=1
LegendXPos=0.7
XLabel=$H_T, N_{jet} \ge 1$ [GeV]
MainPlot=1
YLabel=$d\sigma/dH_{T}$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2015_I1310737/d11-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2015_I1310737/d11-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	7.000000e+01	1.046475e+00	5.443619e-02	5.443619e-02
7.000000e+01	1.100000e+02	2.622178e-01	2.989969e-02	2.989969e-02
1.100000e+02	1.500000e+02	1.073060e-01	1.258892e-02	1.258892e-02
1.500000e+02	1.900000e+02	5.150059e-02	5.691657e-03	5.691657e-03
1.900000e+02	2.300000e+02	2.723324e-02	3.095336e-03	3.095336e-03
2.300000e+02	2.700000e+02	1.522182e-02	1.755363e-03	1.755363e-03
2.700000e+02	3.100000e+02	8.857838e-03	1.047900e-03	1.047900e-03
3.100000e+02	3.500000e+02	5.799044e-03	6.674913e-04	6.674913e-04
3.500000e+02	3.900000e+02	3.561164e-03	4.100397e-04	4.100397e-04
3.900000e+02	4.300000e+02	2.369951e-03	2.649969e-04	2.649969e-04
4.300000e+02	4.700000e+02	1.651586e-03	1.858893e-04	1.858893e-04
4.700000e+02	5.100000e+02	1.149619e-03	1.327974e-04	1.327974e-04
5.100000e+02	5.500000e+02	7.805966e-04	9.713172e-05	9.713172e-05
5.500000e+02	5.900000e+02	6.406457e-04	7.298458e-05	7.298458e-05
5.900000e+02	6.300000e+02	4.149028e-04	5.339592e-05	5.339592e-05
6.300000e+02	6.700000e+02	2.852012e-04	5.082315e-05	5.082315e-05
6.700000e+02	7.100000e+02	2.473034e-04	4.874360e-05	4.874360e-05
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2015_I1310737/d11-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2015_I1310737/d11-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	7.000000e+01	1.046475e+00	5.443619e-02	5.443619e-02
7.000000e+01	1.100000e+02	2.622178e-01	2.989969e-02	2.989969e-02
1.100000e+02	1.500000e+02	1.073060e-01	1.258892e-02	1.258892e-02
1.500000e+02	1.900000e+02	5.150059e-02	5.691657e-03	5.691657e-03
1.900000e+02	2.300000e+02	2.723324e-02	3.095336e-03	3.095336e-03
2.300000e+02	2.700000e+02	1.522182e-02	1.755363e-03	1.755363e-03
2.700000e+02	3.100000e+02	8.857838e-03	1.047900e-03	1.047900e-03
3.100000e+02	3.500000e+02	5.799044e-03	6.674913e-04	6.674913e-04
3.500000e+02	3.900000e+02	3.561164e-03	4.100397e-04	4.100397e-04
3.900000e+02	4.300000e+02	2.369951e-03	2.649969e-04	2.649969e-04
4.300000e+02	4.700000e+02	1.651586e-03	1.858893e-04	1.858893e-04
4.700000e+02	5.100000e+02	1.149619e-03	1.327974e-04	1.327974e-04
5.100000e+02	5.500000e+02	7.805966e-04	9.713172e-05	9.713172e-05
5.500000e+02	5.900000e+02	6.406457e-04	7.298458e-05	7.298458e-05
5.900000e+02	6.300000e+02	4.149028e-04	5.339592e-05	5.339592e-05
6.300000e+02	6.700000e+02	2.852012e-04	5.082315e-05	5.082315e-05
6.700000e+02	7.100000e+02	2.473034e-04	4.874360e-05	4.874360e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2015_I1310737/d11-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2015_I1310737/d11-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	7.000000e+01	1.046475e+00	5.443619e-02	5.443619e-02
7.000000e+01	1.100000e+02	2.622178e-01	2.989969e-02	2.989969e-02
1.100000e+02	1.500000e+02	1.073060e-01	1.258892e-02	1.258892e-02
1.500000e+02	1.900000e+02	5.150059e-02	5.691657e-03	5.691657e-03
1.900000e+02	2.300000e+02	2.723324e-02	3.095336e-03	3.095336e-03
2.300000e+02	2.700000e+02	1.522182e-02	1.755363e-03	1.755363e-03
2.700000e+02	3.100000e+02	8.857838e-03	1.047900e-03	1.047900e-03
3.100000e+02	3.500000e+02	5.799044e-03	6.674913e-04	6.674913e-04
3.500000e+02	3.900000e+02	3.561164e-03	4.100397e-04	4.100397e-04
3.900000e+02	4.300000e+02	2.369951e-03	2.649969e-04	2.649969e-04
4.300000e+02	4.700000e+02	1.651586e-03	1.858893e-04	1.858893e-04
4.700000e+02	5.100000e+02	1.149619e-03	1.327974e-04	1.327974e-04
5.100000e+02	5.500000e+02	7.805966e-04	9.713172e-05	9.713172e-05
5.500000e+02	5.900000e+02	6.406457e-04	7.298458e-05	7.298458e-05
5.900000e+02	6.300000e+02	4.149028e-04	5.339592e-05	5.339592e-05
6.300000e+02	6.700000e+02	2.852012e-04	5.082315e-05	5.082315e-05
6.700000e+02	7.100000e+02	2.473034e-04	4.874360e-05	4.874360e-05
# END HISTO1D

