# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1208923/d01-x01-y02 /ctest/mY_2600_mX_1600/mY_2600_mX_1600.yoda/CMS_2013_I1208923/d01-x01-y02 /THY/CMS_2013_I1208923/d01-x01-y02
Title=Single Jet Analysis, $0.5 < |y| < 1.0$, $\sqrt{s} = 7$ TeV
RatioPlotReference=/REF/CMS_2013_I1208923/d01-x01-y02
RatioPlot=1
LogX=0
LogY=1
XLabel=Jet $p_{T}$ [GeV]
MainPlot=1
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1208923/d01-x01-y02
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1208923/d01-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	2.810000e+03	2.087870e+02	2.048414e+02
1.330000e+02	1.530000e+02	1.234000e+03	8.807383e+01	8.709765e+01
1.530000e+02	1.740000e+02	5.766000e+02	3.875939e+01	3.837252e+01
1.740000e+02	1.960000e+02	2.860000e+02	1.848378e+01	1.769209e+01
1.960000e+02	2.200000e+02	1.460000e+02	8.944272e+00	9.141116e+00
2.200000e+02	2.450000e+02	7.607000e+01	4.610694e+00	4.600891e+00
2.450000e+02	2.720000e+02	4.055000e+01	2.466759e+00	2.427859e+00
2.720000e+02	3.000000e+02	2.222000e+01	1.358565e+00	1.339291e+00
3.000000e+02	3.300000e+02	1.242000e+01	7.269113e-01	7.368175e-01
3.300000e+02	3.620000e+02	6.966000e+00	4.197547e-01	4.118471e-01
3.620000e+02	3.950000e+02	3.942000e+00	2.362224e-01	2.362224e-01
3.950000e+02	4.300000e+02	2.269000e+00	1.379311e-01	1.399178e-01
4.300000e+02	4.680000e+02	1.303000e+00	8.161495e-02	8.161495e-02
4.680000e+02	5.070000e+02	7.474000e-01	4.777217e-02	4.816825e-02
5.070000e+02	5.480000e+02	4.242000e-01	2.765231e-02	2.775212e-02
5.480000e+02	5.920000e+02	2.449000e-01	1.634411e-02	1.664332e-02
5.920000e+02	6.380000e+02	1.428000e-01	9.940825e-03	1.004042e-02
6.380000e+02	6.860000e+02	8.285000e-02	5.938392e-03	6.077738e-03
6.860000e+02	7.370000e+02	4.771000e-02	3.562485e-03	3.641772e-03
7.370000e+02	7.900000e+02	2.762000e-02	2.155412e-03	2.214723e-03
7.900000e+02	8.460000e+02	1.550000e-02	1.274755e-03	1.294372e-03
8.460000e+02	9.050000e+02	8.333000e-03	7.196034e-04	7.390189e-04
9.050000e+02	9.670000e+02	4.376000e-03	4.051234e-04	4.137076e-04
9.670000e+02	1.032000e+03	2.396000e-03	2.373205e-04	2.438237e-04
1.032000e+03	1.101000e+03	1.426000e-03	1.543049e-04	1.570127e-04
1.101000e+03	1.172000e+03	7.655000e-04	9.109627e-05	9.314145e-05
1.172000e+03	1.248000e+03	3.218000e-04	4.577554e-05	4.668404e-05
1.248000e+03	1.327000e+03	1.292000e-04	2.325446e-05	2.350766e-05
1.327000e+03	1.410000e+03	7.129000e-05	1.704254e-05	1.717911e-05
1.410000e+03	1.784000e+03	1.531000e-05	3.816346e-06	3.855490e-06
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1208923/d01-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1208923/d01-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	2.810000e+03	2.087870e+02	2.048414e+02
1.330000e+02	1.530000e+02	1.234000e+03	8.807383e+01	8.709765e+01
1.530000e+02	1.740000e+02	5.766000e+02	3.875939e+01	3.837252e+01
1.740000e+02	1.960000e+02	2.860000e+02	1.848378e+01	1.769209e+01
1.960000e+02	2.200000e+02	1.460000e+02	8.944272e+00	9.141116e+00
2.200000e+02	2.450000e+02	7.607000e+01	4.610694e+00	4.600891e+00
2.450000e+02	2.720000e+02	4.055000e+01	2.466759e+00	2.427859e+00
2.720000e+02	3.000000e+02	2.222000e+01	1.358565e+00	1.339291e+00
3.000000e+02	3.300000e+02	1.242000e+01	7.269113e-01	7.368175e-01
3.300000e+02	3.620000e+02	6.966000e+00	4.197547e-01	4.118471e-01
3.620000e+02	3.950000e+02	3.942000e+00	2.362224e-01	2.362224e-01
3.950000e+02	4.300000e+02	2.269000e+00	1.379311e-01	1.399178e-01
4.300000e+02	4.680000e+02	1.303000e+00	8.161495e-02	8.161495e-02
4.680000e+02	5.070000e+02	7.474000e-01	4.777217e-02	4.816825e-02
5.070000e+02	5.480000e+02	4.242000e-01	2.765231e-02	2.775212e-02
5.480000e+02	5.920000e+02	2.449000e-01	1.634411e-02	1.664332e-02
5.920000e+02	6.380000e+02	1.428000e-01	9.940825e-03	1.004042e-02
6.380000e+02	6.860000e+02	8.285000e-02	5.938392e-03	6.077738e-03
6.860000e+02	7.370000e+02	4.771000e-02	3.562485e-03	3.641772e-03
7.370000e+02	7.900000e+02	2.762000e-02	2.155412e-03	2.214723e-03
7.900000e+02	8.460000e+02	1.550000e-02	1.274755e-03	1.294372e-03
8.460000e+02	9.050000e+02	8.333000e-03	7.196034e-04	7.390189e-04
9.050000e+02	9.670000e+02	4.376000e-03	4.051234e-04	4.137076e-04
9.670000e+02	1.032000e+03	2.396000e-03	2.373205e-04	2.438237e-04
1.032000e+03	1.101000e+03	1.426000e-03	1.543049e-04	1.570127e-04
1.101000e+03	1.172000e+03	7.655000e-04	9.109627e-05	9.314145e-05
1.172000e+03	1.248000e+03	3.218000e-04	4.577554e-05	4.668404e-05
1.248000e+03	1.327000e+03	1.292000e-04	2.325446e-05	2.350766e-05
1.327000e+03	1.410000e+03	7.129000e-05	1.704254e-05	1.717911e-05
1.410000e+03	1.784000e+03	1.531000e-05	3.816346e-06	3.855490e-06
# END HISTO1D


# BEGIN HISTO1D /ctest/mY_2600_mX_1600/mY_2600_mX_1600.yoda/CMS_2013_I1208923/d01-x01-y02
LineColor=red
Path=/ctest/mY_2600_mX_1600/mY_2600_mX_1600.yoda/CMS_2013_I1208923/d01-x01-y02
Title=[27]  0.28
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	2.810000e+03	2.087870e+02	2.048414e+02
1.330000e+02	1.530000e+02	1.234000e+03	8.807384e+01	8.709766e+01
1.530000e+02	1.740000e+02	5.766001e+02	3.875940e+01	3.837253e+01
1.740000e+02	1.960000e+02	2.860001e+02	1.848379e+01	1.769210e+01
1.960000e+02	2.200000e+02	1.460001e+02	8.944278e+00	9.141122e+00
2.200000e+02	2.450000e+02	7.607010e+01	4.610700e+00	4.600897e+00
2.450000e+02	2.720000e+02	4.055008e+01	2.466764e+00	2.427864e+00
2.720000e+02	3.000000e+02	2.222008e+01	1.358570e+00	1.339296e+00
3.000000e+02	3.300000e+02	1.242007e+01	7.269157e-01	7.368219e-01
3.300000e+02	3.620000e+02	6.966058e+00	4.197585e-01	4.118509e-01
3.620000e+02	3.950000e+02	3.942058e+00	2.362261e-01	2.362261e-01
3.950000e+02	4.300000e+02	2.269049e+00	1.379344e-01	1.399211e-01
4.300000e+02	4.680000e+02	1.303043e+00	8.161793e-02	8.161793e-02
4.680000e+02	5.070000e+02	7.474422e-01	4.777510e-02	4.817118e-02
5.070000e+02	5.480000e+02	4.242357e-01	2.765494e-02	2.775475e-02
5.480000e+02	5.920000e+02	2.449380e-01	1.634672e-02	1.664593e-02
5.920000e+02	6.380000e+02	1.428344e-01	9.943260e-03	1.004286e-02
6.380000e+02	6.860000e+02	8.288251e-02	5.940708e-03	6.080054e-03
6.860000e+02	7.370000e+02	4.774308e-02	3.564752e-03	3.644039e-03
7.370000e+02	7.900000e+02	2.765721e-02	2.157770e-03	2.217081e-03
7.900000e+02	8.460000e+02	1.553465e-02	1.276969e-03	1.296586e-03
8.460000e+02	9.050000e+02	8.371126e-03	7.218658e-04	7.412813e-04
9.050000e+02	9.670000e+02	4.412026e-03	4.072687e-04	4.158529e-04
9.670000e+02	1.032000e+03	2.428779e-03	2.393191e-04	2.458223e-04
1.032000e+03	1.101000e+03	1.453894e-03	1.560943e-04	1.588021e-04
1.101000e+03	1.172000e+03	7.946163e-04	9.289852e-05	9.494370e-05
1.172000e+03	1.248000e+03	3.418098e-04	4.721962e-05	4.812812e-05
1.248000e+03	1.327000e+03	1.387247e-04	2.423167e-05	2.448487e-05
1.327000e+03	1.410000e+03	7.272142e-05	1.741213e-05	1.754870e-05
1.410000e+03	1.784000e+03	1.539471e-05	3.858702e-06	3.897846e-06
# END HISTO1D

