# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1273574/d02-x01-y01 /ctest/mY_600_mX_600/mY_600_mX_600.yoda/CMS_2013_I1273574/d02-x01-y01 /THY/CMS_2013_I1273574/d02-x01-y01
Title=CMS, $\sqrt{s}$ = 7 TeV, Leading hard jet $p_{T}$ in pp$\rightarrow$ 4j in $|\eta|<4.7$
RatioPlotReference=/REF/CMS_2013_I1273574/d02-x01-y01
RatioPlot=1
LogY=1
XLabel=$p_{T}$ [GeV]
MainPlot=1
YLabel=$d\sigma/dp_{T}\; [\text{pb}/GeV]$
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1273574/d02-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1273574/d02-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	1.000000e+02	4.762447e+03	6.816016e+02	6.816016e+02
1.000000e+02	1.500000e+02	1.422491e+03	1.677112e+02	1.677112e+02
1.500000e+02	2.000000e+02	2.615080e+02	2.657618e+01	2.657618e+01
2.000000e+02	2.600000e+02	5.385504e+01	5.427215e+00	5.427215e+00
2.600000e+02	3.200000e+02	1.226443e+01	1.340991e+00	1.340991e+00
3.200000e+02	3.800000e+02	3.356444e+00	4.551743e-01	4.551743e-01
3.800000e+02	4.400000e+02	1.216012e+00	2.089507e-01	2.089507e-01
4.400000e+02	5.100000e+02	4.400205e-01	1.030097e-01	1.030097e-01
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1273574/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1273574/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	1.000000e+02	4.762447e+03	6.816016e+02	6.816016e+02
1.000000e+02	1.500000e+02	1.422491e+03	1.677112e+02	1.677112e+02
1.500000e+02	2.000000e+02	2.615080e+02	2.657618e+01	2.657618e+01
2.000000e+02	2.600000e+02	5.385504e+01	5.427215e+00	5.427215e+00
2.600000e+02	3.200000e+02	1.226443e+01	1.340991e+00	1.340991e+00
3.200000e+02	3.800000e+02	3.356444e+00	4.551743e-01	4.551743e-01
3.800000e+02	4.400000e+02	1.216012e+00	2.089507e-01	2.089507e-01
4.400000e+02	5.100000e+02	4.400205e-01	1.030097e-01	1.030097e-01
# END HISTO1D


# BEGIN HISTO1D /ctest/mY_600_mX_600/mY_600_mX_600.yoda/CMS_2013_I1273574/d02-x01-y01
LineColor=red
Path=/ctest/mY_600_mX_600/mY_600_mX_600.yoda/CMS_2013_I1273574/d02-x01-y01
Title=[7]  0.14
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	1.000000e+02	4.762528e+03	6.816069e+02	6.816069e+02
1.000000e+02	1.500000e+02	1.422675e+03	1.677192e+02	1.677192e+02
1.500000e+02	2.000000e+02	2.617390e+02	2.658517e+01	2.658517e+01
2.000000e+02	2.600000e+02	5.413625e+01	5.436272e+00	5.436272e+00
2.600000e+02	3.200000e+02	1.250859e+01	1.349430e+00	1.349430e+00
3.200000e+02	3.800000e+02	3.404576e+00	4.589214e-01	4.589214e-01
3.800000e+02	4.400000e+02	1.227097e+00	2.107489e-01	2.107489e-01
4.400000e+02	5.100000e+02	4.415207e-01	1.036222e-01	1.036222e-01
# END HISTO1D

