# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1273574/d01-x01-y01 /ctest/mY_1100_mX_600/mY_1100_mX_600.yoda/CMS_2013_I1273574/d01-x01-y01 /THY/CMS_2013_I1273574/d01-x01-y01
Title=CMS, $\sqrt{s}$ = 7 TeV, Leading hard jet $\eta$ in pp$\rightarrow$ 4j in $|\eta|<4.7$
RatioPlotReference=/REF/CMS_2013_I1273574/d01-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.2
XLabel=$\eta$
MainPlot=1
YLabel=$d\sigma/d\eta\; [\text{pb}/rad]$
LegendYPos=0.4
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1273574/d01-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1273574/d01-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	5.218190e+02	5.010858e+02	5.010858e+02
-4.000000e+00	-3.000000e+00	1.163018e+04	4.827526e+03	4.827526e+03
-3.000000e+00	-2.500000e+00	2.508028e+04	2.574406e+03	2.574406e+03
-2.500000e+00	-2.000000e+00	3.860323e+04	5.385663e+03	5.385663e+03
-2.000000e+00	-1.500000e+00	4.612958e+04	6.984741e+03	6.984741e+03
-1.500000e+00	-1.000000e+00	5.954267e+04	7.752666e+03	7.752666e+03
-1.000000e+00	-5.000000e-01	6.825907e+04	8.904119e+03	8.904119e+03
-5.000000e-01	0.000000e+00	6.627061e+04	7.953209e+03	7.953209e+03
0.000000e+00	5.000000e-01	6.635504e+04	8.150969e+03	8.150969e+03
5.000000e-01	1.000000e+00	6.745386e+04	8.667483e+03	8.667483e+03
1.000000e+00	1.500000e+00	6.036173e+04	7.780509e+03	7.780509e+03
1.500000e+00	2.000000e+00	5.008772e+04	7.302318e+03	7.302318e+03
2.000000e+00	2.500000e+00	3.512359e+04	5.602760e+03	5.602760e+03
2.500000e+00	3.000000e+00	2.526064e+04	2.487461e+03	2.487461e+03
3.000000e+00	4.000000e+00	1.118496e+04	4.828013e+03	4.828013e+03
4.000000e+00	4.700000e+00	4.642397e+02	4.457942e+02	4.457942e+02
4.700000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1273574/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1273574/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	5.218190e+02	5.010858e+02	5.010858e+02
-4.000000e+00	-3.000000e+00	1.163018e+04	4.827526e+03	4.827526e+03
-3.000000e+00	-2.500000e+00	2.508028e+04	2.574406e+03	2.574406e+03
-2.500000e+00	-2.000000e+00	3.860323e+04	5.385663e+03	5.385663e+03
-2.000000e+00	-1.500000e+00	4.612958e+04	6.984741e+03	6.984741e+03
-1.500000e+00	-1.000000e+00	5.954267e+04	7.752666e+03	7.752666e+03
-1.000000e+00	-5.000000e-01	6.825907e+04	8.904119e+03	8.904119e+03
-5.000000e-01	0.000000e+00	6.627061e+04	7.953209e+03	7.953209e+03
0.000000e+00	5.000000e-01	6.635504e+04	8.150969e+03	8.150969e+03
5.000000e-01	1.000000e+00	6.745386e+04	8.667483e+03	8.667483e+03
1.000000e+00	1.500000e+00	6.036173e+04	7.780509e+03	7.780509e+03
1.500000e+00	2.000000e+00	5.008772e+04	7.302318e+03	7.302318e+03
2.000000e+00	2.500000e+00	3.512359e+04	5.602760e+03	5.602760e+03
2.500000e+00	3.000000e+00	2.526064e+04	2.487461e+03	2.487461e+03
