# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d15-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d15-x01-y02 /THY/ATLAS_2013_I1230812_EL/d15-x01-y02
Title=Transverse momentum of $Z$-boson
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d15-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
XLabel=$p_\perp(Z)$ [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d15-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d15-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	5.453000e-01	7.564450e-02	7.564450e-02
4.000000e+01	8.000000e+01	7.269000e-01	2.994612e-02	2.994612e-02
8.000000e+01	1.200000e+02	1.801000e-01	6.256996e-03	6.256996e-03
1.200000e+02	1.600000e+02	5.077000e-02	1.744534e-03	1.744534e-03
1.600000e+02	2.000000e+02	1.794000e-02	7.463913e-04	7.463913e-04
2.000000e+02	2.400000e+02	7.123000e-03	3.581745e-04	3.581745e-04
2.400000e+02	2.800000e+02	3.225000e-03	1.998024e-04	1.998024e-04
2.800000e+02	3.200000e+02	1.589000e-03	1.355618e-04	1.355618e-04
3.200000e+02	3.600000e+02	6.199000e-04	7.907402e-05	7.907402e-05
3.600000e+02	4.000000e+02	4.906000e-04	6.858673e-05	6.858673e-05
4.000000e+02	4.400000e+02	1.300000e-04	3.366987e-05	3.366987e-05
4.400000e+02	4.800000e+02	1.111000e-04	3.162499e-05	3.162499e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d15-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d15-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	5.453000e-01	7.564450e-02	7.564450e-02
4.000000e+01	8.000000e+01	7.269000e-01	2.994612e-02	2.994612e-02
8.000000e+01	1.200000e+02	1.801000e-01	6.256996e-03	6.256996e-03
1.200000e+02	1.600000e+02	5.077000e-02	1.744534e-03	1.744534e-03
1.600000e+02	2.000000e+02	1.794000e-02	7.463913e-04	7.463913e-04
2.000000e+02	2.400000e+02	7.123000e-03	3.581745e-04	3.581745e-04
2.400000e+02	2.800000e+02	3.225000e-03	1.998024e-04	1.998024e-04
2.800000e+02	3.200000e+02	1.589000e-03	1.355618e-04	1.355618e-04
3.200000e+02	3.600000e+02	6.199000e-04	7.907402e-05	7.907402e-05
3.600000e+02	4.000000e+02	4.906000e-04	6.858673e-05	6.858673e-05
4.000000e+02	4.400000e+02	1.300000e-04	3.366987e-05	3.366987e-05
4.400000e+02	4.800000e+02	1.111000e-04	3.162499e-05	3.162499e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_EL/d15-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_EL/d15-x01-y02
Title=[3]  0.01
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	5.453850e-01	7.572949e-02	7.572949e-02
4.000000e+01	8.000000e+01	7.269000e-01	2.994612e-02	2.994612e-02
8.000000e+01	1.200000e+02	1.801850e-01	6.341986e-03	6.341986e-03
1.200000e+02	1.600000e+02	5.077000e-02	1.744534e-03	1.744534e-03
1.600000e+02	2.000000e+02	1.794000e-02	7.463913e-04	7.463913e-04
2.000000e+02	2.400000e+02	7.123000e-03	3.581745e-04	3.581745e-04
2.400000e+02	2.800000e+02	3.225000e-03	1.998024e-04	1.998024e-04
2.800000e+02	3.200000e+02	1.589000e-03	1.355618e-04	1.355618e-04
3.200000e+02	3.600000e+02	6.199000e-04	7.907402e-05	7.907402e-05
3.600000e+02	4.000000e+02	4.906000e-04	6.858673e-05	6.858673e-05
4.000000e+02	4.400000e+02	1.300000e-04	3.366987e-05	3.366987e-05
4.400000e+02	4.800000e+02	1.111000e-04	3.162499e-05	3.162499e-05
# END HISTO1D

