# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d09-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d09-x01-y03 /THY/ATLAS_2013_I1230812_MU/d09-x01-y03
Title=Transverse momentum of 1st jet
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d09-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
XLabel=$p_\perp$(1st jet) [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d09-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d09-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.586000e+00	2.223263e-01	2.223263e-01
3.500000e+01	4.000000e+01	1.943000e+00	1.174819e-01	1.174819e-01
4.000000e+01	5.000000e+01	1.352000e+00	7.128815e-02	7.128815e-02
5.000000e+01	6.000000e+01	8.545000e-01	4.365513e-02	4.365513e-02
6.000000e+01	7.000000e+01	5.660000e-01	2.866426e-02	2.866426e-02
7.000000e+01	8.000000e+01	3.886000e-01	1.977498e-02	1.977498e-02
8.000000e+01	1.000000e+02	2.322000e-01	1.149391e-02	1.149391e-02
1.000000e+02	1.200000e+02	1.211000e-01	5.598214e-03	5.598214e-03
1.200000e+02	1.400000e+02	7.072000e-02	3.348955e-03	3.348955e-03
1.400000e+02	1.600000e+02	4.201000e-02	2.174075e-03	2.174075e-03
1.600000e+02	1.800000e+02	2.586000e-02	1.461130e-03	1.461130e-03
1.800000e+02	2.000000e+02	1.674000e-02	8.949860e-04	8.949860e-04
2.000000e+02	2.200000e+02	1.129000e-02	7.419569e-04	7.419569e-04
2.200000e+02	2.500000e+02	6.464000e-03	5.358545e-04	5.358545e-04
2.500000e+02	2.800000e+02	3.592000e-03	2.766333e-04	2.766333e-04
2.800000e+02	3.100000e+02	2.415000e-03	1.797498e-04	1.797498e-04
3.100000e+02	3.400000e+02	1.646000e-03	1.791926e-04	1.791926e-04
3.400000e+02	3.700000e+02	1.097000e-03	1.208346e-04	1.208346e-04
3.700000e+02	4.000000e+02	6.521000e-04	9.168735e-05	9.168735e-05
4.000000e+02	4.500000e+02	3.180000e-04	4.653977e-05	4.653977e-05
4.500000e+02	5.000000e+02	2.907000e-04	5.653273e-05	5.653273e-05
5.000000e+02	5.500000e+02	1.300000e-04	3.369941e-05	3.369941e-05
5.500000e+02	7.000000e+02	2.368000e-05	1.066501e-05	1.066501e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d09-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d09-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.586000e+00	2.223263e-01	2.223263e-01
3.500000e+01	4.000000e+01	1.943000e+00	1.174819e-01	1.174819e-01
4.000000e+01	5.000000e+01	1.352000e+00	7.128815e-02	7.128815e-02
5.000000e+01	6.000000e+01	8.545000e-01	4.365513e-02	4.365513e-02
6.000000e+01	7.000000e+01	5.660000e-01	2.866426e-02	2.866426e-02
7.000000e+01	8.000000e+01	3.886000e-01	1.977498e-02	1.977498e-02
8.000000e+01	1.000000e+02	2.322000e-01	1.149391e-02	1.149391e-02
1.000000e+02	1.200000e+02	1.211000e-01	5.598214e-03	5.598214e-03
1.200000e+02	1.400000e+02	7.072000e-02	3.348955e-03	3.348955e-03
1.400000e+02	1.600000e+02	4.201000e-02	2.174075e-03	2.174075e-03
1.600000e+02	1.800000e+02	2.586000e-02	1.461130e-03	1.461130e-03
1.800000e+02	2.000000e+02	1.674000e-02	8.949860e-04	8.949860e-04
2.000000e+02	2.200000e+02	1.129000e-02	7.419569e-04	7.419569e-04
2.200000e+02	2.500000e+02	6.464000e-03	5.358545e-04	5.358545e-04
2.500000e+02	2.800000e+02	3.592000e-03	2.766333e-04	2.766333e-04
2.800000e+02	3.100000e+02	2.415000e-03	1.797498e-04	1.797498e-04
3.100000e+02	3.400000e+02	1.646000e-03	1.791926e-04	1.791926e-04
3.400000e+02	3.700000e+02	1.097000e-03	1.208346e-04	1.208346e-04
3.700000e+02	4.000000e+02	6.521000e-04	9.168735e-05	9.168735e-05
4.000000e+02	4.500000e+02	3.180000e-04	4.653977e-05	4.653977e-05
4.500000e+02	5.000000e+02	2.907000e-04	5.653273e-05	5.653273e-05
5.000000e+02	5.500000e+02	1.300000e-04	3.369941e-05	3.369941e-05
5.500000e+02	7.000000e+02	2.368000e-05	1.066501e-05	1.066501e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d09-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d09-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.586000e+00	2.223263e-01	2.223263e-01
3.500000e+01	4.000000e+01	1.943000e+00	1.174819e-01	1.174819e-01
4.000000e+01	5.000000e+01	1.352000e+00	7.128815e-02	7.128815e-02
5.000000e+01	6.000000e+01	8.545000e-01	4.365513e-02	4.365513e-02
6.000000e+01	7.000000e+01	5.660000e-01	2.866426e-02	2.866426e-02
7.000000e+01	8.000000e+01	3.886000e-01	1.977498e-02	1.977498e-02
8.000000e+01	1.000000e+02	2.322000e-01	1.149391e-02	1.149391e-02
1.000000e+02	1.200000e+02	1.211000e-01	5.598214e-03	5.598214e-03
1.200000e+02	1.400000e+02	7.072000e-02	3.348955e-03	3.348955e-03
1.400000e+02	1.600000e+02	4.201000e-02	2.174075e-03	2.174075e-03
1.600000e+02	1.800000e+02	2.586000e-02	1.461130e-03	1.461130e-03
1.800000e+02	2.000000e+02	1.674000e-02	8.949860e-04	8.949860e-04
2.000000e+02	2.200000e+02	1.129000e-02	7.419569e-04	7.419569e-04
2.200000e+02	2.500000e+02	6.464000e-03	5.358545e-04	5.358545e-04
2.500000e+02	2.800000e+02	3.592000e-03	2.766333e-04	2.766333e-04
2.800000e+02	3.100000e+02	2.415000e-03	1.797498e-04	1.797498e-04
3.100000e+02	3.400000e+02	1.646000e-03	1.791926e-04	1.791926e-04
3.400000e+02	3.700000e+02	1.097000e-03	1.208346e-04	1.208346e-04
3.700000e+02	4.000000e+02	6.521000e-04	9.168735e-05	9.168735e-05
4.000000e+02	4.500000e+02	3.180000e-04	4.653977e-05	4.653977e-05
4.500000e+02	5.000000e+02	2.907000e-04	5.653273e-05	5.653273e-05
5.000000e+02	5.500000e+02	1.300000e-04	3.369941e-05	3.369941e-05
5.500000e+02	7.000000e+02	2.368000e-05	1.066501e-05	1.066501e-05
# END HISTO1D

