# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d17-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d17-x01-y03 /THY/ATLAS_2013_I1230812_MU/d17-x01-y03
Title=Rapidity of 1st jet
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d17-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
LegendXPos=0.05
XLabel=$|y|$(1st jet)
LegendAlign=l
MainPlot=1
YLabel=d$\sigma$/d$|y|$ [pb]
LegendYPos=0.5
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d17-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d17-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.391000e+01	1.567354e+00	1.567354e+00
2.000000e-01	4.000000e-01	3.284000e+01	1.542077e+00	1.542077e+00
4.000000e-01	6.000000e-01	3.343000e+01	1.595744e+00	1.595744e+00
6.000000e-01	8.000000e-01	3.135000e+01	1.499600e+00	1.499600e+00
8.000000e-01	1.000000e+00	2.930000e+01	1.477024e+00	1.477024e+00
1.000000e+00	1.200000e+00	2.580000e+01	1.380616e+00	1.380616e+00
1.200000e+00	1.400000e+00	2.488000e+01	1.431468e+00	1.431468e+00
1.400000e+00	1.600000e+00	2.186000e+01	1.295068e+00	1.295068e+00
1.600000e+00	1.800000e+00	1.836000e+01	1.108648e+00	1.108648e+00
1.800000e+00	2.000000e+00	1.642000e+01	1.163185e+00	1.163185e+00
2.000000e+00	2.200000e+00	1.403000e+01	1.003095e+00	1.003095e+00
2.200000e+00	2.400000e+00	1.121000e+01	9.211949e-01	9.211949e-01
2.400000e+00	2.600000e+00	8.635000e+00	1.038348e+00	1.038348e+00
2.600000e+00	2.800000e+00	6.830000e+00	1.014738e+00	1.014738e+00
2.800000e+00	3.000000e+00	5.914000e+00	1.167425e+00	1.167425e+00
3.000000e+00	3.400000e+00	3.421000e+00	6.993275e-01	6.993275e-01
3.400000e+00	3.800000e+00	1.462000e+00	3.584118e-01	3.584118e-01
3.800000e+00	4.400000e+00	4.650000e-01	1.814158e-01	1.814158e-01
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d17-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d17-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.391000e+01	1.567354e+00	1.567354e+00
2.000000e-01	4.000000e-01	3.284000e+01	1.542077e+00	1.542077e+00
4.000000e-01	6.000000e-01	3.343000e+01	1.595744e+00	1.595744e+00
6.000000e-01	8.000000e-01	3.135000e+01	1.499600e+00	1.499600e+00
8.000000e-01	1.000000e+00	2.930000e+01	1.477024e+00	1.477024e+00
1.000000e+00	1.200000e+00	2.580000e+01	1.380616e+00	1.380616e+00
1.200000e+00	1.400000e+00	2.488000e+01	1.431468e+00	1.431468e+00
1.400000e+00	1.600000e+00	2.186000e+01	1.295068e+00	1.295068e+00
1.600000e+00	1.800000e+00	1.836000e+01	1.108648e+00	1.108648e+00
1.800000e+00	2.000000e+00	1.642000e+01	1.163185e+00	1.163185e+00
2.000000e+00	2.200000e+00	1.403000e+01	1.003095e+00	1.003095e+00
2.200000e+00	2.400000e+00	1.121000e+01	9.211949e-01	9.211949e-01
2.400000e+00	2.600000e+00	8.635000e+00	1.038348e+00	1.038348e+00
2.600000e+00	2.800000e+00	6.830000e+00	1.014738e+00	1.014738e+00
2.800000e+00	3.000000e+00	5.914000e+00	1.167425e+00	1.167425e+00
3.000000e+00	3.400000e+00	3.421000e+00	6.993275e-01	6.993275e-01
3.400000e+00	3.800000e+00	1.462000e+00	3.584118e-01	3.584118e-01
3.800000e+00	4.400000e+00	4.650000e-01	1.814158e-01	1.814158e-01
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d17-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d17-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.391000e+01	1.567354e+00	1.567354e+00
2.000000e-01	4.000000e-01	3.284000e+01	1.542077e+00	1.542077e+00
4.000000e-01	6.000000e-01	3.343000e+01	1.595744e+00	1.595744e+00
6.000000e-01	8.000000e-01	3.135000e+01	1.499600e+00	1.499600e+00
8.000000e-01	1.000000e+00	2.930000e+01	1.477024e+00	1.477024e+00
1.000000e+00	1.200000e+00	2.580000e+01	1.380616e+00	1.380616e+00
1.200000e+00	1.400000e+00	2.488000e+01	1.431468e+00	1.431468e+00
1.400000e+00	1.600000e+00	2.186000e+01	1.295068e+00	1.295068e+00
1.600000e+00	1.800000e+00	1.836000e+01	1.108648e+00	1.108648e+00
1.800000e+00	2.000000e+00	1.642000e+01	1.163185e+00	1.163185e+00
2.000000e+00	2.200000e+00	1.403000e+01	1.003095e+00	1.003095e+00
2.200000e+00	2.400000e+00	1.121000e+01	9.211949e-01	9.211949e-01
2.400000e+00	2.600000e+00	8.635000e+00	1.038348e+00	1.038348e+00
2.600000e+00	2.800000e+00	6.830000e+00	1.014738e+00	1.014738e+00
2.800000e+00	3.000000e+00	5.914000e+00	1.167425e+00	1.167425e+00
3.000000e+00	3.400000e+00	3.421000e+00	6.993275e-01	6.993275e-01
3.400000e+00	3.800000e+00	1.462000e+00	3.584118e-01	3.584118e-01
3.800000e+00	4.400000e+00	4.650000e-01	1.814158e-01	1.814158e-01
# END HISTO1D

