# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d24-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d24-x01-y03 /THY/ATLAS_2013_I1230812_MU/d24-x01-y03
Title=$\Delta R$ distance of leading jets
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d24-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
LegendXPos=0.05
XLabel=$\Delta R$(1st jet, 2nd jet)
LegendAlign=l
MainPlot=1
YLabel=d$\sigma$/d$\Delta R$ [pb]
LegendYPos=0.5
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d24-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d24-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	6.000000e-01	1.627000e+00	2.710221e-01	2.710221e-01
6.000000e-01	8.000000e-01	1.825000e+00	2.949797e-01	2.949797e-01
8.000000e-01	1.000000e+00	1.625000e+00	1.998149e-01	1.998149e-01
1.000000e+00	1.200000e+00	1.702000e+00	2.060437e-01	2.060437e-01
1.200000e+00	1.400000e+00	1.776000e+00	1.902236e-01	1.902236e-01
1.400000e+00	1.600000e+00	1.930000e+00	2.059830e-01	2.059830e-01
1.600000e+00	1.800000e+00	2.268000e+00	2.388242e-01	2.388242e-01
1.800000e+00	2.000000e+00	2.568000e+00	2.425655e-01	2.425655e-01
2.000000e+00	2.200000e+00	3.204000e+00	3.017184e-01	3.017184e-01
2.200000e+00	2.400000e+00	3.941000e+00	3.336885e-01	3.336885e-01
2.400000e+00	2.600000e+00	4.870000e+00	3.969093e-01	3.969093e-01
2.600000e+00	2.800000e+00	5.935000e+00	4.854081e-01	4.854081e-01
2.800000e+00	3.000000e+00	7.594000e+00	5.936379e-01	5.936379e-01
3.000000e+00	3.200000e+00	8.249000e+00	6.290413e-01	6.290413e-01
3.200000e+00	3.400000e+00	5.626000e+00	4.476304e-01	4.476304e-01
3.400000e+00	3.600000e+00	4.086000e+00	3.360372e-01	3.360372e-01
3.600000e+00	3.800000e+00	3.133000e+00	2.851193e-01	2.851193e-01
3.800000e+00	4.000000e+00	2.445000e+00	2.401895e-01	2.401895e-01
4.000000e+00	4.400000e+00	1.705000e+00	1.845047e-01	1.845047e-01
4.400000e+00	4.800000e+00	9.869000e-01	1.328231e-01	1.328231e-01
4.800000e+00	5.600000e+00	3.909000e-01	6.577211e-02	6.577211e-02
5.600000e+00	6.600000e+00	9.876000e-02	2.956853e-02	2.956853e-02
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d24-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d24-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	6.000000e-01	1.627000e+00	2.710221e-01	2.710221e-01
6.000000e-01	8.000000e-01	1.825000e+00	2.949797e-01	2.949797e-01
8.000000e-01	1.000000e+00	1.625000e+00	1.998149e-01	1.998149e-01
1.000000e+00	1.200000e+00	1.702000e+00	2.060437e-01	2.060437e-01
1.200000e+00	1.400000e+00	1.776000e+00	1.902236e-01	1.902236e-01
1.400000e+00	1.600000e+00	1.930000e+00	2.059830e-01	2.059830e-01
1.600000e+00	1.800000e+00	2.268000e+00	2.388242e-01	2.388242e-01
1.800000e+00	2.000000e+00	2.568000e+00	2.425655e-01	2.425655e-01
2.000000e+00	2.200000e+00	3.204000e+00	3.017184e-01	3.017184e-01
2.200000e+00	2.400000e+00	3.941000e+00	3.336885e-01	3.336885e-01
2.400000e+00	2.600000e+00	4.870000e+00	3.969093e-01	3.969093e-01
2.600000e+00	2.800000e+00	5.935000e+00	4.854081e-01	4.854081e-01
2.800000e+00	3.000000e+00	7.594000e+00	5.936379e-01	5.936379e-01
3.000000e+00	3.200000e+00	8.249000e+00	6.290413e-01	6.290413e-01
3.200000e+00	3.400000e+00	5.626000e+00	4.476304e-01	4.476304e-01
3.400000e+00	3.600000e+00	4.086000e+00	3.360372e-01	3.360372e-01
3.600000e+00	3.800000e+00	3.133000e+00	2.851193e-01	2.851193e-01
3.800000e+00	4.000000e+00	2.445000e+00	2.401895e-01	2.401895e-01
4.000000e+00	4.400000e+00	1.705000e+00	1.845047e-01	1.845047e-01
4.400000e+00	4.800000e+00	9.869000e-01	1.328231e-01	1.328231e-01
4.800000e+00	5.600000e+00	3.909000e-01	6.577211e-02	6.577211e-02
5.600000e+00	6.600000e+00	9.876000e-02	2.956853e-02	2.956853e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d24-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d24-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	6.000000e-01	1.627000e+00	2.710221e-01	2.710221e-01
6.000000e-01	8.000000e-01	1.825000e+00	2.949797e-01	2.949797e-01
8.000000e-01	1.000000e+00	1.625000e+00	1.998149e-01	1.998149e-01
1.000000e+00	1.200000e+00	1.702000e+00	2.060437e-01	2.060437e-01
1.200000e+00	1.400000e+00	1.776000e+00	1.902236e-01	1.902236e-01
1.400000e+00	1.600000e+00	1.930000e+00	2.059830e-01	2.059830e-01
1.600000e+00	1.800000e+00	2.268000e+00	2.388242e-01	2.388242e-01
1.800000e+00	2.000000e+00	2.568000e+00	2.425655e-01	2.425655e-01
2.000000e+00	2.200000e+00	3.204000e+00	3.017184e-01	3.017184e-01
2.200000e+00	2.400000e+00	3.941000e+00	3.336885e-01	3.336885e-01
2.400000e+00	2.600000e+00	4.870000e+00	3.969093e-01	3.969093e-01
2.600000e+00	2.800000e+00	5.935000e+00	4.854081e-01	4.854081e-01
2.800000e+00	3.000000e+00	7.594000e+00	5.936379e-01	5.936379e-01
3.000000e+00	3.200000e+00	8.249000e+00	6.290413e-01	6.290413e-01
3.200000e+00	3.400000e+00	5.626000e+00	4.476304e-01	4.476304e-01
3.400000e+00	3.600000e+00	4.086000e+00	3.360372e-01	3.360372e-01
3.600000e+00	3.800000e+00	3.133000e+00	2.851193e-01	2.851193e-01
3.800000e+00	4.000000e+00	2.445000e+00	2.401895e-01	2.401895e-01
4.000000e+00	4.400000e+00	1.705000e+00	1.845047e-01	1.845047e-01
4.400000e+00	4.800000e+00	9.869000e-01	1.328231e-01	1.328231e-01
4.800000e+00	5.600000e+00	3.909000e-01	6.577211e-02	6.577211e-02
5.600000e+00	6.600000e+00	9.876000e-02	2.956853e-02	2.956853e-02
# END HISTO1D

