# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1263495/d01-x01-y01 /LHC.yoda/ATLAS_2013_I1263495/d01-x01-y01 /THY/ATLAS_2013_I1263495/d01-x01-y01
Title=Transverse energy of isolated prompt photon, $|\eta^\gamma| < 1.37$
RatioPlotReference=/REF/ATLAS_2013_I1263495/d01-x01-y01
RatioPlot=1
LogY=1
XLabel=$E_\perp^\gamma$ [GeV]
MainPlot=1
YLabel=$\mathrm{d}\sigma/\mathrm{d}E_\perp^\gamma$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1263495/d01-x01-y01
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1263495/d01-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	1.250000e+02	5.550000e+00	2.109502e-01	3.006659e-01
1.250000e+02	1.500000e+02	2.060000e+00	8.062258e-02	1.204159e-01
1.500000e+02	1.750000e+02	8.820000e-01	3.275668e-02	4.554119e-02
1.750000e+02	2.000000e+02	4.280000e-01	1.581139e-02	2.745906e-02
2.000000e+02	2.500000e+02	1.710000e-01	6.082763e-03	1.104536e-02
2.500000e+02	3.000000e+02	5.650000e-02	2.500000e-03	3.373426e-03
3.000000e+02	3.500000e+02	2.250000e-02	9.848858e-04	1.456022e-03
3.500000e+02	4.000000e+02	9.430000e-03	4.517743e-04	7.021396e-04
4.000000e+02	5.000000e+02	3.120000e-03	1.612452e-04	2.720294e-04
5.000000e+02	6.000000e+02	8.440000e-04	7.280110e-05	9.305912e-05
6.000000e+02	7.000000e+02	2.500000e-04	3.538361e-05	4.000000e-05
7.000000e+02	8.000000e+02	7.770000e-05	1.881382e-05	1.977397e-05
8.000000e+02	1.000000e+03	2.110000e-05	6.859300e-06	7.150524e-06
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1263495/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1263495/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	1.250000e+02	5.550000e+00	2.109502e-01	3.006659e-01
1.250000e+02	1.500000e+02	2.060000e+00	8.062258e-02	1.204159e-01
1.500000e+02	1.750000e+02	8.820000e-01	3.275668e-02	4.554119e-02
1.750000e+02	2.000000e+02	4.280000e-01	1.581139e-02	2.745906e-02
2.000000e+02	2.500000e+02	1.710000e-01	6.082763e-03	1.104536e-02
2.500000e+02	3.000000e+02	5.650000e-02	2.500000e-03	3.373426e-03
3.000000e+02	3.500000e+02	2.250000e-02	9.848858e-04	1.456022e-03
3.500000e+02	4.000000e+02	9.430000e-03	4.517743e-04	7.021396e-04
4.000000e+02	5.000000e+02	3.120000e-03	1.612452e-04	2.720294e-04
5.000000e+02	6.000000e+02	8.440000e-04	7.280110e-05	9.305912e-05
6.000000e+02	7.000000e+02	2.500000e-04	3.538361e-05	4.000000e-05
7.000000e+02	8.000000e+02	7.770000e-05	1.881382e-05	1.977397e-05
8.000000e+02	1.000000e+03	2.110000e-05	6.859300e-06	7.150524e-06
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1263495/d01-x01-y01
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1263495/d01-x01-y01
Title=[1]  0.00
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	1.250000e+02	5.550408e+00	2.111857e-01	3.009014e-01
1.250000e+02	1.500000e+02	2.060000e+00	8.062258e-02	1.204159e-01
1.500000e+02	1.750000e+02	8.820000e-01	3.275668e-02	4.554119e-02
1.750000e+02	2.000000e+02	4.280000e-01	1.581139e-02	2.745906e-02
2.000000e+02	2.500000e+02	1.710000e-01	6.082763e-03	1.104536e-02
2.500000e+02	3.000000e+02	5.650000e-02	2.500000e-03	3.373426e-03
3.000000e+02	3.500000e+02	2.250000e-02	9.848858e-04	1.456022e-03
3.500000e+02	4.000000e+02	9.430000e-03	4.517743e-04	7.021396e-04
4.000000e+02	5.000000e+02	3.120000e-03	1.612452e-04	2.720294e-04
5.000000e+02	6.000000e+02	8.440000e-04	7.280110e-05	9.305912e-05
6.000000e+02	7.000000e+02	2.500000e-04	3.538361e-05	4.000000e-05
7.000000e+02	8.000000e+02	7.770000e-05	1.881382e-05	1.977397e-05
8.000000e+02	1.000000e+03	2.110000e-05	6.859300e-06	7.150524e-06
# END HISTO1D

