# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d20-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d20-x01-y02 /THY/ATLAS_2014_I1319490_EL/d20-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d20-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$H_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + 3j} / \text{d}H_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d20-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d20-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+02	1.600000e+02	9.555000e-04	6.619289e-04	6.619289e-04
1.600000e+02	1.700000e+02	4.518000e-03	2.145191e-03	2.145191e-03
1.700000e+02	1.800000e+02	1.773000e-02	5.633942e-03	5.633942e-03
1.800000e+02	1.900000e+02	4.004000e-02	1.072644e-02	1.072644e-02
1.900000e+02	2.000000e+02	6.060000e-02	1.278135e-02	1.278135e-02
2.000000e+02	2.200000e+02	7.965000e-02	1.453645e-02	1.453645e-02
2.200000e+02	2.400000e+02	8.990000e-02	1.459727e-02	1.459727e-02
2.400000e+02	2.600000e+02	8.760000e-02	1.270215e-02	1.270215e-02
2.600000e+02	2.800000e+02	8.022000e-02	1.057602e-02	1.057602e-02
2.800000e+02	3.000000e+02	6.975000e-02	8.884982e-03	8.884982e-03
3.000000e+02	3.200000e+02	5.824000e-02	7.383319e-03	7.383319e-03
3.200000e+02	3.400000e+02	4.676000e-02	5.797137e-03	5.797137e-03
3.400000e+02	3.600000e+02	3.847000e-02	4.506717e-03	4.506717e-03
3.600000e+02	3.800000e+02	3.218000e-02	3.491232e-03	3.491232e-03
3.800000e+02	4.000000e+02	2.660000e-02	2.916008e-03	2.916008e-03
4.000000e+02	4.200000e+02	2.148000e-02	2.269736e-03	2.269736e-03
4.200000e+02	4.400000e+02	1.840000e-02	1.852296e-03	1.852296e-03
4.400000e+02	4.600000e+02	1.555000e-02	1.586821e-03	1.586821e-03
4.600000e+02	4.800000e+02	1.320000e-02	1.489194e-03	1.489194e-03
4.800000e+02	5.000000e+02	1.056000e-02	1.158275e-03	1.158275e-03
5.000000e+02	5.300000e+02	8.339000e-03	8.732766e-04	8.732766e-04
