# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d31-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d31-x01-y02 /THY/ATLAS_2014_I1319490_EL/d31-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d31-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$S_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}S_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d31-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d31-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e+01	7.000000e+01	6.945000e-01	1.019289e-01	1.019289e-01
7.000000e+01	8.000000e+01	1.181000e+00	1.466254e-01	1.466254e-01
8.000000e+01	9.000000e+01	1.148000e+00	1.298345e-01	1.298345e-01
9.000000e+01	1.000000e+02	9.816000e-01	1.091673e-01	1.091673e-01
1.000000e+02	1.100000e+02	8.402000e-01	9.063167e-02	9.063167e-02
1.100000e+02	1.200000e+02	7.265000e-01	7.717584e-02	7.717584e-02
1.200000e+02	1.300000e+02	6.164000e-01	6.485684e-02	6.485684e-02
1.300000e+02	1.400000e+02	5.287000e-01	5.335569e-02	5.335569e-02
1.400000e+02	1.500000e+02	4.456000e-01	4.353780e-02	4.353780e-02
1.500000e+02	1.600000e+02	3.844000e-01	3.703377e-02	3.703377e-02
1.600000e+02	1.700000e+02	3.296000e-01	3.152380e-02	3.152380e-02
1.700000e+02	1.800000e+02	2.844000e-01	2.737718e-02	2.737718e-02
1.800000e+02	1.900000e+02	2.460000e-01	2.417499e-02	2.417499e-02
1.900000e+02	2.000000e+02	2.142000e-01	2.136399e-02	2.136399e-02
2.000000e+02	2.200000e+02	1.711000e-01	1.684488e-02	1.684488e-02
2.200000e+02	2.400000e+02	1.298000e-01	1.275657e-02	1.275657e-02
2.400000e+02	2.600000e+02	1.013000e-01	1.028056e-02	1.028056e-02
2.600000e+02	2.800000e+02	7.757000e-02	8.197597e-03	8.197597e-03
2.800000e+02	3.000000e+02	6.001000e-02	6.205103e-03	6.205103e-03
3.000000e+02	3.200000e+02	4.779000e-02	4.903652e-03	4.903652e-03
