# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_WJET/d55-x01-y01 /LHC.yoda/CMS_2013_I1224539_WJET/d55-x01-y01 /THY/CMS_2013_I1224539_WJET/d55-x01-y01
XMax=150.0
Title=Ungroomed AK7 $W$+jets, $p_{T,j}$ = 300--450 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_WJET/d55-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d55-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_WJET/d55-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.538000e-02	8.113084e-02	8.113084e-02
1.000000e+01	2.000000e+01	2.333800e+00	7.525867e-01	7.525867e-01
2.000000e+01	3.000000e+01	1.063500e+01	1.513699e+00	1.513699e+00
3.000000e+01	4.000000e+01	1.958200e+01	1.848820e+00	1.848820e+00
4.000000e+01	5.000000e+01	2.075000e+01	1.946124e+00	1.946124e+00
5.000000e+01	6.000000e+01	1.538800e+01	1.517119e+00	1.517119e+00
6.000000e+01	7.000000e+01	1.094600e+01	1.082499e+00	1.082499e+00
7.000000e+01	8.000000e+01	7.337400e+00	8.941682e-01	8.941682e-01
8.000000e+01	9.000000e+01	4.505500e+00	7.237390e-01	7.237390e-01
9.000000e+01	1.000000e+02	2.751400e+00	5.717909e-01	5.717909e-01
1.000000e+02	1.100000e+02	2.480500e+00	5.047384e-01	5.047384e-01
1.100000e+02	1.200000e+02	1.924900e+00	4.662627e-01	4.662627e-01
1.200000e+02	1.300000e+02	8.136000e-01	3.274496e-01	3.274496e-01
1.300000e+02	1.400000e+02	5.483000e-01	3.602093e-01	3.602093e-01
1.400000e+02	1.500000e+02	-1.106000e-01	5.782603e-02	5.782603e-02
1.500000e+02	1.600000e+02	-5.690000e-02	2.336414e-01	2.336414e-01
1.600000e+02	1.700000e+02	8.551000e-02	3.903762e-01	3.903762e-01
1.700000e+02	1.800000e+02	0.000000e+00	1.100000e-02	1.100000e-02
1.800000e+02	1.900000e+02	0.000000e+00	1.620000e-02	1.620000e-02
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d55-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_WJET/d55-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.538000e-02	8.113084e-02	8.113084e-02
1.000000e+01	2.000000e+01	2.333800e+00	7.525867e-01	7.525867e-01
2.000000e+01	3.000000e+01	1.063500e+01	1.513699e+00	1.513699e+00
3.000000e+01	4.000000e+01	1.958200e+01	1.848820e+00	1.848820e+00
4.000000e+01	5.000000e+01	2.075000e+01	1.946124e+00	1.946124e+00
5.000000e+01	6.000000e+01	1.538800e+01	1.517119e+00	1.517119e+00
6.000000e+01	7.000000e+01	1.094600e+01	1.082499e+00	1.082499e+00
7.000000e+01	8.000000e+01	7.337400e+00	8.941682e-01	8.941682e-01
8.000000e+01	9.000000e+01	4.505500e+00	7.237390e-01	7.237390e-01
9.000000e+01	1.000000e+02	2.751400e+00	5.717909e-01	5.717909e-01
1.000000e+02	1.100000e+02	2.480500e+00	5.047384e-01	5.047384e-01
1.100000e+02	1.200000e+02	1.924900e+00	4.662627e-01	4.662627e-01
1.200000e+02	1.300000e+02	8.136000e-01	3.274496e-01	3.274496e-01
1.300000e+02	1.400000e+02	5.483000e-01	3.602093e-01	3.602093e-01
1.400000e+02	1.500000e+02	-1.106000e-01	5.782603e-02	5.782603e-02
1.500000e+02	1.600000e+02	-5.690000e-02	2.336414e-01	2.336414e-01
1.600000e+02	1.700000e+02	8.551000e-02	3.903762e-01	3.903762e-01
1.700000e+02	1.800000e+02	0.000000e+00	1.100000e-02	1.100000e-02
1.800000e+02	1.900000e+02	0.000000e+00	1.620000e-02	1.620000e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_WJET/d55-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_WJET/d55-x01-y01
Title=[7]  0.33
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.538000e-02	8.113084e-02	8.113084e-02
1.000000e+01	2.000000e+01	2.333800e+00	7.525867e-01	7.525867e-01
2.000000e+01	3.000000e+01	1.063500e+01	1.513699e+00	1.513699e+00
3.000000e+01	4.000000e+01	1.958200e+01	1.848820e+00	1.848820e+00
