# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_WJET/d72-x01-y01 /LHC.yoda/CMS_2013_I1224539_WJET/d72-x01-y01 /THY/CMS_2013_I1224539_WJET/d72-x01-y01
XMax=150.0
Title=Filtered CA12 $W$+jets, $p_{T,j}$ = 150--220 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_WJET/d72-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d72-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_WJET/d72-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.973000e-01	4.251514e-01	4.251514e-01
1.000000e+01	2.000000e+01	1.882600e+01	1.524096e+00	1.524096e+00
2.000000e+01	3.000000e+01	2.964100e+01	1.961406e+00	1.961406e+00
3.000000e+01	4.000000e+01	2.089900e+01	1.120502e+00	1.120502e+00
4.000000e+01	5.000000e+01	1.189900e+01	4.412709e-01	4.412709e-01
5.000000e+01	6.000000e+01	6.831900e+00	3.386610e-01	3.386610e-01
6.000000e+01	7.000000e+01	4.054400e+00	2.665893e-01	2.665893e-01
7.000000e+01	8.000000e+01	2.531100e+00	2.206600e-01	2.206600e-01
8.000000e+01	9.000000e+01	1.823000e+00	1.878941e-01	1.878941e-01
9.000000e+01	1.000000e+02	1.377400e+00	1.622502e-01	1.622502e-01
1.000000e+02	1.100000e+02	7.165000e-01	1.305229e-01	1.305229e-01
1.100000e+02	1.200000e+02	2.769000e-01	8.011223e-02	8.011223e-02
1.200000e+02	1.300000e+02	9.420000e-02	6.650733e-02	6.650733e-02
1.300000e+02	1.400000e+02	7.234000e-02	5.213036e-02	5.213036e-02
1.500000e+02	1.600000e+02	2.809000e-04	9.380826e-03	9.380826e-03
1.600000e+02	1.700000e+02	0.000000e+00	9.000000e-04	9.000000e-04
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d72-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_WJET/d72-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.973000e-01	4.251514e-01	4.251514e-01
1.000000e+01	2.000000e+01	1.882600e+01	1.524096e+00	1.524096e+00
2.000000e+01	3.000000e+01	2.964100e+01	1.961406e+00	1.961406e+00
3.000000e+01	4.000000e+01	2.089900e+01	1.120502e+00	1.120502e+00
4.000000e+01	5.000000e+01	1.189900e+01	4.412709e-01	4.412709e-01
5.000000e+01	6.000000e+01	6.831900e+00	3.386610e-01	3.386610e-01
6.000000e+01	7.000000e+01	4.054400e+00	2.665893e-01	2.665893e-01
7.000000e+01	8.000000e+01	2.531100e+00	2.206600e-01	2.206600e-01
8.000000e+01	9.000000e+01	1.823000e+00	1.878941e-01	1.878941e-01
9.000000e+01	1.000000e+02	1.377400e+00	1.622502e-01	1.622502e-01
1.000000e+02	1.100000e+02	7.165000e-01	1.305229e-01	1.305229e-01
1.100000e+02	1.200000e+02	2.769000e-01	8.011223e-02	8.011223e-02
1.200000e+02	1.300000e+02	9.420000e-02	6.650733e-02	6.650733e-02
1.300000e+02	1.400000e+02	7.234000e-02	5.213036e-02	5.213036e-02
1.500000e+02	1.600000e+02	2.809000e-04	9.380826e-03	9.380826e-03
1.600000e+02	1.700000e+02	0.000000e+00	9.000000e-04	9.000000e-04
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_WJET/d72-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_WJET/d72-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.973000e-01	4.251514e-01	4.251514e-01
1.000000e+01	2.000000e+01	1.882600e+01	1.524096e+00	1.524096e+00
2.000000e+01	3.000000e+01	2.964100e+01	1.961406e+00	1.961406e+00
3.000000e+01	4.000000e+01	2.089900e+01	1.120502e+00	1.120502e+00
4.000000e+01	5.000000e+01	1.189900e+01	4.412709e-01	4.412709e-01
5.000000e+01	6.000000e+01	6.831900e+00	3.386610e-01	3.386610e-01
6.000000e+01	7.000000e+01	4.054400e+00	2.665893e-01	2.665893e-01
7.000000e+01	8.000000e+01	2.531100e+00	2.206600e-01	2.206600e-01
8.000000e+01	9.000000e+01	1.823000e+00	1.878941e-01	1.878941e-01
9.000000e+01	1.000000e+02	1.377400e+00	1.622502e-01	1.622502e-01
1.000000e+02	1.100000e+02	7.165000e-01	1.305229e-01	1.305229e-01
1.100000e+02	1.200000e+02	2.769000e-01	8.011223e-02	8.011223e-02
1.200000e+02	1.300000e+02	9.420000e-02	6.650733e-02	6.650733e-02
1.300000e+02	1.400000e+02	7.234000e-02	5.213036e-02	5.213036e-02
1.500000e+02	1.600000e+02	2.809000e-04	9.380826e-03	9.380826e-03
1.600000e+02	1.700000e+02	0.000000e+00	9.000000e-04	9.000000e-04
# END HISTO1D

