# BEGIN PLOT
DrawOnly=/REF/CMS_2015_I1310737/d09-x01-y01 /LHC.yoda/CMS_2015_I1310737/d09-x01-y01 /THY/CMS_2015_I1310737/d09-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=4.9~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2015_I1310737/d09-x01-y01
RatioPlot=1
LogX=0
LogY=0
LegendXPos=0.7
XLabel=Third jet $|\eta|$
MainPlot=1
YLabel=$d\sigma/d|\eta|$ [pb]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2015_I1310737/d09-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2015_I1310737/d09-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-01	1.306517e+00	1.424746e-01	1.424746e-01
3.000000e-01	6.000000e-01	1.248098e+00	1.412525e-01	1.412525e-01
6.000000e-01	9.000000e-01	1.221109e+00	1.450668e-01	1.450668e-01
9.000000e-01	1.200000e+00	1.129942e+00	1.467933e-01	1.467933e-01
1.200000e+00	1.500000e+00	1.070217e+00	1.597728e-01	1.597728e-01
1.500000e+00	1.800000e+00	9.182419e-01	1.551644e-01	1.551644e-01
1.800000e+00	2.100000e+00	7.816194e-01	1.307758e-01	1.307758e-01
2.100000e+00	2.400000e+00	6.323575e-01	1.032214e-01	1.032214e-01
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2015_I1310737/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2015_I1310737/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-01	1.306517e+00	1.424746e-01	1.424746e-01
3.000000e-01	6.000000e-01	1.248098e+00	1.412525e-01	1.412525e-01
6.000000e-01	9.000000e-01	1.221109e+00	1.450668e-01	1.450668e-01
9.000000e-01	1.200000e+00	1.129942e+00	1.467933e-01	1.467933e-01
1.200000e+00	1.500000e+00	1.070217e+00	1.597728e-01	1.597728e-01
1.500000e+00	1.800000e+00	9.182419e-01	1.551644e-01	1.551644e-01
1.800000e+00	2.100000e+00	7.816194e-01	1.307758e-01	1.307758e-01
2.100000e+00	2.400000e+00	6.323575e-01	1.032214e-01	1.032214e-01
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2015_I1310737/d09-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2015_I1310737/d09-x01-y01
Title=[3]  0.03
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-01	1.306517e+00	1.424746e-01	1.424746e-01
3.000000e-01	6.000000e-01	1.248098e+00	1.412525e-01	1.412525e-01
6.000000e-01	9.000000e-01	1.226775e+00	1.507328e-01	1.507328e-01
9.000000e-01	1.200000e+00	1.129942e+00	1.467933e-01	1.467933e-01
1.200000e+00	1.500000e+00	1.070217e+00	1.597728e-01	1.597728e-01
1.500000e+00	1.800000e+00	9.182419e-01	1.551644e-01	1.551644e-01
1.800000e+00	2.100000e+00	7.816194e-01	1.307758e-01	1.307758e-01
2.100000e+00	2.400000e+00	6.323575e-01	1.032214e-01	1.032214e-01
# END HISTO1D

